Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Me Volví A Acordar De Ti,Los Angeles De Charly,Cumbias Sonideras Románticas 2015,237133,False,48,2,1,4,0.154,0.666,0.578,0,0.394,-4.588,0.0269,0.746,146.011,100% Cumbia
Como Una Novela,Los Acosta,Íconos 25 Éxitos,224293,False,61,0,1,4,0.285,0.75,0.617,0.00183,0.299,-8.022,0.0266,0.672,101.955,100% Cumbia
Amor a Primera Vista,"Los Ángeles Azules,Belinda,Lalo Ebratt,Horacio Palencia",Amor a Primera Vista,220941,False,77,0,1,4,0.323,0.657,0.763,0,0.405,-6.316,0.0583,0.95,170.155,100% Cumbia
Piensa En Mí,Grupo Mojado,Sueño Y Realidad,177040,False,71,10,1,4,0.348,0.72,0.538,0,0.0654,-8.874,0.0455,0.805,80.096,100% Cumbia
La Ventanita,"Daniel Agostini,Grupo Sombras",La Movida Tropical: Los 100 Mejores Temas Vol. 2,244520,False,0,11,1,4,0.337,0.458,0.915,0.000337,0.0645,-5.046,0.0575,0.954,200.424,100% Cumbia
Los Sabanales,Los Corraleros De Majagual,Album de los Corraleros de Majagual,158515,False,0,2,1,4,0.0827,0.83,0.652,0.000106,0.0397,-4.925,0.0484,0.802,123.644,100% Cumbia
Un Sueño,Los Angeles De Charly,Mi Colección,225906,False,0,9,0,4,0.232,0.635,0.675,0,0.0679,-4.371,0.0266,0.764,149.372,100% Cumbia
Nunca Es Suficiente,"Los Ángeles Azules,Natalia Lafourcade",Esto Sí Es Cumbia,266015,False,73,2,0,4,0.392,0.796,0.499,0,0.0867,-6.166,0.0404,0.798,93.99,100% Cumbia
Él Soy Yo,Samuray,Grandes Éxitos Remezclados Y Remasterizados,193693,False,55,2,1,4,0.167,0.728,0.658,0,0.369,-6.603,0.0368,0.772,77.995,100% Cumbia
Te Amo,Los Mier,3 De Colección...Los Mier,175160,False,0,6,0,4,0.0174,0.511,0.619,0.000295,0.187,-10.056,0.0469,0.801,178.777,100% Cumbia
Muchachita Consentida,Rayito Colombiano,Cicatrices,211813,False,70,5,1,4,0.288,0.778,0.612,8.98e-05,0.091,-6.12,0.0601,0.928,84.78,100% Cumbia
Sola,"Raymix,ATL",Oye Mujer (Deluxe Edition),179026,False,60,1,0,4,0.383,0.674,0.684,0,0.355,-5.042,0.0681,0.772,179.981,100% Cumbia
No Te Pertenece,Grupo Klaz Y Keroz,Simplemente los Mejores Exitos,246546,False,61,1,0,4,0.422,0.657,0.585,7.42e-06,0.05,-5.594,0.0302,0.787,184.153,100% Cumbia
Tu Traición,Grupo Bryndis,Tu Amor Secreto,214293,False,64,7,1,4,0.199,0.728,0.68,0.000942,0.126,-9.143,0.0342,0.946,84.566,100% Cumbia
No Me Arrepiento de Este Amor,Gilda,No me Arrepiento de Este Amor,227373,False,56,8,1,4,0.329,0.77,0.855,1.33e-05,0.179,-4.445,0.0423,0.928,96.073,100% Cumbia
Voy a pintar un corazón,Los Acosta,12 Grandes exitos Vol. 1,208640,False,63,9,1,4,0.117,0.759,0.588,8.69e-05,0.0633,-11.458,0.0295,0.853,102.035,100% Cumbia
Amor Regresa,Los Askis,Grandes Éxitos Remezclados Y Masterizados,213000,False,59,4,0,4,0.235,0.656,0.723,0,0.632,-4.816,0.036,0.739,171.463,100% Cumbia
Los Caminos De La Vida,La Tropa Vallenata,Los Caminos De La Vida,291133,False,66,2,0,4,0.384,0.624,0.698,0,0.114,-6.262,0.03,0.946,151.519,100% Cumbia
Mi Niña Mujer,"Los Ángeles Azules,Ha*Ash",Mi Niña Mujer,192493,False,46,7,1,4,0.412,0.479,0.606,0,0.0866,-4.26,0.0301,0.831,85.59,100% Cumbia
Me Vas a Extrañar - En Vivo,"Damas Gratis,Viru Kumbieron",Me Vas a Extrañar (En Vivo),238528,False,67,11,1,4,0.323,0.419,0.809,0,0.699,-4.596,0.0357,0.635,88.418,100% Cumbia
Que Calor,Supermerk2,La Lata,244653,False,52,7,1,4,0.197,0.83,0.868,1.29e-06,0.159,-3.78,0.0585,0.898,87.422,100% Cumbia
Más Que Tu Amigo,Marco Antonio Solís,Tu Amor O Tu Desprecio,209506,False,70,0,0,4,0.221,0.786,0.604,0.0166,0.063,-7.608,0.0413,0.81,97.461,100% Cumbia
La Chica Que Soñé,Tropical Panamá,La Chica Que Soñe,190773,False,57,0,1,4,0.274,0.719,0.532,0.000899,0.176,-7.598,0.0473,0.822,176.743,100% Cumbia
Cómo Te Voy A Olvidar,Los Ángeles Azules,Inolvidables,267826,False,70,11,0,4,0.269,0.672,0.453,2.44e-06,0.138,-7.896,0.0557,0.674,83.123,100% Cumbia
El Paso Del Gigante,Grupo Sonador,Los Reyes De Los Sonidos,216613,False,59,2,1,4,0.397,0.824,0.72,2.65e-06,0.0333,-7.383,0.184,0.715,88.375,100% Cumbia
Golpe Con Golpe,Pastor Lopez,Colección 100 Exitos de Pastor López,212038,False,0,8,1,4,0.621,0.733,0.652,0.000229,0.0371,-6.67,0.0575,0.964,101.094,100% Cumbia
Amor (Ft. Mon Laferte) - Mtv Unplugged,"Los Auténticos Decadentes,Mon Laferte",Amor (Ft. Mon Laferte) (Mtv Unplugged),312442,False,67,9,0,4,0.0339,0.597,0.818,0,0.978,-5.317,0.0472,0.688,92.869,100% Cumbia
