Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Salió El Sol,Don Omar,King Of Kings,315293,False,74,4,0,4,0.106,0.887,0.701,0.00948,0.0466,-5.892,0.0873,0.965,110.002,A Perriar
Es Un Secreto,Plan B,House of Pleasure,190560,False,0,6,0,4,0.106,0.841,0.783,2.49e-06,0.0528,-4.915,0.0432,0.514,94.989,A Perriar
En La Cama (feat. Daddy Yankee),"Nicky Jam,Daddy Yankee",Exitos,157023,True,63,10,0,4,0.183,0.855,0.912,0,0.122,-4.832,0.145,0.885,104.072,A Perriar
Rakata,Wisin & Yandel,Pa'l Mundo,172680,False,10,1,1,4,0.0348,0.872,0.786,0,0.0776,-5.473,0.142,0.722,96.002,A Perriar
Yo No Soy Tu Marido,Nicky Jam,Reggaeton Diamond Collection,199367,False,14,10,0,4,0.0707,0.807,0.643,5.61e-05,0.0865,-7.347,0.0522,0.821,94.983,A Perriar
"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),210933,False,74,8,0,4,0.102,0.816,0.747,0,0.263,-6.468,0.0411,0.848,97.019,A Perriar
Ella Y Yo - Featuring Don Omar,"Aventura,Don Omar",God's Project,267786,False,75,9,0,4,0.534,0.732,0.708,0,0.237,-7.905,0.262,0.717,175.924,A Perriar
Noche de Travesura,"Héctor ""El Father""",Flow La Discoteca Special Edition,212733,False,0,9,1,4,0.447,0.833,0.626,0,0.0805,-7.715,0.188,0.409,92.013,A Perriar
La Nueva Y La Ex,Daddy Yankee,King Daddy,196933,True,0,5,1,4,0.0423,0.771,0.941,0,0.158,-4.052,0.0584,0.631,98.996,A Perriar
Dile,Don Omar,The Last Don,204600,False,75,4,0,4,0.184,0.817,0.714,0.000132,0.042,-7.501,0.141,0.714,94.001,A Perriar
Ella Me Levanto,Daddy Yankee,El Cartel: The Big Boss (Explicit Version),209493,False,0,2,0,4,0.0804,0.759,0.9,0,0.224,-4.766,0.0643,0.76,100.021,A Perriar
6 AM,"J Balvin,Farruko",La Familia,243226,False,67,5,0,4,0.152,0.746,0.746,0,0.274,-5.046,0.102,0.733,175.965,A Perriar
Pasarela,Daddy Yankee,Prestige,193626,False,59,9,1,4,0.104,0.842,0.893,0,0.289,-4.277,0.0462,0.713,121.035,A Perriar
Perros Salvajes,Daddy Yankee,Prestige,190310,False,58,6,0,4,0.0615,0.806,0.804,0,0.115,-4.84,0.146,0.766,88.018,A Perriar
