Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),301920,False,75,1,1,4,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,0.72,116.761,90S ROCK  ANTHEMS
Zombie,The Cranberries,No Need To Argue,306426,False,81,7,1,4,0.0154,0.307,0.635,0.00483,0.366,-8.957,0.0339,0.304,166.973,90S ROCK  ANTHEMS
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),264306,False,81,4,1,4,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,0.458,84.581,90S ROCK  ANTHEMS
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),313573,True,79,7,1,4,0.0266,0.466,0.833,0,0.0327,-4.215,0.304,0.661,88.785,90S ROCK  ANTHEMS
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],258732,False,40,2,1,4,0.000453,0.372,0.865,0,0.234,-4.918,0.0381,0.478,174.53,90S ROCK  ANTHEMS
Enter Sandman,Metallica,Metallica,331573,False,2,6,0,4,0.00206,0.579,0.824,0.00903,0.059,-8.71,0.03,0.635,123.331,90S ROCK  ANTHEMS
Come As You Are,Nirvana,Nevermind (Remastered),218920,False,72,4,0,4,0.00016,0.5,0.824,0.00161,0.0916,-5.846,0.0388,0.539,120.125,90S ROCK  ANTHEMS
Bitter Sweet Symphony,The Verve,Urban Hymns,358426,False,1,9,1,4,0.0415,0.389,0.889,0,0.463,-6.546,0.0442,0.524,171.121,90S ROCK  ANTHEMS
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),318586,False,76,6,1,4,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,0.147,105.435,90S ROCK  ANTHEMS
Song 2 - 2012 Remaster,Blur,Blur [Special Edition],121160,False,76,8,1,4,0.00178,0.674,0.789,0.0071,0.0754,-6.903,0.0676,0.918,129.804,90S ROCK  ANTHEMS
Losing My Religion,R.E.M.,Out Of Time,268933,False,0,9,0,4,0.0943,0.7,0.686,1.93e-06,0.0847,-10.338,0.0279,0.815,125.412,90S ROCK  ANTHEMS
1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),266200,False,76,3,1,4,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,0.964,126.879,90S ROCK  ANTHEMS
Plush,Stone Temple Pilots,Thank You,310346,False,61,7,0,4,0.0021,0.423,0.954,0,0.177,-3.157,0.047,0.5,144.553,90S ROCK  ANTHEMS
All The Small Things,blink-182,Enema Of The State,168000,False,4,0,1,4,0.0122,0.439,0.891,0,0.547,-4.764,0.057,0.695,148.599,90S ROCK  ANTHEMS
