Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Oh! My Pa-Pa (O Mein Papa),Eddie Fisher,Italian American Classics,188906,False,0,10,1,4,0.831,0.327,0.258,9.87e-05,0.333,-7.31,0.0295,0.542,98.163,ANDIAAAAMO
Mambo italiano,Renato Carosone,Mamma Rosa,182544,False,3,4,0,4,0.771,0.742,0.59,1.15e-06,0.207,-5.515,0.0646,0.941,87.39,ANDIAAAAMO
Inno di Mameli - Fratelli d'italia,Coro e Banda Degli Alpini,Buon compleanno Italia: 150,98857,False,6,10,1,4,0.989,0.547,0.528,0.145,0.293,-4.658,0.0369,0.59,114.251,ANDIAAAAMO
Tarantella,Mario Lanza,Iconic Italian American Legends,144493,False,0,5,0,4,0.59,0.586,0.775,2.04e-06,0.0849,-6.552,0.0546,0.541,136.074,ANDIAAAAMO
Bocca di rosa,Fabrizio De André,Fabrizio De André Opere Complete,185386,False,52,7,0,4,0.889,0.751,0.284,2.4e-06,0.107,-16.553,0.543,0.89,58.692,ANDIAAAAMO
Tu Che M'hai Preso Il Cuor,Ernesto Bonini,Cafe Italia - 75 Original Italian Hits,181426,False,0,7,1,4,0.974,0.303,0.272,0.259,0.255,-9.718,0.0329,0.17,117.763,ANDIAAAAMO
Nel blu dipinto di blu,Domenico Modugno,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),216986,False,0,10,1,4,0.973,0.395,0.108,6.51e-06,0.206,-14.204,0.0553,0.455,61.577,ANDIAAAAMO
Princess,Little Tony,Cafe Italia - 75 Original Italian Hits,113320,False,0,7,1,4,0.896,0.619,0.475,3.93e-05,0.183,-11.481,0.0343,0.692,124.826,ANDIAAAAMO
"Rigoletto: ""La donna e mobile"" (from Captain Corelli's Mandolin)","Giuseppe Verdi,Jose Perez,Nuremberg Symphony Orchestra",The 99 Most Essential Classical Pieces in Movies,131933,False,7,11,1,3,0.977,0.379,0.276,0.0116,0.0806,-10.402,0.0373,0.377,139.443,ANDIAAAAMO
Come Prima,Marino Marini and his Quartet,Cafe Italia - 75 Original Italian Hits,160266,False,0,2,0,4,0.829,0.555,0.237,8.43e-05,0.0864,-9.434,0.0393,0.27,117.017,ANDIAAAAMO
O sole mio,Dalida,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),175177,False,0,9,1,4,0.786,0.587,0.486,0.000742,0.123,-8.888,0.031,0.613,124.846,ANDIAAAAMO
Su Nel Cielo,Nico Fidenco,Cafe Italia - 75 Original Italian Hits,153946,False,0,7,0,3,0.582,0.38,0.533,5.53e-05,0.27,-6.864,0.0363,0.389,122.22,ANDIAAAAMO
La donna riccia,Domenico Modugno,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),155000,False,0,4,1,4,0.824,0.736,0.156,0,0.106,-17.827,0.241,0.428,82.639,ANDIAAAAMO
Malafemmena,Giacoma Rondinella,Cafe Italia - 75 Original Italian Hits,200866,False,0,0,1,3,0.99,0.411,0.245,0.000158,0.103,-8.807,0.0374,0.182,98.542,ANDIAAAAMO
Buona sera,Louis Prima,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),179240,False,0,3,1,4,0.656,0.501,0.66,0,0.0381,-4.999,0.0491,0.887,101.597,ANDIAAAAMO
Guarda che luna,Fred Buscaglione,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),143413,False,0,4,0,3,0.844,0.508,0.545,0,0.0944,-2.922,0.0287,0.552,111.404,ANDIAAAAMO
'O Sarracino,Renato Carosone,Italian Dinner - A Saturday Night Party in Italy (Tarantella and Mandolino Italian Favourites Songs),190133,False,0,7,1,4,0.382,0.812,0.783,3.32e-05,0.0613,-4.069,0.035,0.962,135.222,ANDIAAAAMO
