Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Nos Sobran los Motivos - En Directo,Joaquín Sabina,Nos Sobran Los Motivos,344840,False,56,0,1,4,0.348,0.62,0.714,0,0.731,-5.87,0.417,0.702,82.826,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Mediterraneo - En Directo,Joan Manuel Serrat,Serrat En Directo,247680,False,34,9,0,3,0.778,0.596,0.719,0,0.975,-5.13,0.118,0.582,84.164,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Últimamente,Ismael Serrano,La Memoria De Los Peces,198773,False,0,7,1,4,0.522,0.506,0.693,0,0.148,-7.623,0.133,0.765,113.696,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Papa Cuentame Otra Vez,Ismael Serrano,Cantautores Universales,176066,False,0,2,1,4,0.77,0.394,0.54,0,0.15,-8.094,0.0927,0.584,82.134,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Quiereme - Con Colaboraciones,Luis Eduardo Aute,Quiereme (Con Colaboraciones),349253,False,19,9,1,4,0.842,0.43,0.161,0.00081,0.13,-17.984,0.0364,0.221,109.241,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Al Alba,Luis Eduardo Aute,Albanta,296751,False,44,4,0,4,0.345,0.654,0.195,0.000362,0.0837,-15.992,0.0443,0.307,112.134,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Infinito,Bunbury,Pequeño,236280,False,52,4,0,3,0.33,0.469,0.543,0,0.269,-6.67,0.0327,0.419,81.322,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
De mayor,Bunbury,Pequeño,281266,False,34,2,1,4,0.371,0.706,0.628,0,0.326,-6.837,0.0468,0.698,155.422,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Platos rotos,Paco Cifuentes,Adicto,228354,False,0,11,0,4,0.0699,0.636,0.822,9.85e-06,0.133,-7.87,0.0808,0.567,94.913,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Adicto,Paco Cifuentes,Adicto,230999,False,0,2,1,4,0.531,0.631,0.658,0.000251,0.0908,-6.721,0.0806,0.706,91.915,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
No Me Canso,Carlos Chaouen,Universo Totémico (Universo Abierto),278800,False,0,9,1,4,0.568,0.596,0.712,0,0.0822,-6.237,0.0485,0.38,95.028,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Semilla En La Tierra,Carlos Chaouen,Totem,369973,False,0,3,0,3,0.578,0.655,0.496,0,0.122,-5.966,0.0659,0.225,149.878,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Echo De Menos,Kiko Veneno,Puro Veneno,240093,False,50,8,0,4,0.553,0.762,0.663,0,0.112,-9.198,0.0453,0.871,105.443,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
En un Mercedes Blanco (with Martirio),"Kiko Veneno,Martirio",Puro Veneno,312800,False,27,4,0,4,0.587,0.738,0.728,5.86e-05,0.108,-8.868,0.0748,0.482,103.518,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Siete Vidas,Antonio Flores,Cosas Mias,242000,False,56,9,0,4,0.603,0.542,0.315,0,0.144,-11.494,0.0275,0.491,135.826,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Isla de Palma,Antonio Flores,Cosas Mias,217573,False,37,4,1,4,0.379,0.883,0.661,3.89e-06,0.31,-11.333,0.0314,0.862,118.029,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
Salitre,Quique González,Ajuste de cuentas,280053,False,45,1,1,4,0.74,0.72,0.479,0.0159,0.681,-8.781,0.032,0.852,107.473,"CANTAUTORES ESPAÑOLES (DE AYER, HOY Y SIEMPRE)"
