Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Heaven,Alex Adair,Heaven,177320,False,47,0,1,4,0.0352,0.55,0.925,0.000179,0.29,-4.573,0.0882,0.358,121.823,CHILL
I Bet My Life - Alex Adair Remix,Imagine Dragons,I Bet My Life (Remixes),190280,False,45,1,1,4,0.0898,0.578,0.506,0.000222,0.155,-9.114,0.28,0.575,116.951,CHILL
Destination Sunrise,"Bit Funk,NEFE",Destination Sunrise,198727,False,28,1,1,4,0.00189,0.611,0.838,0.0525,0.0892,-3.489,0.0371,0.431,107.988,CHILL
Montrose Ave,Y.V.E. 48,Montrose Ave,173320,False,54,0,1,4,0.00116,0.692,0.585,0.895,0.161,-6.456,0.0308,0.667,121.999,CHILL
Metaphysical - Gianni Kosta Remix,"Autograf,Gianni Kosta",Metaphysical Remixes Pt. 2,326836,False,36,7,0,4,0.0446,0.805,0.402,0.182,0.0504,-10.94,0.078,0.611,117.995,CHILL
Karibu - Radio Edit,Lago,Karibu,210065,False,0,1,1,4,0.00128,0.81,0.781,0.524,0.085,-8.26,0.0502,0.865,116.012,CHILL
Speechless (feat. RKCB),"Candyland,RKCB",Speechless (feat. RKCB),194572,False,0,1,1,4,0.00568,0.682,0.824,5.27e-06,0.0679,-5.832,0.0329,0.389,123.023,CHILL
Dizzy,Dimmi,Promesses,260160,False,0,9,0,4,0.0197,0.811,0.51,0.072,0.054,-6.474,0.0424,0.641,125.035,CHILL
Safari,Sir Felix,Safari,186641,False,34,7,1,4,0.0233,0.647,0.829,0.204,0.159,-8.584,0.107,0.086,121.989,CHILL
Catchfire (Sun Sun Sun) - Edx Radio Edit,"Spada,Anna Leyne,EDX",Catchfire (Sun Sun Sun) [Remixes],167394,False,0,0,0,4,0.0174,0.755,0.772,0.127,0.199,-5.297,0.0597,0.355,124.027,CHILL
Praise You (Chill Mix) - Extended Mix,"King Arthur,Michael Meaco",Praise You,201600,False,0,6,1,4,0.243,0.623,0.705,0.025,0.129,-6.035,0.0338,0.036,100.025,CHILL
Stay (feat. Maty Noyes),"Kygo,Maty Noyes",Stay (feat. Maty Noyes),239465,False,65,8,1,4,0.0444,0.648,0.736,0.000137,0.171,-7.948,0.0385,0.378,103.027,CHILL
Riptide - FlicFlac Remix,"Vance Joy,FlicFlac",Riptide (Remixes),339310,False,49,8,1,4,0.253,0.708,0.667,0.000692,0.0878,-7.934,0.0418,0.634,115.987,CHILL
Our Youth,"Sonny Alven,Emmi",Our Youth,200480,False,48,6,0,4,0.0508,0.624,0.827,1.26e-05,0.0913,-4.827,0.0758,0.211,119.696,CHILL
Journey - Radio Mix,"BUNT.,Emma Carn",Journey,236129,False,46,0,1,4,0.318,0.502,0.437,0.106,0.0916,-17.997,0.0482,0.407,123.913,CHILL
