Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Escaping Time,Benjamin Martins,Floating,200346,False,64,10,1,4,0.64,0.32,0.256,0.862,0.112,-17.98,0.0445,0.191,115.011,DEEP FOCUS
Just Look at You,369,432 Water Crystals,187385,False,62,7,1,4,0.985,0.558,0.249,0.925,0.103,-14.715,0.0303,0.111,94.991,DEEP FOCUS
Flowing,Lucas Delphy,Flowing,131116,False,61,0,1,4,0.896,0.2,0.138,0.929,0.207,-20.417,0.0301,0.138,71.631,DEEP FOCUS
With Resolve,Jacob Yoffee,With Resolve,129761,False,60,9,1,4,0.982,0.456,0.0195,0.924,0.106,-33.594,0.04,0.269,126.086,DEEP FOCUS
Infinite Sustain,Amaranth Cove,Infinite Sustain,149000,False,62,6,1,4,0.8,0.529,0.214,0.907,0.109,-19.268,0.0315,0.0903,124.069,DEEP FOCUS
Ingénue,Eline Moss,Ingénue,158176,False,61,9,1,4,0.993,0.283,0.122,0.905,0.0927,-23.074,0.0285,0.112,83.746,DEEP FOCUS
Hidden Chambers,Marlee Tuaine,Fragmented Thoughts,169000,False,60,2,1,3,0.957,0.297,0.209,0.907,0.134,-12.715,0.035,0.0867,141.603,DEEP FOCUS
The Five Times I Loved You,Cora Zea,Pyramid Train,205695,False,62,4,1,4,0.988,0.41,0.0845,0.93,0.109,-21.814,0.0327,0.0795,92.033,DEEP FOCUS
Golden,Clear Blue Skies,Chasing Rainbows,140357,False,59,2,1,3,0.483,0.521,0.322,0.904,0.108,-14.505,0.0355,0.148,140.059,DEEP FOCUS
Atlavík,Hugar,Varða,155733,False,60,2,1,4,0.867,0.535,0.147,0.797,0.0825,-25.141,0.0382,0.238,126.823,DEEP FOCUS
Vague,Amaranth Cove,Envision,143000,False,60,10,0,4,0.881,0.32,0.253,0.935,0.121,-17.843,0.0356,0.125,140.029,DEEP FOCUS
Collapse Into Light,Evin Iris,Collapse Into Light,179500,False,60,1,0,4,0.933,0.305,0.229,0.904,0.104,-18.329,0.0334,0.0562,121.599,DEEP FOCUS
Will to Live,Jacob Yoffee,Will to Live,135798,False,59,6,1,4,0.949,0.434,0.112,0.922,0.0946,-29.82,0.036,0.104,112.001,DEEP FOCUS
When You Left,Rouge Haven,When You Left,177224,False,58,5,1,4,0.984,0.56,0.0853,0.918,0.108,-15.918,0.0324,0.113,96.646,DEEP FOCUS
Mil Sonidos,Reina del Mar,Mil Sonidos,192000,False,60,6,1,4,0.958,0.221,0.183,0.821,0.102,-17.59,0.0362,0.057,117.321,DEEP FOCUS
Dawning,Light of Sun,Dawning,206419,False,59,0,1,4,0.64,0.526,0.471,0.817,0.096,-11.965,0.0424,0.286,119.972,DEEP FOCUS
Cabin Jam,Sad Monologue,Cabin Jam,192710,False,57,4,1,4,0.689,0.477,0.37,0.799,0.0977,-12.394,0.0315,0.638,179.707,DEEP FOCUS
What You Love You Must Love Now,The Six Parts Seven,Everywhere And Right Here,322160,False,59,4,1,4,0.367,0.256,0.456,0.881,0.119,-10.865,0.0306,0.0682,70.357,DEEP FOCUS
Curiosity,Beau Projet,Curiosity,155820,False,60,2,1,4,0.985,0.43,0.256,0.867,0.106,-22.088,0.0641,0.173,133.955,DEEP FOCUS
Squaric,Martin Gauffin,Squaric,153152,False,58,5,0,4,0.988,0.409,0.212,0.903,0.0966,-17.016,0.0368,0.135,183.837,DEEP FOCUS
Between Planets,Radical Blue,Between Planets,174900,False,57,3,0,4,0.828,0.521,0.121,0.876,0.116,-19.652,0.0378,0.19,100.013,DEEP FOCUS
Coda,Jakob Ahlbom,Endeavour,180614,False,58,9,1,3,0.93,0.351,0.24,0.904,0.101,-15.363,0.034,0.0968,79.919,DEEP FOCUS
The Times Are Tired,Alaskan Tapes,Views from Sixteen Stories,242466,False,1,8,1,3,0.792,0.216,0.195,0.93,0.102,-14.026,0.0382,0.14,61.555,DEEP FOCUS
When They Come,Threading Hair,When They Come,262000,False,57,6,1,4,0.922,0.501,0.378,0.825,0.115,-14.959,0.0269,0.193,108.034,DEEP FOCUS
For a Moment,Amaranth Cove,Reconstruct,169206,False,57,11,0,4,0.945,0.551,0.214,0.913,0.112,-17.887,0.0339,0.0471,140.033,DEEP FOCUS
You Want Dark Tunes?,Ave Air,Twin Solar Sunrise,297287,False,57,1,1,4,0.702,0.403,0.44,0.927,0.556,-12.954,0.0284,0.111,176.043,DEEP FOCUS
Event Horizon,Airwaves,Event Horizon,310666,False,57,7,1,3,0.0665,0.464,0.38,0.898,0.114,-8.052,0.0279,0.0558,100.006,DEEP FOCUS
Feels Like Flying,Elementaries,Feels Like Flying,198077,False,56,11,1,4,0.882,0.416,0.11,0.873,0.116,-13.776,0.0423,0.347,120.024,DEEP FOCUS
Crossing,The Tides,Crossing,153103,False,57,0,1,4,0.935,0.542,0.189,0.91,0.0932,-16.57,0.0398,0.0755,116.0,DEEP FOCUS
Beginnings,Bon Bruit,Beginnings,199874,False,55,7,1,3,0.871,0.208,0.16,0.85,0.103,-17.301,0.0344,0.0391,86.039,DEEP FOCUS
Eleven Shades,Lunaire,Eleven Shades,216632,False,55,3,1,4,0.958,0.408,0.135,0.902,0.0982,-23.106,0.0295,0.0379,81.975,DEEP FOCUS
Open Fields,Faelt,Open Fields,183181,False,55,4,1,4,0.97,0.491,0.197,0.916,0.214,-19.261,0.0298,0.216,132.106,DEEP FOCUS
Grand Central Station,Across The Great Valley,Castles in the Sky,173797,False,55,0,1,3,0.906,0.173,0.18,0.0765,0.226,-15.193,0.0333,0.0374,116.333,DEEP FOCUS
Time Travel,AMBIE,Rooftops,160788,False,55,8,0,4,0.965,0.502,0.289,0.913,0.153,-17.378,0.0307,0.156,137.926,DEEP FOCUS
Walking You Home,Paul Mahmal Orca,La Ventana Abierta,190588,False,55,2,1,4,0.897,0.595,0.29,0.804,0.122,-17.011,0.0301,0.28,85.0,DEEP FOCUS
Noche Tranquila,Jaime Jacobs,Noche Tranquila,172381,False,55,1,1,3,0.953,0.286,0.169,0.978,0.115,-22.074,0.0339,0.178,79.953,DEEP FOCUS
Laugavegur,Dreyma,Laugavegur,188795,False,55,7,1,4,0.54,0.515,0.408,0.769,0.0916,-12.688,0.0385,0.308,115.002,DEEP FOCUS
Monumental,Antuigo,Monumental,195057,False,55,4,1,4,0.916,0.491,0.217,0.962,0.177,-6.805,0.0521,0.0647,99.97,DEEP FOCUS
Den inre skogen,Thomas Jackson,Den inre skogen,229657,False,55,9,1,4,0.924,0.532,0.382,0.61,0.134,-17.683,0.0543,0.0455,127.038,DEEP FOCUS
Silver Lining,Erik Reno,Summer Tales,188933,False,55,11,1,4,0.877,0.471,0.138,0.878,0.103,-23.623,0.0351,0.0493,135.934,DEEP FOCUS
The Discovery,Sulfur Springs,The Discovery,193000,False,55,0,1,4,0.827,0.414,0.127,0.822,0.0919,-22.097,0.0383,0.0354,130.021,DEEP FOCUS
Awaken,William Duhamel,Awaken,129936,False,55,2,1,3,0.929,0.346,0.0943,0.918,0.102,-13.632,0.0362,0.109,127.006,DEEP FOCUS
Bouquet with Lilies,La Acacia,Bouquet with Lilies,216607,False,56,0,1,4,0.716,0.621,0.345,0.921,0.091,-12.106,0.0295,0.113,117.683,DEEP FOCUS
Wild Flowers,MVS,Wild Flowers,134212,False,53,4,0,5,0.978,0.25,0.108,0.91,0.148,-19.773,0.0463,0.118,73.59,DEEP FOCUS
Eidolon,Monocle Twins,Eidolon,257668,False,54,10,0,3,0.862,0.553,0.24,0.946,0.0932,-19.522,0.0304,0.164,128.986,DEEP FOCUS
alpha waves,Eucalyptic,alpha waves,205127,False,55,4,0,4,0.795,0.561,0.314,0.876,0.115,-16.989,0.0281,0.0883,95.931,DEEP FOCUS
The Disappearance of the Unmoved Mover,So Vea,The Disappearance of the Unmoved Mover,269296,False,54,11,0,4,0.879,0.627,0.427,0.878,0.0977,-11.498,0.0283,0.132,112.043,DEEP FOCUS
Old Rain on a New Day,Cora Zea,Celestial Siren,225500,False,54,7,1,4,0.971,0.286,0.14,0.892,0.134,-16.496,0.0346,0.154,119.191,DEEP FOCUS
Takeoff,Silo Silo,Takeoff,194666,False,54,4,0,4,0.625,0.44,0.32,0.886,0.0823,-12.011,0.0323,0.0694,180.036,DEEP FOCUS
Suhpratti,Parazal,Hum,186542,False,54,11,0,4,0.974,0.564,0.0515,0.765,0.114,-15.118,0.0338,0.214,93.961,DEEP FOCUS
Projections,Jacob Yoffee,Projections,160033,False,52,9,1,4,0.692,0.329,0.0735,0.815,0.0832,-27.372,0.0383,0.0378,112.206,DEEP FOCUS
Curious Morning,Michael Orvind,Curious Morning,182222,False,53,3,0,4,0.969,0.391,0.231,0.954,0.116,-17.0,0.0363,0.0882,107.981,DEEP FOCUS
If You Believe,Yonder Dale,Unification,183428,False,54,8,0,4,0.937,0.575,0.202,0.441,0.103,-18.544,0.0444,0.142,139.943,DEEP FOCUS
mellow,cloudcrush,mellow,144434,False,53,0,1,4,0.985,0.609,0.157,0.792,0.112,-15.792,0.0322,0.0698,111.966,DEEP FOCUS
