Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Mil Tequilas,Chema Rivas,Mil Tequilas,255450,False,10,1,1,4,0.226,0.698,0.77,0,0.0957,-3.937,0.132,0.288,100.102,EN EL TRABAJO
Cuando Éramos Dos,"Sinsinati,Álvaro De Luna",Cuando Éramos Dos,205059,False,68,6,0,4,0.135,0.56,0.589,0,0.109,-5.612,0.0419,0.712,100.04,EN EL TRABAJO
Quédate conmigo,"Pole.,Pilar Moxó",Quédate conmigo,216032,False,1,1,1,4,0.676,0.58,0.715,0,0.244,-4.735,0.0394,0.464,145.917,EN EL TRABAJO
Caramelo,Ozuna,Caramelo,217546,False,87,6,1,4,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,0.698,168.084,EN EL TRABAJO
El Manual,Anuel AA,Emmanuel,210623,False,78,0,1,4,0.35,0.843,0.845,0.00168,0.0527,-2.344,0.0503,0.898,126.989,EN EL TRABAJO
Carita de Inocente (feat. Myke Towers) - Remix,"Prince Royce,Myke Towers",Carita de Inocente (feat. Myke Towers) [Remix],192698,False,79,10,0,4,0.364,0.565,0.781,0,0.0984,-3.358,0.061,0.943,129.959,EN EL TRABAJO
Bailemos,Dani Fernández,Incendios,210468,False,67,1,1,4,0.0616,0.649,0.555,3.45e-06,0.0874,-4.655,0.0292,0.607,128.009,EN EL TRABAJO
Mi Religión,Nil Moliner,Mi Religión,191379,False,63,5,1,4,0.267,0.851,0.729,1.21e-06,0.197,-5.046,0.0275,0.973,106.011,EN EL TRABAJO
Sueño (con Pablo Alborán),"Beret,Pablo Alborán",Prisma,185482,False,71,8,0,4,0.372,0.667,0.613,0,0.174,-5.604,0.0412,0.54,105.064,EN EL TRABAJO
Pa toda la vida (feat. Mozart La Para),"Don Patricio,Mozart La Para",Pa toda la vida (feat. Mozart La Para),212330,False,69,2,1,4,0.218,0.692,0.639,3.91e-05,0.147,-5.336,0.228,0.511,98.461,EN EL TRABAJO
TBT,"Sebastian Yatra,Rauw Alejandro,Manuel Turizo",TBT,239133,False,76,2,1,4,0.0362,0.794,0.855,0,0.142,-1.959,0.0466,0.639,91.963,EN EL TRABAJO
Relación,Sech,Relación,184254,False,50,7,0,4,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0.105,0.767,172.094,EN EL TRABAJO
Soldadito de Hierro,Nil Moliner,Soldadito de Hierro,142964,False,60,9,1,4,0.87,0.716,0.344,0,0.0945,-7.528,0.14,0.412,81.86,EN EL TRABAJO
Aún me amas,Beret,Aún me amas,220000,False,68,5,1,4,0.272,0.478,0.591,0,0.107,-7.278,0.0377,0.466,78.121,EN EL TRABAJO
Indios y Vaqueros,"Sinsinati,Álvaro De Luna",Indios y Vaqueros,184000,False,67,8,1,4,0.0607,0.606,0.797,0,0.366,-6.23,0.0702,0.851,100.015,EN EL TRABAJO
"Quiero, Quiero y Quiero",Arnau Griso,"Quiero, Quiero y Quiero",205933,False,58,6,1,4,0.0993,0.771,0.748,0,0.105,-5.18,0.033,0.774,107.954,EN EL TRABAJO
Djadja (feat. Maluma) - Remix,"Aya Nakamura,Maluma",Djadja (feat. Maluma) [Remix],166850,False,85,5,1,4,0.175,0.791,0.682,0,0.0926,-7.328,0.158,0.672,98.031,EN EL TRABAJO
Me Vale,Miki Núñez,Me Vale,195538,False,65,9,1,4,0.00145,0.525,0.782,0,0.0778,-4.158,0.0619,0.738,159.926,EN EL TRABAJO
El Mismo Aire - con Pablo Alborán,"Camilo,Pablo Alborán",El Mismo Aire (con Pablo Alborán),188213,False,84,0,0,4,0.603,0.483,0.492,0,0.323,-6.591,0.295,0.66,144.511,EN EL TRABAJO
Si por mi fuera,Beret,Prisma,208824,False,64,2,1,4,0.0271,0.701,0.75,0,0.102,-5.717,0.0316,0.876,150.078,EN EL TRABAJO
Bajo La Mesa,"Morat,Sebastian Yatra",Bajo La Mesa,157080,False,76,6,0,4,0.238,0.716,0.624,0,0.128,-5.398,0.0739,0.783,90.983,EN EL TRABAJO
La Jeepeta - Remix,"Nio Garcia,Anuel AA,Myke Towers,Brray,Juanka",La Jeepeta (Remix),345240,True,87,4,0,4,0.3,0.815,0.715,4.83e-06,0.091,-4.65,0.207,0.786,176.007,EN EL TRABAJO
Bailando,Nil Moliner,Bailando,213666,False,59,0,1,4,0.132,0.718,0.742,0,0.298,-5.761,0.0467,0.944,140.055,EN EL TRABAJO
Favorito,Camilo,Favorito,211613,False,81,9,1,4,0.229,0.611,0.851,0,0.232,-2.982,0.0598,0.823,178.032,EN EL TRABAJO
Flamenkito,"Lérica,Belinda",Flamenkito,202153,False,71,0,1,4,0.0877,0.73,0.714,0,0.117,-2.979,0.107,0.924,94.896,EN EL TRABAJO
Un Planeta Llamado Nosotros,Maldita Nerea,Un Planeta Llamado Nosotros,225920,False,0,10,1,4,0.176,0.659,0.544,0,0.0919,-7.053,0.0589,0.826,100.932,EN EL TRABAJO
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",Emmanuel,246000,True,86,8,1,4,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,0.855,174.021,EN EL TRABAJO
Quiéreme Mientras Se Pueda,Manuel Turizo,Quiéreme Mientras Se Pueda,191945,False,86,4,1,4,0.447,0.793,0.782,0,0.124,-3.945,0.0582,0.81,143.86,EN EL TRABAJO
+,"Aitana,Cali Y El Dandee",+,219367,False,75,8,1,4,0.106,0.561,0.666,0,0.123,-4.243,0.0322,0.675,160.019,EN EL TRABAJO
Mi Pequeño Chernóbil,Leiva,Mi Pequeño Chernóbil,260030,False,57,7,1,4,0.00538,0.509,0.669,0.00494,0.107,-7.763,0.0423,0.305,131.846,EN EL TRABAJO
Nunca Te Olvidé,Morat,Nunca Te Olvidé,211970,False,69,6,1,4,0.0521,0.564,0.83,0,0.069,-4.46,0.0477,0.832,93.787,EN EL TRABAJO
De Tranquilote,"Danny Romero,Lérica",De Tranquilote,177208,False,64,2,1,4,0.105,0.682,0.669,0,0.071,-7.15,0.0951,0.889,79.929,EN EL TRABAJO
Besos,El Canto Del Loco,Zapatillas,145826,False,61,10,1,4,0.00679,0.576,0.909,4.42e-06,0.134,-3.306,0.0523,0.544,104.971,EN EL TRABAJO
Locura,"Cali Y El Dandee,Sebastian Yatra",Colegio,209026,False,78,8,1,4,0.0858,0.643,0.769,0,0.205,-3.533,0.0877,0.532,185.669,EN EL TRABAJO
Gentleman,Cepeda,Gentleman,221397,False,58,7,0,4,0.00437,0.606,0.921,0,0.111,-3.722,0.0327,0.77,108.011,EN EL TRABAJO
La Bella y la Bestia,"Reik,Morat",La Bella y la Bestia,186359,False,77,8,1,4,0.0254,0.625,0.759,0,0.114,-4.861,0.0592,0.566,89.951,EN EL TRABAJO
Física o química,Despistaos,Lo que hemos vivido,191853,False,60,7,1,4,0.0559,0.624,0.897,0,0.377,-3.824,0.0508,0.963,100.007,EN EL TRABAJO
Se iluminaba,"Fred De Palma,Ana Mena",Se iluminaba,174291,False,0,0,0,4,0.0811,0.791,0.693,0,0.0708,-4.98,0.0639,0.624,123.923,EN EL TRABAJO
Si Tú La Quieres,"David Bisbal,Aitana",Si Tú La Quieres,224761,False,76,0,0,4,0.147,0.748,0.778,1.57e-06,0.093,-4.582,0.0685,0.607,100.053,EN EL TRABAJO
Cosas de la Edad,Modestia Aparte,Cosas de la Edad,173081,False,48,4,0,4,0.0364,0.558,0.908,1.56e-06,0.0618,-11.133,0.0502,0.694,102.685,EN EL TRABAJO
A Dónde Vamos,Morat,A Dónde Vamos,203102,False,69,0,1,4,0.00677,0.627,0.608,0,0.233,-12.914,0.0364,0.955,149.029,EN EL TRABAJO
Si Me Dices Que Sí,"Reik,Farruko,Camilo",Si Me Dices Que Sí,211651,False,82,8,0,4,0.00473,0.578,0.634,0,0.132,-5.979,0.333,0.216,183.89,EN EL TRABAJO
Caminando por la vida,Melendi,Que El Cielo Espere Sentao..,211680,False,63,5,1,4,0.0148,0.695,0.958,7.16e-06,0.154,-3.778,0.0827,0.711,108.054,EN EL TRABAJO
Fuego,Estopa,Fuego,193260,False,60,9,0,4,0.049,0.669,0.85,0,0.369,-4.895,0.0763,0.845,100.103,EN EL TRABAJO
PAM,"Justin Quiles,Daddy Yankee,El Alfa",PAM,201000,True,80,11,1,4,0.289,0.889,0.863,0.000603,0.0798,-3.011,0.0757,0.776,112.953,EN EL TRABAJO
Antes Que Ver El Sol - Con Dani (El Canto Del Loco),Coti,Coti,221626,False,59,9,1,4,0.0832,0.678,0.69,0,0.167,-7.496,0.0312,0.887,134.04,EN EL TRABAJO
Enemigos,"Aitana,Reik",Enemigos,197393,False,69,1,0,4,0.0502,0.713,0.79,0,0.172,-3.609,0.146,0.702,89.997,EN EL TRABAJO
Princesas,Pereza,Animales,217000,False,65,7,1,4,0.0634,0.683,0.846,0,0.346,-3.551,0.0422,0.706,131.884,EN EL TRABAJO
"Marta, Sebas, Guille y los demás",Amaral,Pájaros En La Cabeza,223186,False,61,2,1,4,0.269,0.598,0.853,0,0.112,-4.559,0.0506,0.66,102.473,EN EL TRABAJO
Tutu,"Camilo,Pedro Capó",Tutu,178613,False,78,9,1,4,0.273,0.731,0.832,0,0.0665,-2.592,0.0503,0.94,146.013,EN EL TRABAJO
Me llama,Beret,Me llama,211180,False,57,1,1,4,0.175,0.682,0.55,0,0.116,-5.91,0.105,0.271,90.727,EN EL TRABAJO
Borracho De Amor,"Cali Y El Dandee,Reik",Borracho De Amor,175706,False,65,9,1,4,0.0511,0.527,0.771,0,0.0948,-2.178,0.0634,0.857,92.746,EN EL TRABAJO
