Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Como El Agua,Camaron De La Isla,Como El Agua (Remastered),221080,False,57,2,1,4,0.826,0.467,0.736,0.000155,0.168,-8.612,0.131,0.77,161.653,FLAMENCO
El Anhelo - Bulerías,"Israel Fernández,Diego del Morao",El Anhelo,209374,False,42,7,1,3,0.715,0.694,0.794,0.0117,0.167,-7.177,0.0521,0.788,119.961,FLAMENCO
Del amanecer,Jose Merce,Del Amanecer...,258600,False,45,6,0,4,0.556,0.642,0.679,0,0.0655,-7.188,0.105,0.851,169.739,FLAMENCO
Aire - Remaster (Bulería),Jose Merce,Aire,246106,False,52,7,1,3,0.486,0.754,0.866,0,0.0766,-4.393,0.195,0.769,107.15,FLAMENCO
Tu Vienes Vendiendo Flores - Soleá,Enrique Morente,Despegando,248240,False,39,9,1,5,0.795,0.558,0.561,0.000148,0.0645,-11.184,0.091,0.591,124.564,FLAMENCO
Rosa Maria - Tangos,"Camaron De La Isla,Paco de Lucía",Rosa María (Remastered),135613,False,51,6,1,4,0.703,0.572,0.533,0,0.255,-7.686,0.0472,0.688,74.912,FLAMENCO
Yo No Caía Nunca en Cama - Soleares,Fernanda De Utrera,Tres Grandes de Utrera Vol. 2,484880,False,39,5,0,4,0.949,0.525,0.51,0.014,0.142,-9.235,0.057,0.566,134.821,FLAMENCO
La Niña de Fuego,Manolo Caracol,"Lo Mejor de Manolo Caracol, Vol. 1",174040,False,41,10,1,4,0.891,0.434,0.241,2.46e-05,0.126,-10.508,0.0315,0.361,100.832,FLAMENCO
No Tuve Quien Me Dijera - Bulerías,"La Paquera De Jerez,Felipe Campuzano,Manolo Sanlucar,I. Morales",In Memoriam de la Fabulosa. Selección de Sus Últimas Grabaciones,322226,False,38,4,1,3,0.742,0.695,0.673,0.00231,0.0833,-7.762,0.155,0.683,117.525,FLAMENCO
Aunque Es de Noche (Tango),Enrique Morente,Aunque Es De Noche,252880,False,42,11,0,4,0.763,0.432,0.442,0,0.162,-10.001,0.0358,0.639,150.572,FLAMENCO
Penélope Cruz: Volver,"Estrella Morente,Enrique Morente",Mujeres,217853,False,53,9,0,3,0.896,0.583,0.386,1.01e-05,0.074,-11.531,0.133,0.634,101.045,FLAMENCO
Llamale Amor (Rumba),"El Pele,Vicente Amigo",Canto,273293,False,46,4,0,4,0.468,0.835,0.775,3.95e-06,0.54,-6.371,0.238,0.801,105.034,FLAMENCO
El aire llega,Diego del Morao,Orate,278746,False,37,0,1,4,0.826,0.747,0.579,0.0455,0.0904,-9.276,0.0599,0.716,87.936,FLAMENCO
Soy Gitano - En Directo En El Festival De Jazz De Montreux / 1991,"Camaron De La Isla,Tomatito,El Pele,Moraito Chico,Charo Manzano,Tino Di Geraldo",Montreux 1991 (En Directo En El Festival De Jazz De Montreux / 1991),338070,False,43,6,1,4,0.412,0.539,0.975,3.28e-05,0.684,-4.776,0.126,0.466,95.588,FLAMENCO
En lo alto del cerro (Tangos),Estrella Morente,Mi Cante Y Un Poema,204746,False,49,8,0,4,0.245,0.69,0.708,6.52e-05,0.0483,-5.985,0.0803,0.698,90.263,FLAMENCO
Chanelando - Pintor (Tangos),Diego El Cigala,Picasso En Mis Ojos,249826,False,41,4,0,4,0.524,0.549,0.821,3.09e-06,0.488,-4.952,0.083,0.557,83.963,FLAMENCO
Estrella,Enrique Morente,Despegando,315560,False,40,11,0,4,0.689,0.449,0.41,0,0.289,-10.971,0.0425,0.352,128.428,FLAMENCO
Al alba,Jose Merce,Aire,256839,False,49,7,1,3,0.644,0.619,0.671,0,0.152,-6.811,0.0819,0.831,104.362,FLAMENCO
Como El Agua,Camaron De La Isla,Camarón La Película (Slidepack),226453,False,0,6,0,4,0.821,0.478,0.656,0,0.19,-6.76,0.0677,0.888,158.882,FLAMENCO
Isla de los Bienaventurados (Bulerías),Cañizares,El Mito de la Caverna,228469,False,35,4,0,3,0.795,0.702,0.715,0.844,0.0984,-4.678,0.0346,0.796,114.114,FLAMENCO
Trago Amargo,Rocío Márquez,Visto En El Jueves,262707,False,38,3,0,3,0.79,0.813,0.645,0.000295,0.0597,-7.657,0.0953,0.669,125.907,FLAMENCO
Tangos de Málaga - Remastered,La Repompa,"TRA TRÁ, Vol. 1 - Tangos de Málaga (Remastered)",167777,False,32,8,1,4,0.892,0.574,0.683,0.0406,0.194,-6.356,0.0962,0.697,82.639,FLAMENCO
Jerez - Rumba,"Jose Merce,Tomatito",De Verdad,213595,False,40,7,1,4,0.547,0.781,0.692,1.94e-05,0.116,-7.619,0.0679,0.615,100.035,FLAMENCO
No lo pasen por mi puerta,Enrique Morente,Homenaje a Don Antonio Chacón,229320,False,22,7,1,4,0.878,0.434,0.167,0,0.126,-14.306,0.0825,0.292,87.362,FLAMENCO
Son Tus Ojos Dos Estrellas - Bulería,"Camaron De La Isla,Paco de Lucía",El Legado De Camarón,210266,False,40,6,0,3,0.78,0.543,0.742,7.68e-06,0.073,-6.648,0.0485,0.706,124.049,FLAMENCO
El Sereno de Mi Calle - Tangos,Porrina de Badajoz,27 de Sus Mejores Cantes. Siempre Grande y Noble,199133,False,21,4,0,4,0.864,0.614,0.579,0.0038,0.116,-7.728,0.087,0.652,91.516,FLAMENCO
Plaza Real,Duquende,Flamenco Universal,268253,False,28,6,1,3,0.806,0.696,0.715,7.24e-06,0.081,-4.022,0.063,0.513,123.459,FLAMENCO
Nuevo día,Lole Y Manuel,El origen de la leyenda,285586,False,43,11,0,4,0.273,0.527,0.499,0.000104,0.155,-8.76,0.051,0.425,99.562,FLAMENCO
Sale La Luna - Bulerías,Vicente Soto Sordera,Estar Alegre,253760,False,34,10,0,3,0.481,0.84,0.422,0.000195,0.0519,-10.02,0.103,0.614,104.436,FLAMENCO
Zorongo Gitano - Tangos,Carmen Linares,Flamenco Vivo (Canciones Populares Antiguas) [Recopiladas por Federico García Lorca],250440,False,30,8,1,4,0.0898,0.52,0.514,0,0.101,-11.356,0.237,0.646,81.485,FLAMENCO
Soy Flamenco - Bulerías,Tomatito,Soy Flamenco,364840,False,36,5,0,3,0.818,0.589,0.557,0.395,0.148,-9.289,0.042,0.451,125.782,FLAMENCO
Quisiera Ser Como el Aire (Bulerias),Bernarda De Utrera,Fernanda y Bernarda de Utrera,254000,False,17,1,1,3,0.458,0.528,0.995,0.245,0.0799,-8.277,0.107,0.128,115.629,FLAMENCO
La gazpacha - La repompa - La tía Concha,"Estrella Morente,Enrique Morente",Mujeres,348160,False,33,6,0,4,0.9,0.506,0.594,0.000561,0.113,-9.417,0.0591,0.715,82.236,FLAMENCO
Pregón del miedo,David Lagos,Hodierno,165044,False,20,2,1,5,0.964,0.394,0.151,0,0.225,-9.581,0.095,0.276,166.056,FLAMENCO
El Sentido de la Vida,"Duquende,Tomatito",Y la Guitarra de Tomatito,293733,False,30,8,1,4,0.754,0.715,0.394,5.15e-05,0.0585,-17.293,0.0546,0.673,83.233,FLAMENCO
Toma Este Puñal Dorao,Carmen Linares,Flamenco es... Carmen Linares,296160,False,30,8,1,3,0.781,0.623,0.323,4.44e-06,0.103,-13.792,0.101,0.466,155.919,FLAMENCO
Tangos de Pepico,Estrella Morente,Mi Cante Y Un Poema,208600,False,43,4,0,4,0.525,0.645,0.672,8.48e-05,0.0857,-6.876,0.29,0.817,86.002,FLAMENCO
Entre Dos Aguas,Paco de Lucía,Entre Dos Aguas,362093,False,0,4,0,4,0.845,0.45,0.634,0.872,0.0829,-14.734,0.036,0.907,103.048,FLAMENCO
En Tu Puerta Da La Luna,Camaron De La Isla,Como El Agua (Remastered),263746,False,28,5,0,3,0.946,0.464,0.262,0.000247,0.13,-11.054,0.0556,0.264,79.367,FLAMENCO
Tu Mira - Edit,Lole Y Manuel,Kill Bill Vol. 2 Original Soundtrack,239453,False,43,5,0,3,0.314,0.497,0.45,0.00737,0.267,-8.224,0.0425,0.136,99.924,FLAMENCO
