Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Life Goes On,BTS,BE,207481,False,90,1,1,4,0.00691,0.566,0.716,0,0.37,-5.733,0.0424,0.45,81.068,KPop 2020 Top hits
HAPPENING,AKMU,HAPPENING,224015,False,65,9,1,4,0.0909,0.647,0.548,5.51e-05,0.108,-8.446,0.0271,0.272,127.981,KPop 2020 Top hits
Black Mamba,aespa,Black Mamba,174933,False,78,2,1,4,0.0618,0.52,0.915,0.000946,0.0856,-2.862,0.103,0.5,90.069,KPop 2020 Top hits
MMM,TREASURE,THE FIRST STEP : CHAPTER THREE,208053,False,70,1,1,4,0.0518,0.766,0.746,0,0.0651,-5.917,0.104,0.633,80.007,KPop 2020 Top hits
MAGO,GFRIEND,回:Walpurgis Night,199133,False,77,6,0,4,0.00548,0.621,0.821,0.000578,0.142,-3.662,0.0364,0.646,120.062,KPop 2020 Top hits
Lovesick Girls,BLACKPINK,THE ALBUM,192760,False,85,6,1,4,0.00668,0.658,0.733,0,0.118,-4.756,0.0586,0.464,127.977,KPop 2020 Top hits
Pretty Savage,BLACKPINK,THE ALBUM,199120,False,83,9,0,4,0.00657,0.695,0.583,8.75e-05,0.104,-6.575,0.0423,0.382,152.001,KPop 2020 Top hits
I CAN'T STOP ME,TWICE,Eyes Wide Open,205493,False,86,10,0,4,0.121,0.657,0.88,0,0.463,-3.672,0.102,0.769,150.084,KPop 2020 Top hits
Make A Wish (Birthday Song),NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,229400,False,79,8,1,4,0.0632,0.732,0.795,0,0.0569,-2.263,0.1,0.693,100.954,KPop 2020 Top hits
The Melody,SUPER JUNIOR,The Melody,191213,False,65,0,1,4,0.27,0.779,0.651,0,0.333,-4.482,0.0358,0.54,110.057,KPop 2020 Top hits
ALIEN,LEE SUHYUN,ALIEN,181853,False,71,9,1,4,0.0818,0.792,0.696,0.00181,0.447,-4.87,0.0545,0.75,127.992,KPop 2020 Top hits
Blue Hour,TOMORROW X TOGETHER,minisode1 : Blue Hour,209105,False,79,3,0,4,0.00962,0.71,0.82,0,0.0871,-4.362,0.0836,0.746,112.005,KPop 2020 Top hits
Dynamite,BTS,Dynamite,199053,False,66,6,0,4,0.0112,0.746,0.765,0,0.0936,-4.41,0.0993,0.737,114.044,KPop 2020 Top hits
Bet You Wanna (feat. Cardi B),"BLACKPINK,Cardi B",THE ALBUM,159173,False,81,7,1,4,0.00386,0.665,0.674,0,0.0734,-5.188,0.161,0.702,111.516,KPop 2020 Top hits
