Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Son De La Negra,Mariachi Vargas De Tecalitlan,Las Canciones Mexicanas Que El Mundo Canta,181000,False,43,7,1,3,0.074,0.421,0.639,0.0512,0.161,-5.059,0.0371,0.767,175.396,MARIACHIS CLASSICS
Por Mujeres Como Tu,Pepe Aguilar,Por Mujeres Como Tu,261131,False,2,2,1,4,0.857,0.568,0.291,1.63e-05,0.159,-7.73,0.0268,0.357,92.023,MARIACHIS CLASSICS
Como Quien Pierde una Estrella,Alejandro Fernández,Que Seas Muy Feliz,213733,False,59,10,1,4,0.641,0.438,0.35,6.4e-05,0.115,-11.088,0.0302,0.568,163.117,MARIACHIS CLASSICS
Hermoso Cariño,Vicente Fernández,Vicente Fernández,156866,False,68,0,1,3,0.612,0.343,0.425,5.13e-06,0.243,-5.589,0.0288,0.408,154.267,MARIACHIS CLASSICS
Sabes Una Cosa,Luis Miguel,Mexico en la Piel (edicion diamante),200386,False,68,0,1,3,0.268,0.437,0.522,0,0.126,-7.048,0.031,0.72,169.366,MARIACHIS CLASSICS
El son de la negra,Mariachi Vargas De Tecalitlan,Música de America,179000,False,53,7,1,3,0.268,0.481,0.561,0.0137,0.255,-9.101,0.0498,0.834,170.908,MARIACHIS CLASSICS
Se Me Olvidó Otra Vez,Juan Gabriel,15 Años De Exitos Rancheros,176320,False,51,9,1,4,0.772,0.531,0.208,0,0.149,-12.087,0.042,0.343,83.354,MARIACHIS CLASSICS
Tatuajes,Joan Sebastian,Tatuajes,211929,False,3,7,1,4,0.73,0.782,0.534,4.14e-06,0.13,-5.401,0.0281,0.917,100.565,MARIACHIS CLASSICS
Amor Eterno,Rocío Dúrcal,Amor Eterno,408506,False,56,0,1,4,0.231,0.279,0.157,0.000463,0.564,-17.564,0.0334,0.385,177.312,MARIACHIS CLASSICS
Por Una Mujer Bonita,Pepe Aguilar,Por Una Mujer Bonita,162632,False,0,4,0,4,0.749,0.454,0.476,0,0.326,-6.156,0.032,0.558,141.991,MARIACHIS CLASSICS
