Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Higher Ground (feat. John Martin),"Martin Garrix,John Martin",Higher Ground (feat. John Martin),206279,False,74,1,1,4,0.0841,0.442,0.619,0,0.0889,-5.28,0.0321,0.382,128.318,POWER HOUR
Astronomia,"Vicetone,Tony Igy",Astronomia,198095,False,77,5,1,4,0.00561,0.653,0.945,0.915,0.439,-2.634,0.096,0.326,126.093,POWER HOUR
Nightlight - MOTi Remix,"ILLENIUM,Annika Wells,MOTi","Nightlight (The Remixes, Vol. 2)",188571,False,60,11,0,4,0.121,0.643,0.767,3.7e-06,0.235,-5.822,0.0562,0.386,125.968,POWER HOUR
Goosebumps,HVME,Goosebumps,163208,True,85,1,1,4,0.325,0.767,0.659,0,0.13,-7.429,0.0444,0.439,124.946,POWER HOUR
Get in Trouble (So What),"Dimitri Vegas & Like Mike,Vini Vici,Dimitri Vegas",Get in Trouble (So What),161739,False,68,1,1,4,0.000206,0.558,0.99,0.376,0.0797,-3.877,0.128,0.0738,138.074,POWER HOUR
Physical,Dua Lipa,Future Nostalgia,193829,False,81,0,1,4,0.0137,0.647,0.844,0.000658,0.102,-3.756,0.0457,0.746,146.967,POWER HOUR
Drown (feat. Clinton Kane) - Nicky Romero Remix,"Martin Garrix,Clinton Kane,Nicky Romero",Drown (feat. Clinton Kane) [Nicky Romero Remix],187380,False,54,6,0,4,0.0355,0.589,0.698,0,0.0773,-5.491,0.0553,0.437,126.094,POWER HOUR
Let's Love,"David Guetta,Sia",Let's Love,200645,False,83,5,1,4,0.00882,0.662,0.868,0.00244,0.584,-4.025,0.0341,0.353,92.998,POWER HOUR
Strings Again,Matisse & Sadko,Strings Again,186964,False,51,5,1,4,0.00231,0.379,0.909,0.0449,0.58,-4.617,0.0649,0.273,125.946,POWER HOUR
Mr. Brightside,Don Diablo,Mr. Brightside,226666,False,63,1,1,4,0.054,0.55,0.865,0,0.0859,-3.783,0.0725,0.246,126.093,POWER HOUR
The Chase,"Dimitri Vegas & Like Mike,Quintino",The Chase,194571,False,59,5,0,4,0.00106,0.564,0.897,0.674,0.0967,-5.794,0.0814,0.226,139.999,POWER HOUR
All Night (feat. Ally Brooke),"Afrojack,Ally Brooke",All Night (feat. Ally Brooke),166413,False,66,0,0,4,0.123,0.593,0.877,0,0.503,-3.825,0.0677,0.635,123.76,POWER HOUR
