Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Breaking Me,"Topic,A7S",Breaking Me,166793,False,92,8,0,4,0.223,0.789,0.72,0,0.129,-5.652,0.218,0.664,122.031,TOMORROWLAND 2020 PLAYLIST
Lovefool,twocolors,Lovefool,190487,False,84,6,1,4,0.0219,0.677,0.766,6.81e-06,0.129,-6.896,0.0568,0.198,123.062,TOMORROWLAND 2020 PLAYLIST
Piece Of Your Heart - Alok Remix,"MEDUZA,Alok,Goodboys",Piece Of Your Heart (Alok Remix),166451,False,78,10,0,4,0.0312,0.797,0.86,0.0137,0.334,-4.38,0.0413,0.192,124.033,TOMORROWLAND 2020 PLAYLIST
The Business,Tiësto,The Business,164000,False,87,8,0,4,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,0.235,120.031,TOMORROWLAND 2020 PLAYLIST
Head & Heart (feat. MNEK),"Joel Corry,MNEK",Head & Heart (feat. MNEK),166028,False,94,8,1,4,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,0.905,122.953,TOMORROWLAND 2020 PLAYLIST
Roses - Imanbek Remix,"SAINt JHN,Imanbek",Roses (Imanbek Remix),176840,True,90,8,1,4,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,0.898,121.975,TOMORROWLAND 2020 PLAYLIST
All Around The World (La La La),"R3HAB,A Touch Of Class",All Around The World (La La La),147840,False,78,9,0,4,0.479,0.733,0.859,0.0645,0.105,-5.03,0.033,0.52,124.948,TOMORROWLAND 2020 PLAYLIST
No Sleep (feat. Bonn) - DubVision Remix,"Martin Garrix,Bonn,DubVision",2019 Remixed,239062,False,60,11,1,4,0.0455,0.584,0.79,0,0.213,-6.128,0.0589,0.291,127.972,TOMORROWLAND 2020 PLAYLIST
More Than You Know,Axwell /\ Ingrosso,More Than You Know,203000,False,3,5,0,4,0.0274,0.642,0.733,0,0.266,-5.001,0.0343,0.519,123.075,TOMORROWLAND 2020 PLAYLIST
Mine [Provi Remix],"Mark Mendy,Paolo Lewis,Provi",Mine [Remixes],152247,False,52,8,1,4,0.238,0.846,0.791,4.94e-06,0.108,-5.127,0.189,0.699,120.015,TOMORROWLAND 2020 PLAYLIST
