Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
All Night Longer,Sammy Adams,All Night Longer,177093,True,66,1,1,4,0.000652,0.712,0.649,0,0.0683,-4.753,0.063,0.616,127.028,AllNightLong
I Love College,Asher Roth,Asleep In The Bread Aisle,241933,True,62,8,1,4,0.0897,0.713,0.826,0,0.421,-4.075,0.243,0.664,86.444,AllNightLong
PICK IT UP (feat. A$AP Rocky),"Famous Dex,A$AP Rocky",Pick It Up (feat. A$AP Rocky),191251,True,69,1,1,4,0.0149,0.921,0.467,0.000238,0.334,-8.443,0.119,0.287,135.995,AllNightLong
Doses & Mimosas,Cherub,Year of the Caprese,323253,True,69,5,1,4,0.114,0.775,0.655,0.00016,0.035,-7.333,0.102,0.346,114.503,AllNightLong
BedRock,"Young Money,Lloyd",We Are Young Money,288133,True,72,8,1,4,0.102,0.733,0.664,0,0.191,-6.163,0.295,0.557,148.005,AllNightLong
HeadBand (feat. 2 Chainz),"B.o.B,2 Chainz",HeadBand (feat. 2 Chainz),219833,True,55,1,1,4,0.166,0.92,0.472,0,0.068,-7.941,0.333,0.308,97.463,AllNightLong
Truth Hurts - CID Remix,"Lizzo,CID",Truth Hurts (CID Remix),178204,True,44,7,1,4,0.022,0.721,0.844,1.19e-06,0.434,-3.316,0.101,0.446,128.048,AllNightLong
Panini,Lil Nas X,Panini,114893,False,75,5,0,4,0.342,0.703,0.594,0,0.123,-6.146,0.0752,0.475,153.848,AllNightLong
Skeezy Treesh,3NIGMA,Skeezy Treesh,113121,False,1,11,1,3,0.0552,0.586,0.747,0,0.387,-5.37,0.252,0.47,78.246,AllNightLong
Castaway,3NIGMA,Castaway,82076,False,2,7,0,4,0.6,0.597,0.239,0.00359,0.102,-12.703,0.0393,0.358,109.941,AllNightLong
Knock You Down,"Keri Hilson,Kanye West,Ne-Yo",In A Perfect World...,326186,False,56,8,1,4,0.00952,0.588,0.877,0,0.171,-4.78,0.16,0.645,155.165,AllNightLong
Good Girls Go Bad (feat. Leighton Meester),"Cobra Starship,Leighton Meester",Hot Mess,196413,False,65,0,1,4,0.0116,0.594,0.874,0,0.549,-3.716,0.0815,0.628,119.964,AllNightLong
Forever,Chris Brown,Forever,278573,False,73,11,1,4,0.0368,0.672,0.82,0.000188,0.184,-4.456,0.0459,0.438,120.005,AllNightLong
Club Can't Handle Me (feat. David Guetta),"Flo Rida,David Guetta",Only One Flo (Part 1),234560,False,73,0,1,4,0.0283,0.616,0.869,0,0.064,-3.911,0.0327,0.473,127.966,AllNightLong
Remind Me to Forget - Hook N Sling Remix,"Kygo,Miguel,Hook N Sling",Remind Me to Forget (Remixes),217133,False,44,0,1,4,0.012,0.712,0.792,0.000282,0.285,-4.22,0.0366,0.621,105.002,AllNightLong
Hot Shower,"Chance the Rapper,MadeinTYO,DaBaby",The Big Day,225923,True,72,9,1,4,0.00157,0.899,0.509,0,0.0573,-8.04,0.387,0.599,150.001,AllNightLong
Post Malone (feat. RANI),"Sam Feldt,RANI",Magnets EP,174444,False,77,7,1,4,0.0771,0.59,0.642,0,0.105,-3.87,0.122,0.651,107.356,AllNightLong
UCLA,"RL Grime,24hrs",NOVA,192000,True,74,1,1,4,0.0742,0.536,0.879,0,0.0847,-3.019,0.0621,0.334,140.137,AllNightLong
Wild Ones (feat. Sia),"Flo Rida,Sia",Wild Ones (feat. Sia),233688,False,54,5,0,4,0.101,0.624,0.889,0,0.227,-3.772,0.0504,0.45,127.019,AllNightLong
No Hands (feat. Roscoe Dash & Wale),"Waka Flocka Flame,Roscoe Dash,Wale",Flockaveli,263773,True,75,1,1,4,0.00544,0.76,0.595,0,0.241,-6.366,0.0391,0.361,131.497,AllNightLong
Kiss Me Thru The Phone,"Soulja Boy,Sammie",iSouljaBoyTellem,193386,True,76,7,1,4,0.0185,0.758,0.712,0,0.0677,-3.781,0.112,0.795,149.998,AllNightLong
Sexy Can I feat. Yung Berg,Ray J,All I Feel,204040,True,39,1,1,4,0.299,0.575,0.684,0,0.614,-6.007,0.325,0.926,172.155,AllNightLong
Wasted,"Tiësto,Matthew Koma",A Town Called Paradise (Deluxe),190013,False,64,2,1,4,0.00149,0.638,0.816,0.00115,0.195,-5.503,0.0308,0.386,112.014,AllNightLong
Kill The Lights (with Nile Rodgers) - Audien Remix,"Alex Newell,Jess Glynne,DJ Cassidy,Nile Rodgers,Audien",Kill The Lights (with Nile Rodgers) [Remixes],224761,False,61,7,1,4,0.0837,0.647,0.879,1.98e-06,0.538,-0.93,0.0831,0.427,126.042,AllNightLong
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg,Wiz Khalifa,Bruno Mars","Young, Wild & Free (feat. Bruno Mars)",207333,True,77,0,1,4,0.0525,0.715,0.655,0,0.115,-6.425,0.137,0.531,95.078,AllNightLong
Jordan Belfort,"Wes Walker,Dyl",Jordan Belfort,207911,True,66,11,0,4,0.125,0.86,0.719,0,0.0799,-4.325,0.33,0.496,160.049,AllNightLong
Tipsy - Club Mix,J-Kwon,Hood Hop,243226,True,62,0,1,4,0.0644,0.925,0.744,0,0.0888,-5.79,0.367,0.656,93.02,AllNightLong
Ayy Ladies (feat. Tyga),"Travis Porter,Tyga",From Day 1,211293,True,68,10,0,4,0.096,0.905,0.782,0,0.0623,-3.604,0.164,0.798,96.055,AllNightLong
Hotel Room Service,Pitbull,Pitbull Starring In Rebelution,237600,False,64,1,1,4,0.00684,0.85,0.631,0.000406,0.0679,-8.401,0.227,0.738,126.002,AllNightLong
Low (feat. T-Pain),"Flo Rida,T-Pain",Mail on Sunday,231400,False,79,10,0,4,0.0928,0.918,0.609,0,0.139,-5.64,0.0791,0.304,128.008,AllNightLong
All Night (feat. Knox Fortune),"Chance the Rapper,Knox Fortune",Coloring Book,141542,True,66,2,1,4,0.0358,0.704,0.777,0,0.151,-5.729,0.195,0.392,111.921,AllNightLong
Caroline,Aminé,Good For You,209640,True,75,5,0,4,0.17,0.94,0.335,0,0.262,-10.179,0.505,0.707,120.04,AllNightLong
Crank That (Soulja Boy),Soulja Boy,souljaboytellem.com,221933,False,75,0,1,4,0.515,0.736,0.74,0,0.0468,-2.18,0.0786,0.803,140.141,AllNightLong
Down,"Jay Sean,Lil Wayne",All Or Nothing,212106,False,78,2,1,4,0.0108,0.657,0.695,0,0.0822,-4.493,0.0321,0.683,65.997,AllNightLong
Rake It Up (feat. Nicki Minaj),"Yo Gotti,Nicki Minaj",I Still Am,276333,True,69,1,0,4,0.022,0.91,0.444,0,0.137,-8.126,0.344,0.53,149.953,AllNightLong
Bottoms Up (feat. Nicki Minaj),"Trey Songz,Nicki Minaj","Passion, Pain & Pleasure",242013,True,70,1,1,4,0.0205,0.845,0.601,0,0.385,-5.283,0.161,0.329,74.008,AllNightLong
Fight Night,Migos,No Label II,216247,True,67,1,1,4,0.182,0.874,0.706,0,0.334,-5.132,0.207,0.895,89.968,AllNightLong
Freaky Friday (feat. Chris Brown),"Lil Dicky,Chris Brown",Freaky Friday (feat. Chris Brown),216631,True,74,8,1,4,0.147,0.755,0.599,0,0.109,-5.042,0.224,0.755,133.123,AllNightLong
No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper,Lil Wayne,2 Chainz",Coloring Book,304606,True,71,11,0,4,0.156,0.652,0.795,0,0.123,-5.192,0.174,0.788,135.018,AllNightLong
Mo Bamba,Sheck Wes,MUDBOY,183906,True,78,4,1,4,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,0.261,146.034,AllNightLong
Fire Burning,Sean Kingston,Tomorrow,239986,False,70,1,1,4,0.0192,0.839,0.804,0,0.331,-2.513,0.0329,0.888,122.973,AllNightLong
Magic In The Hamptons (feat. Lil Yachty),"Social House,Lil Yachty",Magic In The Hamptons (feat. Lil Yachty),164640,False,79,1,1,4,0.66,0.769,0.479,0,0.0914,-5.339,0.0385,0.803,96.051,AllNightLong
679 (feat. Remy Boyz),"Fetty Wap,Remy Boyz",679 (feat. Remy Boyz),196693,True,76,7,1,4,0.00256,0.618,0.717,0,0.625,-5.738,0.318,0.603,190.05,AllNightLong
I Don't Fuck With You,"Big Sean,E-40",Dark Sky Paradise,284386,True,75,1,1,4,0.0362,0.824,0.733,0,0.325,-5.474,0.0613,0.395,97.972,AllNightLong
