Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
This Love,Maroon 5,Songs About Jane,206200,False,0,5,0,4,0.0551,0.714,0.868,0,0.0987,-4.596,0.0363,0.78,95.05,AllOuts00s
I Wanna Love You,"Akon,Snoop Dogg",Konvicted,247066,True,67,0,1,4,0.0373,0.866,0.454,1.49e-06,0.275,-9.383,0.0414,0.368,99.985,AllOuts00s
Just Dance,"Lady Gaga,Colby O'Donis",Just Dance,244440,False,65,1,0,4,0.0278,0.821,0.741,2.51e-05,0.19,-4.57,0.0313,0.741,118.984,AllOuts00s
Sexy Bitch (feat. Akon) - Extended,David Guetta,One Love (Club Version),312000,False,60,11,0,4,0.0181,0.963,0.298,0.0156,0.0756,-5.748,0.125,0.802,130.014,AllOuts00s
Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",218093,False,82,10,0,4,0.284,0.778,0.824,0,0.405,-5.892,0.0712,0.756,100.024,AllOuts00s
Yeah!,"Usher,Lil Jon,Ludacris",Yeah!,250066,False,0,2,1,4,0.0219,0.895,0.795,0,0.0403,-4.693,0.0977,0.574,105.004,AllOuts00s
Pon de Replay,Rihanna,Music Of The Sun,246960,False,78,7,1,4,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,0.498,99.019,AllOuts00s
Replay,Iyaz,Replay,182306,False,77,9,1,4,0.173,0.706,0.751,0,0.168,-6.323,0.0708,0.195,91.031,AllOuts00s
Alors On Danse - Radio Edit,Stromae,Cheese,206066,False,0,1,0,4,0.0994,0.79,0.59,0.00203,0.065,-9.206,0.0793,0.714,119.951,AllOuts00s
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),289133,False,72,0,1,4,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,0.61,127.96,AllOuts00s
La Camisa Negra,Juanes,La Camisa Negra,214506,False,0,6,0,4,0.0868,0.751,0.73,0,0.0757,-4.398,0.0312,0.968,97.014,AllOuts00s
Sex on Fire,Kings of Leon,Sex on Fire,204586,False,0,9,1,4,0.00166,0.544,0.903,0.00632,0.1,-5.651,0.0545,0.432,153.629,AllOuts00s
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),192600,False,76,0,1,4,0.332,0.857,0.801,1.2e-06,0.0789,-6.499,0.0618,0.753,96.009,AllOuts00s
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,211160,False,78,1,0,4,0.3,0.751,0.834,1.77e-05,0.355,-5.444,0.0437,0.894,95.053,AllOuts00s
21 Questions,"50 Cent,Nate Dogg",Get Rich Or Die Tryin',224426,True,69,6,0,4,0.353,0.576,0.807,0.000363,0.0512,-3.908,0.317,0.908,90.012,AllOuts00s
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242373,False,79,5,0,4,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,0.417,138.015,AllOuts00s
Lady - Hear Me Tonight,Modjo,Modjo (Remastered),307153,False,0,6,1,4,0.00793,0.72,0.808,0.0293,0.0634,-5.627,0.0379,0.869,126.041,AllOuts00s
I Kissed A Girl,Katy Perry,One Of The Boys,179640,False,72,5,1,4,0.00223,0.699,0.76,0,0.132,-3.173,0.0677,0.696,129.996,AllOuts00s
L'Amour Toujours,Gigi D'Agostino,Top 100 Greatest Dance Hits,238759,False,68,7,1,4,0.0328,0.617,0.728,0.0482,0.36,-7.932,0.0292,0.808,139.066,AllOuts00s
Because Of You,Ne-Yo,Because Of You,266840,False,75,0,0,4,0.528,0.81,0.538,0,0.0951,-5.784,0.0356,0.828,109.97,AllOuts00s
Umbrella,"Rihanna,JAY-Z",Good Girl Gone Bad: Reloaded,275986,False,81,1,1,4,0.00864,0.583,0.829,0,0.0426,-4.603,0.134,0.575,174.028,AllOuts00s
Where Is The Love?,Black Eyed Peas,Elephunk (International Version),272533,False,0,5,1,4,0.101,0.835,0.687,0,0.132,-3.18,0.184,0.828,94.059,AllOuts00s
Dilemma,"Nelly,Kelly Rowland",Nellyville,289160,True,77,2,0,4,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,0.607,168.189,AllOuts00s
The Scientist,Coldplay,A Rush of Blood to the Head,309600,False,84,5,1,4,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,0.213,146.277,AllOuts00s
I'm Yours,Jason Mraz,I'm Yours,243494,False,61,11,1,4,0.564,0.689,0.432,0,0.0928,-9.394,0.0452,0.747,151.079,AllOuts00s
La Tortura (feat. Alejandro Sanz),"Shakira,Alejandro Sanz","Fijación Oral, Vol. 1",212893,False,72,0,1,4,0.0297,0.74,0.783,0.000308,0.123,-5.367,0.0427,0.812,100.011,AllOuts00s
Love Story,Taylor Swift,Fearless,235266,False,70,2,1,4,0.17,0.618,0.741,0,0.0822,-3.95,0.031,0.296,118.984,AllOuts00s
Get Busy,Sean Paul,Dutty Rock,211666,False,73,10,0,4,0.615,0.735,0.824,0,0.158,-4.143,0.036,0.726,100.202,AllOuts00s
Dynamite,Taio Cruz,The Rokstarr Hits Collection,202613,False,77,4,1,4,0.00379,0.751,0.783,0,0.036,-3.724,0.0859,0.816,119.975,AllOuts00s
Candy Shop,"50 Cent,Olivia",The Massacre,208533,True,0,7,1,5,0.0305,0.609,0.588,0.000142,0.369,-7.992,0.481,0.797,128.763,AllOuts00s
Yellow,Coldplay,Parachutes,266773,False,84,11,1,4,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,0.285,173.372,AllOuts00s
Dragostea Din Tei,O-Zone,Big Brother Allstars - Die Sommerfete,213893,False,0,0,1,4,0.151,0.81,0.962,0,0.0624,-4.652,0.0424,0.706,130.087,AllOuts00s
Hot N Cold,Katy Perry,One Of The Boys,220226,False,70,7,1,4,7.95e-05,0.706,0.841,0,0.0688,-3.956,0.0418,0.861,132.032,AllOuts00s
Beautiful Girls,Sean Kingston,Pure... 2000s Party,241666,False,58,4,1,4,0.137,0.543,0.642,0,0.243,-6.533,0.0888,0.749,117.923,AllOuts00s
Temperature,Sean Paul,The Trinity,218573,False,76,0,0,4,0.106,0.951,0.6,0,0.0712,-4.675,0.0685,0.822,125.04,AllOuts00s
Break Your Heart,Taio Cruz,Break Your Heart,202653,False,0,3,1,4,0.0319,0.604,0.918,0,0.0592,-5.284,0.0312,0.609,122.018,AllOuts00s
Rock DJ,Robbie Williams,Sing When You're Winning,258560,False,69,7,1,4,0.0267,0.708,0.772,0,0.467,-4.264,0.0322,0.861,103.035,AllOuts00s
Everybody's Changing,Keane,Hopes And Fears,215880,False,72,0,1,4,0.0014,0.517,0.839,0.000365,0.108,-3.521,0.0287,0.416,94.015,AllOuts00s
Grenade,Bruno Mars,Doo-Wops & Hooligans,223253,False,76,2,0,4,0.146,0.706,0.558,0,0.118,-7.237,0.0593,0.227,110.443,AllOuts00s
Last Friday Night (T.G.I.F.),Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,230746,False,74,3,0,4,0.00125,0.649,0.815,4.31e-05,0.671,-3.796,0.0415,0.765,126.03,AllOuts00s
Pump It,Black Eyed Peas,Monkey Business,213066,False,76,1,0,4,0.00937,0.648,0.931,0,0.752,-3.15,0.181,0.744,153.649,AllOuts00s
Complicated,Avril Lavigne,Let Go,244506,False,0,5,1,4,0.0615,0.582,0.758,8.41e-06,0.309,-5.951,0.0464,0.413,77.982,AllOuts00s
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,237120,False,60,2,1,4,0.0142,0.824,0.743,2.12e-05,0.237,-5.995,0.141,0.804,127.046,AllOuts00s
Smile,Lily Allen,"Alright, Still (Deluxe)",196893,True,71,5,1,4,0.00143,0.632,0.639,0,0.221,-5.938,0.0259,0.733,95.506,AllOuts00s
Empire State of Mind (Part II) Broken Down,Alicia Keys,The Element Of Freedom,216480,False,74,6,1,4,0.739,0.479,0.368,4.1e-05,0.118,-7.784,0.0341,0.142,92.959,AllOuts00s
She Will Be Loved,Maroon 5,Songs About Jane,257133,False,1,0,0,4,0.0567,0.524,0.711,0,0.134,-5.494,0.0405,0.539,203.867,AllOuts00s
"Hey, Soul Sister",Train,"Hey, Soul Sister",216666,False,2,1,0,4,0.217,0.675,0.885,0,0.086,-4.432,0.0436,0.768,97.03,AllOuts00s
Superstar,Jamelia,Thank You,215480,False,69,1,1,4,0.0457,0.801,0.645,0,0.0357,-6.93,0.0356,0.824,110.01,AllOuts00s
