Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
We're Gonna Make It,Southern Avenue,Keep On,203617,False,34,10,1,4,0.456,0.277,0.555,9.16e-05,0.249,-3.886,0.0456,0.434,53.041,BlueBallads
Last Forever,Shanice Green,Last Forever,226131,False,33,9,0,3,0.716,0.719,0.386,0.00113,0.0905,-9.401,0.0613,0.278,144.951,BlueBallads
Is It Over,Don Bryant,You Make Me Feel,270103,False,1,6,1,3,0.269,0.323,0.558,0.00107,0.14,-6.528,0.0257,0.47,73.05,BlueBallads
What's the Matter with You,Elles Bailey,Wild Wild West / What's the Matter with You,232724,False,37,11,0,3,0.553,0.44,0.466,0.000441,0.158,-8.741,0.0379,0.332,169.769,BlueBallads
Nearer to You,Samantha Fish,Chills & Fever,204000,False,30,2,0,3,0.0641,0.509,0.487,0.000474,0.0886,-7.478,0.0272,0.512,146.202,BlueBallads
Seems I’m Never Tired Lovin’ You,Lizz Wright,Seems I’m Never Tired Lovin’ You,283893,False,0,3,1,3,0.868,0.424,0.319,4.85e-06,0.107,-9.193,0.0272,0.187,110.584,BlueBallads
I'm Only Lonely,Joanne Shaw Taylor,Reckless Heart,328407,False,30,9,1,3,0.486,0.526,0.411,0.000954,0.0929,-9.383,0.0294,0.304,116.771,BlueBallads
Take Me Home,"José James,Lizz Wright",No Beginning No End 2,251026,False,7,0,0,3,0.336,0.774,0.292,0.00444,0.0812,-10.166,0.0406,0.263,110.062,BlueBallads
(I Heard That) Lonesome Whistle,Darrell Scott,Darrell Scott Sings the Blues of Hank Williams,220571,False,24,2,1,3,0.952,0.552,0.283,0.00493,0.106,-11.639,0.0384,0.285,80.066,BlueBallads
Beautiful Stranger,Marcus King,El Dorado,247546,False,45,4,1,3,0.837,0.485,0.248,1.52e-05,0.0935,-10.566,0.0292,0.188,111.662,BlueBallads
Promised Myself,Shemekia Copeland,America's Child,319458,False,26,4,1,3,0.57,0.602,0.324,0,0.108,-7.498,0.0479,0.261,124.136,BlueBallads
Take It All,Danielle Nicole,Wolf Den,177906,False,36,1,1,3,0.879,0.607,0.159,0.0215,0.182,-12.223,0.0326,0.662,162.005,BlueBallads
Been My Last,Matt Andersen,Halfway Home By Morning,224866,False,34,4,1,3,0.376,0.353,0.348,1.98e-05,0.0825,-9.934,0.0381,0.154,127.566,BlueBallads
Walking Wounded,"Robin Trower,Maxi Priest,Livingstone Brown",United State of Mind,254145,False,31,10,0,4,0.782,0.546,0.227,0.0858,0.141,-12.635,0.0317,0.101,60.037,BlueBallads
More and More,Malted Milk,"Love, Tears & Guns",295733,False,28,9,1,3,0.142,0.411,0.367,0.000354,0.182,-8.115,0.0451,0.254,84.175,BlueBallads
Promises You Can't Keep,Robert Cray,That's What I Heard,355906,False,30,3,1,3,0.316,0.52,0.459,0.00103,0.076,-5.629,0.0292,0.407,154.109,BlueBallads
Gold,Robert Jon & the Wreck,Last Light on the Highway,297853,False,28,0,1,3,0.443,0.491,0.648,2.87e-05,0.0937,-5.17,0.0344,0.153,127.973,BlueBallads
Nothin' With You,Nikki Hill,Heavy Hearts Hard Fists,216546,False,0,10,1,3,0.586,0.397,0.367,0.000417,0.103,-9.16,0.0363,0.524,178.975,BlueBallads
All Around You,Sturgill Simpson,A Sailor's Guide to Earth,215693,False,48,9,1,3,0.123,0.312,0.562,0.173,0.136,-6.495,0.0298,0.514,185.725,BlueBallads
Pictures on the Wall,The Soul Jacket,Black Cotton Limited,257453,False,0,0,1,4,0.46,0.71,0.281,4.73e-05,0.0917,-9.495,0.0325,0.564,114.888,BlueBallads
Is There Something I Should Know,Curtis Salgado,The Beautiful Lowdown,269520,False,0,3,1,3,0.382,0.559,0.463,1.12e-05,0.139,-5.693,0.0289,0.319,107.89,BlueBallads
Grab Ahold,Seth Walker,Sky Still Blue,243440,False,30,8,1,3,0.894,0.571,0.0612,1.4e-06,0.112,-11.701,0.0501,0.377,170.27,BlueBallads
Better This Way,Eden Brent,Jigsaw Heart,250946,False,28,10,1,3,0.716,0.487,0.248,0.00291,0.132,-9.562,0.0263,0.211,83.339,BlueBallads
I'm Gonna Find Another You,John Mayer,Continuum,159946,False,0,9,1,3,0.818,0.514,0.344,0.00809,0.0962,-9.925,0.0303,0.279,75.299,BlueBallads
Shows What You Know,Vintage Trouble,1 Hopeful Rd.,252488,False,23,10,1,3,0.484,0.42,0.444,0,0.0949,-6.357,0.0508,0.398,83.212,BlueBallads
Katrina,"North Mississippi Allstars,Anders Osborne",Freedom & Dreams,301320,False,28,0,1,4,0.851,0.596,0.14,0.00198,0.0948,-13.349,0.0273,0.431,80.955,BlueBallads
Broke Down Dream,Garrett Lebeau,Rise to the Grind,360306,False,32,3,1,3,0.493,0.671,0.217,0.00893,0.0974,-11.186,0.0587,0.411,117.815,BlueBallads
Who Will Come for Me,Janiva Magness,Love Wins Again,278826,False,0,4,1,3,0.372,0.333,0.445,7.49e-06,0.153,-6.926,0.0325,0.171,117.889,BlueBallads
Last Surrender,Matt Andersen,Honest Man,197748,False,30,7,1,3,0.276,0.714,0.435,4.9e-05,0.11,-5.696,0.0346,0.187,92.936,BlueBallads
More Than You Needed,Colin James,Rooftops and Satellites,228560,False,28,7,1,3,0.267,0.737,0.31,0.00635,0.146,-12.166,0.0373,0.122,119.881,BlueBallads
Try Me,Gina Sicilia,Allow Me to Confess,194373,False,0,11,0,3,0.695,0.464,0.534,1.85e-06,0.109,-5.092,0.0352,0.303,137.566,BlueBallads
Mountain,Janiva Magness,Original,240613,False,0,10,1,3,0.804,0.557,0.37,6.99e-05,0.105,-8.586,0.0349,0.253,116.188,BlueBallads
Lay My Head On Your Pillow,Cassie Taylor,Out Of My Mind,239226,False,22,0,1,3,0.76,0.648,0.186,0.0024,0.108,-14.33,0.0356,0.149,166.322,BlueBallads
Now You Want Me Back,Ina Forsman,Ina Forsman,249760,False,33,9,1,3,0.374,0.396,0.463,0,0.339,-5.554,0.0282,0.442,167.32,BlueBallads
For Better or Worse,Keb' Mo',Bluesamericana,205106,False,30,7,1,4,0.754,0.558,0.322,0.0017,0.11,-11.802,0.0343,0.286,73.868,BlueBallads
Fall Apart,Jeff Jensen,Morose Elephant,267358,False,25,7,1,4,0.533,0.765,0.312,0.017,0.12,-9.578,0.0374,0.277,121.957,BlueBallads
Our Love,Gary Clark Jr.,The Story of Sonny Boy Slim,251520,False,45,0,0,3,0.334,0.615,0.416,0.011,0.0913,-7.606,0.024,0.284,83.98,BlueBallads
They Never Pay Me,Gina Sicilia,Sunset Avenue,213888,False,0,4,0,3,0.571,0.488,0.614,4.6e-06,0.306,-3.66,0.0358,0.322,160.107,BlueBallads
Johnnie Ray,Ana Popovic,"Trilogy, Vol. 2",224640,False,34,11,0,3,0.644,0.515,0.5,2.24e-06,0.119,-8.986,0.0607,0.634,155.383,BlueBallads
Tell Me,Meena,Tell Me,295746,False,31,9,1,3,0.882,0.556,0.253,0.00939,0.104,-12.391,0.0286,0.21,152.783,BlueBallads
Time To Leave,Rich Robinson,Flux,298400,False,18,7,1,5,0.0703,0.402,0.532,0.0826,0.118,-7.425,0.0301,0.181,137.058,BlueBallads
Get It While You Can (feat. Zkye Blue),"The Lachy Doley Group,Zkye Blue",Lovelight,269049,False,25,0,1,3,0.573,0.502,0.383,4.95e-05,0.472,-7.441,0.0334,0.254,104.78,BlueBallads
Love's Truly Blind,Anni Piper,Two's Company,206826,False,0,11,1,3,0.276,0.607,0.466,0.000177,0.136,-7.682,0.0271,0.333,104.562,BlueBallads
Falling,Dani Wilde,Juice Me Up,303600,False,34,8,1,3,0.481,0.441,0.503,2.15e-06,0.085,-5.706,0.0325,0.385,134.134,BlueBallads
All On My Mind - Acoustic,Anderson East,All On My Mind (Acoustic),229613,False,44,1,0,5,0.69,0.483,0.487,0,0.108,-6.376,0.158,0.298,108.944,BlueBallads
