Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Should I Wait,Luther Allison,The Alligator Records Years,304600,False,49,9,1,3,0.0315,0.638,0.738,0.000634,0.211,-9.563,0.0271,0.816,104.098,BluesClassics
Part Time Love,Clarence Carter,This Is Clarence Carter,161520,False,51,0,1,4,0.468,0.686,0.593,2.19e-05,0.352,-10.078,0.0597,0.946,92.82,BluesClassics
Little Angel Child,Jimmy Dawkins,Fast Fingers,239266,False,50,2,1,4,0.125,0.5,0.638,0.0285,0.199,-7.262,0.0461,0.746,122.621,BluesClassics
Short Dressed Woman,Lafayette Leake,"Easy Blues (France, 1978) [Blues Reference]",252133,False,51,10,1,4,0.237,0.767,0.496,0.0723,0.0853,-11.399,0.0307,0.751,110.932,BluesClassics
Texas Flood,Larry Davis,The Best Of Duke-Peacock Blues,163373,False,50,8,1,3,0.89,0.467,0.277,7.66e-05,0.2,-12.101,0.0283,0.535,99.83,BluesClassics
Bad News Is Coming,Luther Allison,Bad News Is Coming,445533,False,43,1,0,3,0.713,0.639,0.496,0.254,0.0545,-6.844,0.0375,0.467,140.394,BluesClassics
She's A Sweet One,Junior Wells,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963",181786,False,52,1,1,4,0.15,0.705,0.483,0.0265,0.202,-12.209,0.0542,0.713,122.863,BluesClassics
"Cold, Cold Feeling",Albert Collins,Ice Pickin',319360,False,0,3,0,3,0.163,0.796,0.149,0.0114,0.081,-17.885,0.0414,0.433,73.953,BluesClassics
You Don't Want Me,Earl Hooker,Two Bugs And A Roach,316666,False,0,7,1,4,0.509,0.592,0.464,0.000214,0.166,-16.925,0.0374,0.764,112.986,BluesClassics
Walking By Myself,Jimmy Rogers,Chicago Bound,167266,False,47,11,0,4,0.837,0.621,0.519,0.00246,0.162,-13.328,0.102,0.775,117.005,BluesClassics
Let The Good Times Roll,Louis Jordan & His Tympany Five,The Best Of Louis Jordan,167226,False,48,9,0,4,0.812,0.705,0.401,0,0.319,-9.506,0.0475,0.649,104.956,BluesClassics
"Do Right Woman, Do Right Man",Etta James,Tell Mama The Complete Muscle Shoals Sessions (Remastered Reissue),180837,False,0,2,1,3,0.649,0.439,0.413,4.47e-06,0.12,-6.755,0.0293,0.464,144.162,BluesClassics
Now That I'm Down,Son Seals,The Son Seals Blues Band,362400,False,0,2,1,3,0.475,0.497,0.341,7.47e-06,0.098,-13.635,0.174,0.469,137.634,BluesClassics
I'm Tore Down,Freddie King,Getting Ready... (World),253333,False,53,2,1,4,0.616,0.64,0.496,4.63e-05,0.183,-11.124,0.0413,0.954,116.632,BluesClassics
Reconsider Baby,Lowell Fulson,The Complete Chess Masters,189133,False,38,0,1,4,0.749,0.636,0.668,0.00121,0.0555,-6.857,0.0568,0.666,94.668,BluesClassics
