Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Little Lion Man,Mumford & Sons,Sigh No More,245173,True,0,5,1,4,0.0275,0.517,0.492,3.2e-05,0.0873,-8.051,0.0272,0.455,138.579,BonfireSongs
King And Lionheart,Of Monsters and Men,My Head Is An Animal,273853,False,58,3,1,4,0.104,0.52,0.655,0.00347,0.124,-6.516,0.0393,0.289,126.593,BonfireSongs
Brother,Mighty Oaks,Howl,195320,False,33,2,1,4,0.218,0.509,0.809,0,0.0757,-6.179,0.0373,0.366,181.746,BonfireSongs
Tears Don't Fall,Terrible Sons,Tears Don't Fall,190546,False,0,7,1,4,0.442,0.669,0.543,0.0189,0.153,-12.687,0.0301,0.849,149.363,BonfireSongs
My Silver Lining,First Aid Kit,Stay Gold,215493,False,62,2,1,4,0.026,0.477,0.725,0.000133,0.214,-4.671,0.0337,0.427,101.854,BonfireSongs
Love Me Better,James Blunt,Love Me Better,218529,False,0,9,1,4,0.044,0.669,0.582,1.38e-05,0.0744,-7.419,0.0665,0.492,89.99,BonfireSongs
Mess Is Mine,Vance Joy,Dream Your Life Away (Special Edition),223640,False,67,7,1,1,0.047,0.595,0.723,0.0286,0.0995,-8.256,0.0349,0.272,108.043,BonfireSongs
Riptide,Vance Joy,Dream Your Life Away (Special Edition),204280,False,78,1,1,4,0.431,0.484,0.731,0,0.151,-6.694,0.0379,0.51,101.654,BonfireSongs
Shaky Ground,Freedom Fry,Shaky Ground,192893,False,54,9,1,4,0.54,0.721,0.507,3.94e-06,0.114,-7.439,0.028,0.43,116.05,BonfireSongs
Rainy Forgiveness,Changed Habits,Rainy Forgiveness,212706,False,38,3,1,4,0.365,0.73,0.675,0.00342,0.0968,-6.363,0.0317,0.185,119.995,BonfireSongs
My Repair,Sons Of The East,Already Gone,185583,False,52,2,1,4,0.236,0.571,0.65,0,0.113,-8.276,0.0499,0.451,123.933,BonfireSongs
Undertow,Panama,Hope For Something (Alternate Versions),286708,False,0,2,1,4,0.887,0.693,0.529,8.88e-05,0.0855,-10.429,0.0518,0.109,122.02,BonfireSongs
Lullaby Love - Christian Liebeskind Remix,"Roo Panes,Christian Liebeskind",Lullaby Love (Christian Liebeskind Remix),187499,False,27,9,0,4,0.0561,0.694,0.682,4.42e-05,0.177,-7.147,0.0321,0.473,99.986,BonfireSongs
Waves,Dean Lewis,Waves,241292,False,0,11,0,4,0.163,0.518,0.776,0,0.0884,-5.791,0.0444,0.387,156.894,BonfireSongs
Pompeii,Bastille,All This Bad Blood,214147,False,2,9,1,4,0.074,0.682,0.714,0,0.278,-6.306,0.0399,0.581,127.443,BonfireSongs
Run Run Run,"Junge Junge,Kyle Pearce",Beautiful Girl - EP,211598,False,0,4,1,4,0.349,0.72,0.491,0.183,0.111,-10.162,0.0327,0.249,122.011,BonfireSongs
Chemicals,Gregory Alan Isakov,Chemicals,199906,False,57,0,1,4,0.885,0.608,0.238,0.125,0.111,-13.604,0.0434,0.27,78.013,BonfireSongs
Milestone - Stripped Down,"Joey Kidney,Matt Walden",This is Love,255968,False,34,4,1,4,0.865,0.679,0.323,0.91,0.112,-19.828,0.0467,0.094,130.051,BonfireSongs
Backdoor To Your Heart (feat. Marc Wulf),"KIIDA,Marc Wulf",Backdoor To Your Heart (feat. Marc Wulf),193285,False,32,6,1,4,0.0288,0.532,0.865,2.08e-05,0.0486,-3.032,0.0622,0.107,113.111,BonfireSongs
Love Ain't Cheap (feat. Alex Bayly),"Benedict Ammann,Flo Tusch,Alex Bayly",Love Ain't Cheap (feat. Alex Bayly),210000,False,31,2,1,4,0.696,0.862,0.623,0.000497,0.079,-7.562,0.0296,0.435,120.034,BonfireSongs
The Only Boy Awake,Meadows,The Only Boy Awake,163294,False,60,5,1,4,0.61,0.52,0.48,0.0344,0.107,-10.288,0.0303,0.405,122.086,BonfireSongs
Hum With Me,John De Sohn,Hum With Me,167870,False,51,10,1,4,0.109,0.653,0.708,0.0011,0.163,-5.385,0.0345,0.347,111.924,BonfireSongs
Be Your Friend,"Vigiland,Alexander Tidebrink",Be Your Friend,180820,False,0,0,1,4,0.0645,0.608,0.755,0,0.155,-4.197,0.0478,0.663,128.038,BonfireSongs
Wish You Well,Brendan James,Wish You Well,219817,False,38,0,1,4,0.271,0.67,0.775,5.25e-05,0.14,-5.458,0.059,0.345,101.019,BonfireSongs
Run to You,Tom Gregory,Run to You,187000,False,52,7,1,4,0.374,0.821,0.656,9.84e-05,0.142,-5.622,0.0432,0.704,116.864,BonfireSongs
I Need You,"Faul & Wad Ad,Avalanche City",I Need You,235680,False,40,4,1,4,0.457,0.654,0.693,0.00107,0.109,-6.335,0.0349,0.197,125.04,BonfireSongs
Cigarette (feat. Cameron Douglas),"PANG!,Cameron Douglas",Cigarette (feat. Cameron Douglas),257213,False,33,0,1,4,0.109,0.743,0.709,0.00439,0.0835,-9.723,0.0316,0.26,116.987,BonfireSongs
Oceans Away - Sam Feldt Remix,"A R I Z O N A,Sam Feldt",Oceans Away (Sam Feldt Remix),171108,False,48,1,1,4,0.316,0.741,0.613,0.0316,0.0893,-9.347,0.0354,0.271,115.031,BonfireSongs
Sun Comes Out,"Decco,Leo Stannard",Sun Comes Out,218208,False,39,11,0,4,0.25,0.683,0.686,4.66e-06,0.12,-6.689,0.0531,0.305,120.0,BonfireSongs
Higher,Luke Coulson,Higher,232000,False,31,11,0,4,0.0614,0.683,0.609,0.549,0.146,-11.874,0.0353,0.279,117.959,BonfireSongs
Long Road - Alle Farben Remix,"Jake Isaac,Alle Farben",Long Road (Alle Farben Remix),206493,False,0,6,1,4,0.0355,0.688,0.689,0.00942,0.119,-7.133,0.0515,0.439,124.029,BonfireSongs
Go On,"neumodel,Eylia",Unreleased,181786,False,34,0,0,4,0.742,0.783,0.687,0.00464,0.125,-6.459,0.0798,0.508,119.96,BonfireSongs
The Cave,Mumford & Sons,Sigh No More,215626,False,0,4,1,4,0.0536,0.592,0.499,4.4e-05,0.113,-9.463,0.0374,0.345,141.938,BonfireSongs
Never Come Back Again,Austin Plaine,Austin Plaine,196240,False,52,8,1,4,0.19,0.594,0.695,3.58e-06,0.119,-8.872,0.0259,0.172,104.977,BonfireSongs
Ophelia,The Lumineers,Ophelia,160097,False,57,5,1,4,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,0.566,76.023,BonfireSongs
Ho Hey,The Lumineers,The Lumineers (Deluxe Edition),163133,False,75,0,1,4,0.765,0.682,0.471,0,0.0908,-9.182,0.0301,0.421,79.907,BonfireSongs
Renegades,X Ambassadors,VHS,195199,False,1,2,1,4,0.0127,0.514,0.858,0.0528,0.251,-5.995,0.0896,0.6,89.833,BonfireSongs
Old Pine,Ben Howard,Every Kingdom (Deluxe Version),328506,False,0,5,1,4,0.458,0.419,0.358,0.0479,0.168,-10.749,0.033,0.226,128.764,BonfireSongs
"Welcome Home, Son",Radical Face,Ghost,285320,False,0,6,1,3,0.743,0.601,0.537,0.732,0.143,-9.464,0.0296,0.394,144.994,BonfireSongs
Hold Back The River,James Bay,Hold Back The River,239520,False,0,5,1,4,0.0703,0.714,0.701,0,0.0958,-7.381,0.0813,0.493,134.917,BonfireSongs
Riptide,Vance Joy,Riptide,204280,False,55,1,1,4,0.431,0.484,0.731,0,0.151,-6.694,0.0379,0.51,101.654,BonfireSongs
Spirits,The Strumbellas,Spirits,203653,False,0,0,1,4,0.169,0.552,0.724,0,0.11,-3.698,0.0271,0.774,80.516,BonfireSongs
Brave,Riley Pearce,Outside The Lines,247793,False,0,4,0,4,0.569,0.505,0.409,0.00228,0.153,-10.588,0.0304,0.228,116.05,BonfireSongs
Wildflowers,Trampled by Turtles,Wildflowers,168849,False,59,5,1,4,0.327,0.495,0.444,5.39e-06,0.269,-8.617,0.0276,0.65,105.431,BonfireSongs
So Cool,Caamp,Boys (Side A),179067,False,53,4,1,4,0.57,0.58,0.469,0.0122,0.193,-10.02,0.0332,0.56,152.867,BonfireSongs
Horse to Water,Tall Heights,Neptune,244960,False,59,6,0,4,0.344,0.517,0.622,0.0699,0.498,-9.135,0.0337,0.51,96.964,BonfireSongs
The Cave,Mumford & Sons,Sigh No More,215626,False,63,4,1,4,0.0536,0.592,0.499,4.52e-05,0.113,-9.463,0.0375,0.346,141.937,BonfireSongs
Begin - Recorded at Spotify Studios NYC,Shallou,Spotify Singles,242587,False,49,5,1,4,0.749,0.495,0.571,0.714,0.119,-10.052,0.0351,0.316,96.998,BonfireSongs
Chemicals,Dean Lewis,Same Kind Of Different,221578,False,49,11,1,4,0.679,0.549,0.464,1.14e-06,0.142,-9.517,0.0387,0.212,80.933,BonfireSongs
Power Over Me - Acoustic,Dermot Kennedy,Power Over Me,200435,False,1,9,0,4,0.85,0.609,0.489,0,0.104,-6.001,0.0424,0.567,115.902,BonfireSongs
Next Year,"Ghosts,Ryan Henderson",Next Year,251500,False,0,3,1,4,0.476,0.622,0.69,0.00463,0.123,-6.589,0.132,0.219,123.04,BonfireSongs
Lose My Mind,Dean Lewis,Same Kind Of Different,200880,False,57,8,1,4,0.047,0.554,0.642,0,0.121,-6.637,0.0306,0.228,128.039,BonfireSongs
Gravity,"Leo Stannard,Frances",Gravity,182066,False,53,1,1,4,0.509,0.787,0.423,0,0.108,-5.313,0.0428,0.534,95.068,BonfireSongs
Yosemite,Hider,Yosemite,225663,False,33,4,0,4,0.572,0.646,0.8,0.00252,0.115,-7.28,0.0313,0.472,113.024,BonfireSongs
Laps Around The Sun,Ziggy Alberts,Laps Around The Sun,206166,True,63,4,0,4,0.475,0.768,0.472,0,0.11,-10.047,0.0493,0.145,110.024,BonfireSongs
