Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Flasheaste Amor,"Agapornis,Hernan y La Champion's Liga,Lauro",Flasheaste Amor,175263,False,66,1,1,3,0.183,0.776,0.559,0,0.0728,-7.548,0.0469,0.76,142.481,COCINACONCUMBIA
Procura,ChiChi Peralta,Pa' Otro La 'O,271031,False,1,8,1,4,0.279,0.805,0.757,0.000839,0.101,-7.46,0.0355,0.973,102.14,COCINACONCUMBIA
Dime si eres feliz,La Champions Liga,La Champions Liga,127973,False,62,6,0,4,0.283,0.741,0.59,0,0.179,-4.625,0.0913,0.961,179.861,COCINACONCUMBIA
Su Florcita,Agrupación Marilyn,Historias,224352,False,60,9,1,4,0.348,0.497,0.629,0,0.0736,-6.628,0.0607,0.626,86.246,COCINACONCUMBIA
El Bombón,Los Palmeras,Un Sentimiento,203933,False,62,2,0,4,0.199,0.74,0.768,0,0.0832,-5.037,0.0603,0.867,164.145,COCINACONCUMBIA
Mentirosa,Rafaga,Imparables,195466,False,62,5,0,4,0.0833,0.635,0.823,0.000377,0.157,-4.54,0.102,0.821,200.943,COCINACONCUMBIA
Cómo estás,Ke Personajes,Cómo estás,227395,False,68,10,0,3,0.289,0.59,0.857,4.21e-06,0.0414,-1.986,0.0553,0.976,135.29,COCINACONCUMBIA
Acaríñame,"Los Ángeles Azules,Julieta Venegas,Juan Ingaramo,Jay de la Cueva",Acaríñame,201293,False,60,2,1,4,0.27,0.726,0.746,0,0.0512,-5.451,0.0344,0.713,79.956,COCINACONCUMBIA
Se Parece Más A Ti,Jambao,Separece A Ti,248786,False,61,1,1,4,0.16,0.686,0.776,1.02e-05,0.133,-3.601,0.0837,0.94,179.915,COCINACONCUMBIA
Me Volví A Acordar De Ti,Los Angeles De Charly,Te Voy A Enamorar,237093,False,66,2,1,4,0.0541,0.678,0.512,0,0.369,-6.532,0.0275,0.746,145.968,COCINACONCUMBIA
Jurabas Tu,Los del Fuego,25 Años (En Vivo),189152,False,61,2,1,4,0.498,0.752,0.702,0,0.0601,-5.024,0.0279,0.853,100.017,COCINACONCUMBIA
Deja De Llorar,El Polaco,Sigo Por El Objetivo,146240,False,63,11,1,4,0.279,0.75,0.943,0,0.0808,-4.28,0.228,0.779,90.095,COCINACONCUMBIA
Llora me llama,Grupo Play,Grupo Play (La poesía musical),192186,False,60,0,1,4,0.356,0.712,0.783,0,0.109,-2.525,0.0335,0.845,98.049,COCINACONCUMBIA
Amor A Primera Vista,"Los Ángeles Azules,Belinda,Lalo Ebratt,Horacio Palencia",Amor A Primera Vista,221346,False,54,0,1,4,0.223,0.675,0.821,5.11e-05,0.149,-6.017,0.0668,0.96,170.163,COCINACONCUMBIA
Tus Jefes No Me Quieren,Grupo Ensamble,Tus Jefes No Me Quieren,224256,False,65,3,0,4,0.174,0.637,0.547,1.68e-05,0.107,-8.43,0.097,0.963,180.054,COCINACONCUMBIA
Onda Free,Los Verduleros,Greatest Hits,267964,False,51,7,1,4,0.124,0.788,0.705,0,0.487,-6.376,0.202,0.888,90.009,COCINACONCUMBIA
Me Enamore,Agrupación Marilyn,Historias,212754,False,62,9,1,4,0.252,0.707,0.707,0.000107,0.19,-7.15,0.038,0.854,86.232,COCINACONCUMBIA
Piensa En Mí,Grupo Mojado,Sueño Y Realidad,177040,False,70,10,1,4,0.348,0.72,0.538,0,0.0654,-8.874,0.0455,0.805,80.096,COCINACONCUMBIA
Y la Hice Llorar,"Los Ángeles Azules,Abel Pintos",Y la Hice Llorar,197800,False,60,2,1,4,0.25,0.555,0.728,0,0.144,-5.316,0.0348,0.6,91.988,COCINACONCUMBIA
Maracuyá Con Mango,Sondelvalle,Rap Guachaca & Cumbia Reflexiva,154846,False,48,2,1,4,0.454,0.748,0.576,0,0.0628,-5.789,0.0754,0.926,90.863,COCINACONCUMBIA
Como Una Novela,Los Acosta,Íconos 25 Éxitos,224293,False,60,0,1,4,0.285,0.75,0.617,0.00183,0.299,-8.022,0.0266,0.672,101.955,COCINACONCUMBIA
Quisiera,"Natalie Perez,Coti Sorokin",Un Te de Tilo Por Favor (Edición Deluxe),234485,False,41,8,1,4,0.624,0.672,0.745,4.99e-06,0.107,-6.139,0.0544,0.766,90.04,COCINACONCUMBIA
Llorarás Más De Diez Veces,Leo Mattioli,Aún Sigue La Lección,211213,False,62,6,0,4,0.607,0.613,0.683,0,0.189,-3.13,0.0304,0.684,85.031,COCINACONCUMBIA
Olvídala,Los Palmeras,Voló La Paloma/Un Toque Diferente,290120,False,64,2,1,4,0.308,0.77,0.686,0,0.274,-5.187,0.0455,0.517,132.008,COCINACONCUMBIA
Donde Estas,Hernan y La Champion's Liga,Donde Estas,157500,False,53,9,1,4,0.0786,0.47,0.828,0,0.178,-6.28,0.07,0.856,96.149,COCINACONCUMBIA
Ahora Te Vas,Santaferia,Ahora Te Vas,236589,False,55,11,0,4,0.0367,0.604,0.658,9e-06,0.174,-8.466,0.031,0.571,162.06,COCINACONCUMBIA
Las Maravillas de la Vida,"Los Ángeles Azules,Lali",Las Maravillas de la Vida,184480,False,48,2,0,4,0.314,0.579,0.737,0,0.0877,-4.652,0.0378,0.804,171.88,COCINACONCUMBIA
Sólo con un Beso,Los Totora,Sólo con un Beso,155878,False,61,7,1,4,0.0185,0.566,0.911,0,0.948,-4.831,0.0548,0.705,93.209,COCINACONCUMBIA
No Se,Ke Personajes,No Se,160689,False,58,9,0,4,0.352,0.838,0.69,3.87e-06,0.148,-4.987,0.146,0.767,86.986,COCINACONCUMBIA
Lo Intentamos (feat. Grupo Play),"Los Bonnitos,Grupo Play",Lo Intentamos (feat. Grupo Play),192000,False,55,9,1,4,0.315,0.65,0.888,2.4e-05,0.24,-4.439,0.0337,0.841,95.024,COCINACONCUMBIA
Algún Día Volveras,Santaferia,Algún Día Volveras,253822,True,65,7,1,4,0.372,0.645,0.712,9.67e-05,0.0501,-3.765,0.0312,0.687,93.994,COCINACONCUMBIA
No voy a llorar,Altos Cumbieros,Altos Cumbieros - Cumbia Villera,188720,False,56,4,0,4,0.132,0.7,0.867,3.66e-06,0.18,-6.716,0.224,0.819,180.2,COCINACONCUMBIA
Vienes y Te Vas,La Base,Cumbia Sabrosa,255164,False,57,0,1,4,0.144,0.684,0.725,0.0876,0.121,-5.613,0.0324,0.883,83.26,COCINACONCUMBIA
Una Calle Nos Separa,Nestor En Bloque,Mi Único Amor,212062,False,65,0,1,3,0.219,0.772,0.806,1.78e-05,0.138,-5.308,0.0668,0.765,134.98,COCINACONCUMBIA
Si Me Llamas,La Kuppe,Si Me Llamas,208800,False,57,6,0,4,0.274,0.584,0.866,0,0.204,-3.492,0.0816,0.942,196.016,COCINACONCUMBIA
Cinco Minutos,El Gordo Luis,Montevideo 418,211026,False,58,0,1,3,0.421,0.507,0.727,0,0.232,-4.662,0.0444,0.963,84.629,COCINACONCUMBIA
Hasta la luna,#TocoParaVos,#Tocoparavos,149160,False,53,0,0,4,0.0124,0.837,0.605,0,0.0715,-6.122,0.0798,0.723,107.998,COCINACONCUMBIA
Amores Como el Nuestro,Los Charros,corazon de papel,196306,False,62,9,0,4,0.385,0.614,0.876,1.08e-05,0.215,-3.632,0.0299,0.788,96.326,COCINACONCUMBIA
Que Lloro,Zona Cumbia,Que Lloro,200933,False,49,6,0,4,0.218,0.685,0.865,1.9e-05,0.333,-3.729,0.101,0.848,83.014,COCINACONCUMBIA
La Ventanita,Grupo Sombras,Boquita de Caramelo,243920,False,60,11,1,4,0.278,0.662,0.813,0.000563,0.0587,-9.044,0.0425,0.96,100.855,COCINACONCUMBIA
