Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),232533,False,85,0,1,4,0.191,0.487,0.65,0,0.0933,-5.195,0.0253,0.456,151.964,CountryNights
Bottoms Up - Remix,"Brantley Gilbert,T.I.",Just As I Am (Platinum Edition),221573,False,56,7,1,4,0.0153,0.559,0.754,0,0.355,-5.509,0.0712,0.303,169.977,CountryNights
Take A Back Road,Rodney Atkins,Take A Back Road,209426,False,66,3,1,4,0.183,0.581,0.856,0,0.0871,-4.0,0.0783,0.918,169.902,CountryNights
Jack Daniels,Eric Church,Chief,304040,False,53,2,1,4,0.257,0.735,0.732,0.0698,0.0587,-6.284,0.0415,0.92,144.674,CountryNights
American Kids,Kenny Chesney,The Big Revival,182960,False,70,7,1,4,0.0476,0.733,0.589,5.85e-06,0.0366,-7.37,0.1,0.867,170.097,CountryNights
God Gave Me You,Blake Shelton,Red River Blue (Deluxe Edition),229533,False,64,2,1,4,0.00481,0.483,0.844,7.29e-05,0.405,-5.043,0.0314,0.543,151.977,CountryNights
Nothing To Do Town,Dylan Scott,Nothing To Do Town,185413,False,54,2,1,4,0.0249,0.551,0.836,1.33e-05,0.222,-5.182,0.0338,0.911,147.954,CountryNights
Leave The Night On,Sam Hunt,Montevallo,192160,False,64,9,1,4,0.0951,0.514,0.951,0,0.349,-3.813,0.0603,0.838,171.96,CountryNights
Talladega,Eric Church,The Outsiders,262280,False,65,1,1,4,0.043,0.586,0.677,0.0936,0.0884,-8.343,0.0294,0.562,144.001,CountryNights
Bring It On Over,Billy Currington,Bring It On Over,182133,False,55,0,1,4,0.00385,0.705,0.761,0,0.186,-4.579,0.0298,0.819,99.986,CountryNights
Dirt Road Anthem,Jason Aldean,My Kinda Party,229400,False,72,2,1,4,0.347,0.68,0.741,1.87e-06,0.117,-5.055,0.0357,0.635,127.024,CountryNights
You Look Good In My Shirt,Keith Urban,Golden Road,227733,False,50,7,1,4,0.0075,0.653,0.865,1.18e-06,0.0629,-6.395,0.0325,0.828,116.966,CountryNights
Break Up with Him,Old Dominion,Meat and Candy,207733,False,64,8,1,4,0.0675,0.617,0.632,0,0.108,-5.381,0.0371,0.564,151.988,CountryNights
Heartache On The Dance Floor,Jon Pardi,California Sunrise,205200,False,71,9,1,4,0.0563,0.596,0.834,0,0.0866,-4.308,0.0474,0.618,116.0,CountryNights
She Thinks My Tractor's Sexy,Kenny Chesney,Everywhere We Go,248066,False,63,10,0,4,0.0664,0.689,0.886,0,0.278,-7.066,0.0382,0.906,122.07,CountryNights
Just Gettin' Started,Jason Aldean,"Old Boots, New Dirt",195480,False,52,9,0,4,0.396,0.507,0.805,1.16e-06,0.106,-4.611,0.0867,0.513,167.983,CountryNights
I Don't Want This Night To End,Luke Bryan,Tailgates & Tanlines,219973,False,54,9,0,4,0.0275,0.616,0.728,0,0.228,-4.02,0.0278,0.375,111.934,CountryNights
Before He Cheats,Carrie Underwood,Some Hearts,199946,False,74,6,0,4,0.271,0.519,0.749,0,0.119,-3.318,0.0405,0.29,147.905,CountryNights
Play Something Country,Brooks & Dunn,#1s ... and then some,195586,False,58,0,1,4,0.0782,0.684,0.909,1.22e-06,0.373,-3.797,0.0321,0.864,115.034,CountryNights
International Harvester,Craig Morgan,Little Bit Of Life,228653,False,66,2,1,4,0.103,0.699,0.837,0,0.231,-5.173,0.0428,0.348,95.493,CountryNights
She's Country,Jason Aldean,Wide Open,220573,False,68,1,0,4,0.198,0.553,0.872,0,0.0659,-2.832,0.0782,0.638,172.138,CountryNights
That's My Kind Of Night,Luke Bryan,Crash My Party,190186,False,69,7,1,4,0.0571,0.661,0.751,0,0.105,-2.909,0.0481,0.875,109.995,CountryNights
