Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Mood (feat. iann dior),"24kGoldn,iann dior",Mood (feat. iann dior),140525,True,98,7,0,4,0.221,0.7,0.722,0,0.272,-3.558,0.0369,0.756,90.989,Dope
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke,Lil Baby,DaBaby",Shoot For The Stars Aim For The Moon,190476,True,94,6,0,4,0.114,0.823,0.586,0,0.193,-6.606,0.2,0.347,125.971,Dope
Laugh Now Cry Later (feat. Lil Durk),"Drake,Lil Durk",Laugh Now Cry Later (feat. Lil Durk),261492,False,62,0,1,4,0.238,0.763,0.526,4.24e-05,0.107,-8.969,0.114,0.455,133.939,Dope
Wolves (feat. Post Malone),"Big Sean,Post Malone",Detroit 2,199758,True,84,2,1,4,0.0978,0.724,0.675,9.41e-06,0.351,-5.267,0.0867,0.325,160.048,Dope
Lemonade,"Internet Money,Gunna,Don Toliver,NAV","Lemonade (feat. Gunna, Don Toliver & NAV)",195428,True,93,1,0,4,0.256,0.799,0.66,0,0.111,-6.153,0.079,0.471,140.04,Dope
Spicy (feat. Post Malone),"Ty Dolla $ign,Post Malone",Featuring Ty Dolla $ign,143375,True,74,4,0,4,0.143,0.782,0.51,0,0.115,-5.724,0.0419,0.118,99.993,Dope
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,160000,True,95,10,1,4,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,0.543,83.995,Dope
Smile (with The Weeknd),"Juice WRLD,The Weeknd",Smile (with The Weeknd),196180,True,75,6,0,4,0.224,0.694,0.685,0,0.124,-6.535,0.133,0.306,158.831,Dope
POPSTAR (feat. Drake),"DJ Khaled,Drake",POPSTAR (feat. Drake),200221,True,90,5,0,4,0.057,0.8,0.56,0,0.134,-4.818,0.261,0.45,163.071,Dope
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow,Tory Lanez,DaBaby,Lil Wayne","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",227478,True,88,11,0,4,0.0631,0.904,0.723,0,0.185,-5.224,0.26,0.835,145.013,Dope
GREECE (feat. Drake),"DJ Khaled,Drake",GREECE (feat. Drake),218901,True,86,5,1,4,0.0743,0.695,0.343,1.04e-06,0.107,-10.798,0.0432,0.229,85.84,Dope
Ni**as In Paris,"JAY-Z,Kanye West",Watch The Throne (Deluxe),219333,True,79,1,1,4,0.127,0.789,0.858,0,0.349,-5.542,0.311,0.775,140.022,Dope
BOP,DaBaby,KIRK,159714,True,83,11,1,4,0.189,0.769,0.787,0,0.129,-3.909,0.367,0.836,126.77,Dope
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,"Travis Scott,ROSALÍA,Lil Baby",JACKBOYS,244873,True,73,2,0,4,0.0567,0.559,0.491,0,0.0992,-6.406,0.0346,0.114,153.131,Dope
Deep End,Fousheé,Deep End,141223,True,88,4,0,4,0.758,0.711,0.592,0,0.156,-7.136,0.23,0.535,124.749,Dope
HOLIDAY,Lil Nas X,HOLIDAY,154997,True,87,5,0,4,0.12,0.81,0.511,0,0.0832,-6.924,0.164,0.837,151.947,Dope
Runnin,"21 Savage,Metro Boomin",SAVAGE MODE II,195906,True,86,10,0,4,0.00748,0.819,0.626,0.101,0.167,-4.574,0.202,0.415,143.01,Dope
ROCKSTAR (feat. Roddy Ricch),"DaBaby,Roddy Ricch",BLAME IT ON BABY,181733,True,93,11,1,4,0.247,0.746,0.69,0,0.101,-7.956,0.164,0.497,89.977,Dope
God's Plan,Drake,Scorpion,198973,True,83,7,1,4,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,0.357,77.169,Dope
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243836,True,88,7,1,4,0.0847,0.841,0.728,0,0.149,-3.37,0.0484,0.43,130.049,Dope
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,196652,True,88,10,0,4,0.104,0.896,0.586,0,0.79,-6.687,0.0559,0.642,116.971,Dope
DNA.,Kendrick Lamar,DAMN.,185946,True,77,1,1,4,0.00454,0.638,0.523,0,0.0842,-6.664,0.357,0.422,139.913,Dope
Toosie Slide,Drake,Toosie Slide,247058,True,84,1,0,4,0.321,0.834,0.454,6.15e-06,0.114,-9.75,0.201,0.837,81.618,Dope
