Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Narcos,Anuel AA,Emmanuel,259250,True,77,10,0,4,0.347,0.614,0.746,1.43e-05,0.0874,-3.527,0.196,0.601,168.072,DailyMix1
Si Veo a Tu Mamá,Bad Bunny,YHLQMDLG,170971,False,84,2,1,4,0.402,0.9,0.603,4.81e-06,0.134,-5.313,0.0646,0.824,129.928,DailyMix1
Prendío,Rvfv,Prendío,189718,True,55,11,0,4,0.168,0.83,0.544,1.33e-05,0.132,-9.784,0.0869,0.896,124.974,DailyMix1
Otro Trago - Remix,"Sech,Ozuna,Anuel AA,Darell,Nicky Jam",Otro Trago (Remix),287773,True,77,0,1,4,0.0711,0.725,0.79,1.14e-06,0.0602,-2.331,0.197,0.763,175.988,DailyMix1
Como Panas,Bryant Myers,Como Panas,198997,False,60,10,0,4,0.404,0.638,0.61,0,0.146,-5.929,0.213,0.379,157.956,DailyMix1
Sur y Norte,"Ñengo Flow,Anuel AA",The Goat,215172,True,63,7,0,4,0.304,0.741,0.548,0,0.0832,-4.938,0.153,0.285,87.148,DailyMix1
Mi Error - Remix,"Eladio Carrion,Zion & Lennox,Wisin & Yandel,Lunay",Mi Error (Remix),315862,False,67,7,1,4,0.0985,0.663,0.841,0,0.45,-3.42,0.104,0.432,174.021,DailyMix1
PORFA,"Feid,Justin Quiles",FERXXO (VOL 1: M.O.R),232653,False,74,6,0,4,0.0903,0.795,0.542,0,0.117,-8.106,0.193,0.55,167.823,DailyMix1
Al Mismo Tiempo,Rauw Alejandro,"Trap Cake, Vol. 1",250838,False,59,9,1,4,0.8,0.786,0.492,0,0.106,-5.007,0.0374,0.203,132.914,DailyMix1
Dime Cuantas Veces (Remix) [feat. Justin Quiles],"Micro TDH,Rels B,Lenny Tavárez,Justin Quiles",Dime Cuantas Veces (Remix) [feat. Justin Quiles],207248,False,75,1,1,4,0.201,0.911,0.632,9.26e-06,0.0791,-2.94,0.118,0.832,99.988,DailyMix1
HACIENDO QUE ME AMAS,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,217768,True,82,10,0,4,0.869,0.584,0.411,4.47e-05,0.0955,-7.147,0.0838,0.412,169.934,DailyMix1
La Luz,"Sech,J Balvin",La Luz,216746,False,86,9,0,4,0.427,0.665,0.697,1.39e-05,0.599,-4.819,0.154,0.556,94.053,DailyMix1
Controla,"Brytiago,Anuel AA",Controla,208000,True,60,6,1,4,0.504,0.758,0.699,0,0.0922,-5.636,0.171,0.594,90.013,DailyMix1
Secreto,"Lenny Tavárez,Noriel",Secreto,213923,False,46,5,0,4,0.218,0.805,0.713,0,0.0639,-5.119,0.148,0.529,137.965,DailyMix1
La Curiosidad,"Jay Wheeler,DJ Nelson,Myke Towers",Platonicos,219048,False,91,11,0,4,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,0.68,90.013,DailyMix1
El Manual,Anuel AA,Emmanuel,210623,False,77,0,1,4,0.35,0.843,0.845,0.00168,0.0527,-2.344,0.0503,0.898,126.989,DailyMix1
Tú,Myke Towers,Easy Money Baby,204746,True,65,5,0,4,0.258,0.805,0.744,1.4e-05,0.277,-5.627,0.149,0.825,123.999,DailyMix1
Good Vibes - Official Remix,"Fuego,Nicky Jam,De La Ghetto,Amenazzy,C. Tangana",Good Vibes (Official Remix),235720,False,55,4,0,4,0.0544,0.705,0.614,2.18e-06,0.308,-6.053,0.17,0.258,99.923,DailyMix1
No Vuelvas Más,Darell,No Vuelvas Más,239093,False,62,11,1,4,0.434,0.866,0.602,3.06e-05,0.0567,-5.236,0.0844,0.836,95.016,DailyMix1
Aventura,"Lunay,Ozuna,Anuel AA",Épico,217129,False,72,5,1,4,0.223,0.729,0.726,0,0.101,-3.208,0.0422,0.876,92.025,DailyMix1
Besame,"Valentino,Manuel Turizo",Besame,232146,False,50,0,1,4,0.342,0.767,0.705,0,0.25,-6.221,0.0521,0.52,94.013,DailyMix1
Fabuloso,"Sech,Justin Quiles",1 of 1,200494,False,77,6,1,4,0.0846,0.637,0.785,0.000239,0.0392,-2.612,0.166,0.74,87.4,DailyMix1
Es Normal,"Menor Menor,Dalex,Milly,Lary Over,Sharo Towers",Es Normal,249213,False,0,9,1,4,0.668,0.759,0.79,0.000155,0.0973,-3.767,0.0688,0.361,95.947,DailyMix1
La Rubia - Remix 2,"La Nueva Escuela,Omar Montes",La Rubia,210860,False,62,7,1,4,0.319,0.758,0.717,6.46e-06,0.378,-4.194,0.131,0.753,109.887,DailyMix1
Video Llamada,Arcangel,Historias de un Capricornio,215102,False,57,5,0,4,0.396,0.903,0.634,3.35e-06,0.0712,-4.027,0.175,0.553,101.053,DailyMix1
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",Emmanuel,246000,True,85,8,1,4,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,0.855,174.021,DailyMix1
La Forma en Que Me Miras,"Super Yei,Sammy,Myke Towers,Lenny Tavárez,Rafa Pabön",La Forma en Que Me Miras,307435,False,77,1,1,4,0.149,0.656,0.662,8e-06,0.16,-1.387,0.191,0.573,189.983,DailyMix1
