Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
LA NOCHE DE ANOCHE,"Bad Bunny,ROSALÍA",EL ÚLTIMO TOUR DEL MUNDO,203200,False,80,7,1,4,0.0303,0.856,0.618,0,0.0866,-4.892,0.286,0.391,81.993,DailyMix2
Sur y Norte,"Ñengo Flow,Anuel AA",The Goat,215172,True,64,7,0,4,0.304,0.741,0.548,0,0.0832,-4.938,0.153,0.285,87.148,DailyMix2
Inolvidable,"Ovy On The Drums,Beéle",Inolvidable,225812,False,75,0,1,4,0.678,0.84,0.543,0,0.128,-4.941,0.0568,0.74,139.929,DailyMix2
La Luz,"Sech,J Balvin",La Luz,216746,False,86,9,0,4,0.427,0.665,0.697,1.39e-05,0.599,-4.819,0.154,0.556,94.053,DailyMix2
Narcos,Anuel AA,Emmanuel,259250,True,77,10,0,4,0.347,0.614,0.746,1.43e-05,0.0874,-3.527,0.196,0.601,168.072,DailyMix2
Mi Error - Remix,"Eladio Carrion,Zion & Lennox,Wisin & Yandel,Lunay",Mi Error (Remix),315862,False,68,7,1,4,0.0985,0.663,0.841,0,0.45,-3.42,0.104,0.432,174.021,DailyMix2
Mujeres,"Mozart La Para,Justin Quiles",Mujeres,187666,False,57,1,0,4,0.204,0.835,0.767,7.93e-05,0.261,-5.699,0.0686,0.71,99.972,DailyMix2
Es Normal,"Menor Menor,Dalex,Milly,Lary Over,Sharo Towers",Es Normal,249213,False,0,9,1,4,0.668,0.759,0.79,0.000155,0.0973,-3.767,0.0688,0.361,95.947,DailyMix2
Imaginaste,"Jhay Cortez,Tainy",Famouz,198613,False,62,6,1,4,0.113,0.77,0.661,0,0.299,-5.807,0.24,0.578,179.953,DailyMix2
Diosa,Myke Towers,Easy Money Baby,214013,True,81,6,0,4,0.398,0.801,0.745,0.00603,0.153,-3.733,0.063,0.245,104.965,DailyMix2
Mejor,"Dalex,Sech",Mejor,201361,True,35,2,1,4,0.185,0.524,0.577,0,0.103,-4.501,0.18,0.19,175.396,DailyMix2
Latina (feat. Maluma),"Reykon,Maluma",Latina (feat. Maluma),226738,False,65,9,0,4,0.0748,0.826,0.713,0,0.331,-4.017,0.129,0.75,102.071,DailyMix2
Trofeo,Sech,A Side,206761,False,26,6,1,4,0.266,0.744,0.757,0.000821,0.0872,-4.04,0.0554,0.879,153.919,DailyMix2
La Difícil,Bad Bunny,YHLQMDLG,163084,True,83,8,0,4,0.0861,0.685,0.848,7.14e-06,0.0783,-4.561,0.0858,0.761,179.87,DailyMix2
Roto,"Noreh,Nacho",Roto,195933,False,42,6,0,4,0.0521,0.771,0.739,0,0.323,-5.372,0.33,0.499,169.997,DailyMix2
TE DESEO LO MEJOR,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,139576,True,77,1,1,4,0.158,0.763,0.597,1.83e-05,0.111,-5.054,0.0416,0.194,126.054,DailyMix2
Que Fluya - Remix,"Yera,Jerry Di,Corina Smith,Andy G",Que Fluya (Remix),201875,True,61,8,1,5,0.292,0.569,0.677,0,0.783,-5.294,0.0703,0.801,127.929,DailyMix2
UN PESO,"J Balvin,Bad Bunny,Marciano Cantero",OASIS,277106,False,76,5,0,4,0.125,0.627,0.675,0,0.0784,-7.125,0.213,0.961,79.31,DailyMix2
China,"Anuel AA,Daddy Yankee,KAROL G,J Balvin,Ozuna",China,301714,False,80,7,1,4,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,DailyMix2
Como Panas,Bryant Myers,Como Panas,198997,False,60,10,0,4,0.404,0.638,0.61,0,0.146,-5.929,0.213,0.379,157.956,DailyMix2
B11 (feat. Myke Towers),"Rvssian,Darell,Zion & Lennox,Myke Towers",B11 (feat. Myke Towers),251929,False,68,0,1,4,0.0672,0.759,0.717,0.000455,0.131,-5.014,0.115,0.195,99.946,DailyMix2
Como Se Siente,Jhay Cortez,Famouz Reloaded,219640,False,60,3,0,4,0.213,0.664,0.582,0,0.108,-7.139,0.0935,0.222,92.764,DailyMix2
Mi Niña,Ozuna,Mi Niña,209826,False,68,10,1,4,0.18,0.679,0.706,0,0.0784,-4.853,0.0836,0.543,170.047,DailyMix2
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",Emmanuel,246000,True,85,8,1,4,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,0.855,174.021,DailyMix2
Dakiti,"Bad Bunny,Jhay Cortez",Dakiti,205090,True,100,4,0,4,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,0.145,109.928,DailyMix2
La Curiosidad,"Jay Wheeler,DJ Nelson,Myke Towers",Platonicos,219048,False,92,11,0,4,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,0.68,90.013,DailyMix2
Otro Trago,"Sech,Darell",Sueños,225933,True,76,0,1,4,0.136,0.746,0.7,0.000159,0.11,-4.669,0.341,0.619,176.044,DailyMix2
Como Yo,"Juan Magán,Buxxi",The King Of Dance,192146,False,44,6,1,4,0.349,0.641,0.858,0,0.0884,-6.304,0.0683,0.931,129.966,DailyMix2
