Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Millonario,Pol Granch,Tengo Que Calmarme,189690,False,45,10,1,4,0.206,0.552,0.576,0,0.213,-7.072,0.121,0.386,80.271,DailyMix3
2,Al Safir,2,212460,True,44,0,0,4,0.236,0.661,0.71,0,0.102,-7.961,0.406,0.817,183.975,DailyMix3
Sin Ti,Air Magno,Sin Ti,221250,False,49,0,0,3,0.85,0.81,0.468,0,0.105,-7.449,0.0374,0.679,109.478,DailyMix3
Se Te Nota,Chema Rivas,Se Te Nota,222000,False,66,7,1,4,0.553,0.706,0.81,0,0.132,-5.766,0.0482,0.666,100.052,DailyMix3
Otra Ronda Más,"Hens,Belén Aguilera",Otra Ronda Más,153944,False,54,1,1,4,0.271,0.678,0.673,0,0.118,-6.671,0.109,0.311,90.047,DailyMix3
Pa que lo gocen,"fernandocosta,Dollar Selmouni,Blasfem",Yipiyou,220964,True,59,6,0,4,0.349,0.678,0.625,0,0.116,-7.29,0.109,0.277,89.982,DailyMix3
Esperando,Nil Moliner,Hijos de la Tierra,173653,False,48,7,0,4,0.445,0.886,0.626,4.55e-05,0.0764,-7.958,0.0467,0.944,124.98,DailyMix3
Sin Prisa,"Nikone,Pablo Cebrián",Sin Prisa,164954,False,48,9,1,4,0.84,0.652,0.442,5.39e-05,0.107,-13.698,0.0861,0.146,99.863,DailyMix3
Estar Aquí,"Delgao,Hens",Estar Aquí,188919,False,38,9,1,4,0.478,0.749,0.745,0,0.278,-6.431,0.144,0.336,98.027,DailyMix3
Como Estrellas,LA YOUNG,Como Estrellas,219000,False,77,6,1,4,0.765,0.446,0.496,0,0.259,-6.051,0.0857,0.763,170.145,DailyMix3
Control,"Sticky M.A.,Royce Rolo,IAMTOMMY",Konbanwa,183214,False,40,10,1,4,0.632,0.73,0.613,2.92e-05,0.082,-5.848,0.0935,0.566,97.988,DailyMix3
Vuelve Pero Vete,Manu Cort,Caloca,209657,True,49,3,1,4,0.449,0.674,0.611,0,0.1,-9.953,0.54,0.517,186.053,DailyMix3
+,"Aitana,Cali Y El Dandee",+,219367,False,74,8,1,4,0.106,0.561,0.666,0,0.123,-4.243,0.0322,0.675,160.019,DailyMix3
Bailemos,Dani Fernández,Incendios,210468,False,67,1,1,4,0.0616,0.649,0.555,3.45e-06,0.0874,-4.655,0.0292,0.607,128.009,DailyMix3
Este mensaje fue eliminado,Aren,Este mensaje fue eliminado,146302,False,23,0,0,4,0.211,0.609,0.507,0,0.227,-11.525,0.0428,0.193,146.095,DailyMix3
Arráncame la Piel,Pol Granch,Tengo Que Calmarme,179468,False,42,9,0,4,0.684,0.726,0.51,0,0.221,-6.836,0.225,0.57,97.845,DailyMix3
Aunque Salga Caro,"D Brío,Átiko Gris",Aunque Salga Caro,182500,False,19,8,0,4,0.244,0.757,0.557,0,0.149,-9.056,0.267,0.261,96.154,DailyMix3
Disfruto,lejazzy,Disfruto,74004,False,42,1,0,4,0.102,0.767,0.415,0,0.0966,-8.88,0.295,0.556,90.388,DailyMix3
Qué,Lopes,Oro Negro,280953,True,41,8,1,4,0.476,0.682,0.783,0,0.0767,-6.66,0.346,0.147,92.936,DailyMix3
Late,Pol Granch,Late,167600,False,55,7,1,4,0.182,0.766,0.482,0,0.163,-7.166,0.216,0.635,104.166,DailyMix3
Malamanera,fernandocosta,Malamanera,182129,True,60,7,1,4,0.522,0.829,0.589,0,0.12,-6.824,0.255,0.376,91.988,DailyMix3
Mandamientos,Adridf,Mandamientos,128688,False,33,1,1,3,0.912,0.908,0.447,0.0841,0.108,-14.404,0.162,0.581,125.03,DailyMix3
Batmóvil - Remix,"Hens,Pole.,Funzo & Baby Loud",Batmóvil (Remix),210000,False,72,10,1,4,0.0843,0.655,0.839,0,0.164,-6.087,0.0591,0.387,108.047,DailyMix3
Cupido,Air Magno,Cupido,155604,False,55,4,1,4,0.93,0.732,0.413,2.03e-05,0.071,-9.269,0.0525,0.541,90.959,DailyMix3
Entre Tú y Yo,Chema Rivas,Entre Tú y Yo,224000,False,79,9,0,4,0.288,0.854,0.669,0,0.221,-5.206,0.0617,0.484,120.023,DailyMix3
Soldadito de Hierro,Nil Moliner,Bailando en la batalla,142964,False,61,9,1,4,0.87,0.716,0.344,0,0.0945,-7.528,0.14,0.412,81.86,DailyMix3
Pikete Italiano,KvndySwing,Gelato,188181,True,59,8,1,4,0.327,0.835,0.473,0,0.258,-6.672,0.216,0.263,95.002,DailyMix3
27 de Abril,Enol,27 de Abril,182723,False,33,7,1,4,0.372,0.697,0.662,0,0.0865,-8.333,0.0537,0.705,99.855,DailyMix3
Universo,Blas Cantó,Universo,182493,False,49,5,1,4,0.604,0.562,0.645,0,0.106,-6.498,0.0538,0.597,91.922,DailyMix3
Desastre,Pol Granch,Desastre,176663,False,49,9,1,4,0.218,0.643,0.674,7.08e-06,0.108,-5.916,0.0489,0.429,91.969,DailyMix3
Otro Día Mas,Baron850,Otro Día Mas,156541,False,55,2,1,4,0.396,0.793,0.491,0,0.0619,-16.392,0.197,0.431,110.002,DailyMix3
