Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Despeinada,"Ozuna,Camilo",Despeinada,224186,False,81,8,1,4,0.173,0.727,0.78,0.000995,0.131,-3.807,0.0634,0.748,166.02,DailyMix5
Dama y vagabundo,"Nyno Vargas,Juan Magán",Dama y vagabundo,184661,False,49,9,1,4,0.517,0.696,0.836,0,0.149,-5.066,0.0439,0.942,91.958,DailyMix5
Me Llamas,"Arcangel,Mark B.,De La Ghetto,Bad Bunny,Amenazzy",Me Llamas,327999,True,52,2,1,4,0.259,0.799,0.595,0,0.344,-7.015,0.193,0.555,120.06,DailyMix5
Elegí (feat. Dímelo Flow),"Rauw Alejandro,Dalex,Lenny Tavárez,Dímelo Flow",Elegí (feat. Dímelo Flow),197721,False,84,0,1,4,0.237,0.824,0.631,0.000116,0.0531,-2.791,0.0809,0.678,171.965,DailyMix5
Negro,J Balvin,Iconos del Urbano,182506,False,24,0,1,4,0.0132,0.791,0.907,0.211,0.245,-2.223,0.0884,0.828,164.107,DailyMix5
Te Quemaste,"Manuel Turizo,Anuel AA",ADN,199090,False,70,0,1,4,0.611,0.729,0.773,0.00106,0.287,-2.486,0.131,0.718,176.053,DailyMix5
Dime tú,Danny Ocean,Dime tú,210302,False,72,2,1,4,0.581,0.831,0.648,0,0.114,-8.433,0.0438,0.171,117.98,DailyMix5
TBT,"Sebastian Yatra,Rauw Alejandro,Manuel Turizo",TBT,239133,False,76,2,1,4,0.0362,0.794,0.855,0,0.142,-1.959,0.0466,0.639,91.963,DailyMix5
Borracho De Amor,"Cali Y El Dandee,Reik",Borracho De Amor,175706,False,64,9,1,4,0.0511,0.527,0.771,0,0.0948,-2.178,0.0634,0.857,92.746,DailyMix5
Tutu,"Camilo,Pedro Capó",Tutu,178613,False,78,9,1,4,0.273,0.731,0.832,0,0.0665,-2.592,0.0503,0.94,146.013,DailyMix5
Caramelo,Ozuna,Caramelo,217546,False,86,6,1,4,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,0.698,168.084,DailyMix5
Bobo,J Balvin,Energía,209426,False,62,10,1,4,0.115,0.742,0.893,6.67e-05,0.125,-2.671,0.117,0.777,177.879,DailyMix5
Tusa,"KAROL G,Nicki Minaj",Tusa,200960,False,87,2,1,4,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,0.574,101.085,DailyMix5
Reloj,"Rauw Alejandro,Anuel AA",Reloj,231594,True,86,8,1,4,0.176,0.823,0.537,3.98e-06,0.123,-2.639,0.209,0.615,175.946,DailyMix5
FRESH KERIAS,"Feid,Maluma,Sky Rompiendo",FRESH KERIAS,272800,False,61,8,1,4,0.295,0.741,0.584,9.62e-05,0.152,-4.446,0.283,0.734,186.096,DailyMix5
Una Vez Más,"Manuel Turizo,Noriel",Una Vez Más,252000,False,47,11,0,4,0.455,0.807,0.464,2.05e-06,0.139,-7.59,0.048,0.77,139.987,DailyMix5
Controla,"Brytiago,Anuel AA",Controla,208000,True,60,6,1,4,0.504,0.758,0.699,0,0.0922,-5.636,0.171,0.594,90.013,DailyMix5
"Rápido, Brusco, Violento","Juan Magán,Boni & Kelly","Rápido, Brusco, Violento",193608,False,51,3,1,4,0.125,0.663,0.857,0,0.265,-3.436,0.0541,0.59,97.013,DailyMix5
Se Preparó,Ozuna,Odisea,188080,False,73,1,1,4,0.222,0.739,0.821,9.6e-06,0.311,-4.233,0.0852,0.693,171.077,DailyMix5
Hey DJ,"CNCO,Yandel",CNCO,206920,False,69,5,1,4,0.0317,0.798,0.809,0,0.214,-6.152,0.0839,0.471,90.006,DailyMix5
En la Intimidad,Ozuna,En la Intimidad,256183,True,62,11,1,4,0.0372,0.762,0.656,0,0.0908,-7.858,0.0565,0.106,113.076,DailyMix5
Fantasias - Unplugged,"Rauw Alejandro,Farruko",Fantasias (Unplugged),200593,False,67,0,1,4,0.698,0.714,0.528,0,0.12,-5.219,0.0381,0.538,91.952,DailyMix5
Bonita,"J Balvin,Jowell & Randy",Bonita,265746,False,71,5,0,4,0.0132,0.775,0.867,0.00684,0.278,-1.582,0.0414,0.869,96.038,DailyMix5
ATEO,Feid,FERXXO (VOL 1: M.O.R),138680,False,49,4,1,4,0.904,0.457,0.42,0,0.0988,-7.27,0.103,0.261,87.035,DailyMix5
Ahora Me Llama,"KAROL G,Bad Bunny",Ahora Me Llama,233293,False,0,7,0,4,0.0073,0.664,0.576,6.28e-05,0.0912,-5.395,0.0349,0.121,134.934,DailyMix5
MÁS DE UNA CITA,"Bad Bunny,Zion & Lennox",LAS QUE NO IBAN A SALIR,183520,True,74,5,1,4,0.0122,0.865,0.5,7.73e-05,0.098,-10.805,0.0861,0.317,92.976,DailyMix5
Fresa,"TINI,Lalo Ebratt",Fresa,165646,False,70,5,0,4,0.216,0.781,0.866,0,0.101,-3.493,0.0867,0.864,95.993,DailyMix5
Tu Boca,"Jd Music,Beéle,José Cury,Vallejo",Tu Boca,209557,False,47,0,1,4,0.43,0.829,0.605,1.31e-05,0.0738,-6.625,0.208,0.689,95.066,DailyMix5
Mayores,"Becky G,Bad Bunny",MALA SANTA,203186,False,73,5,0,4,0.145,0.745,0.836,0.00314,0.116,-4.336,0.0444,0.874,96.993,DailyMix5
