Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Un Planeta Llamado Nosotros,Maldita Nerea,Un Planeta Llamado Nosotros,224926,False,62,10,1,4,0.186,0.66,0.512,0,0.0921,-8.085,0.066,0.819,100.85,DailyMix6
1932,La Maravillosa Orquesta del Alcohol,¿Quién Nos Va a Salvar?,180883,False,54,0,1,4,0.0179,0.551,0.361,2.11e-06,0.0997,-15.89,0.0333,0.31,135.13,DailyMix6
Todo Me Da Igual,Pignoise,Año Zero,205026,False,49,6,1,4,0.0286,0.426,0.76,0,0.0712,-5.665,0.0449,0.876,127.904,DailyMix6
Que Bonita la Vida,Dani Martín,Dani Martin,270653,False,54,7,1,4,0.301,0.506,0.535,5.08e-06,0.1,-5.676,0.0314,0.286,134.075,DailyMix6
Más Colao Que el Colacao,La La Love You,La la Love You,161186,False,54,9,1,4,0.0135,0.389,0.891,0,0.0369,-3.312,0.0507,0.801,192.937,DailyMix6
Besos,El Canto Del Loco,Zapatillas,145826,False,61,10,1,4,0.00679,0.576,0.909,4.42e-06,0.134,-3.306,0.0523,0.544,104.971,DailyMix6
Que Alegria Mas Tonta,Pereza,Animales,181680,False,46,10,1,4,0.0428,0.628,0.911,0.00017,0.309,-3.177,0.0344,0.713,128.861,DailyMix6
Nacidos para Creer,Amaia Montero,Nacidos para Creer,226640,False,49,4,1,4,0.639,0.607,0.599,0,0.0946,-4.582,0.0588,0.564,90.126,DailyMix6
Presiento,"Morat,Aitana",Balas Perdidas (Edición Especial),174379,False,69,2,1,4,0.168,0.711,0.727,0,0.296,-3.15,0.162,0.465,180.039,DailyMix6
Mi accidente preferido (con Juancho Sidecars y Sidecars),"Despistaos,Juancho Sidecars,Sidecars",Estamos enteros,206260,False,33,7,1,4,0.188,0.626,0.689,0,0.152,-5.344,0.0256,0.58,97.975,DailyMix6
Somos,Melocos,Somos,218973,False,37,7,1,4,0.134,0.56,0.622,0,0.11,-3.554,0.027,0.306,72.478,DailyMix6
Cómo hablar,Amaral,Una Pequeña Parte Del Mundo,241266,False,56,3,1,4,0.0356,0.606,0.775,1.74e-06,0.111,-4.752,0.0291,0.626,117.357,DailyMix6
Tenia Tanto Que Darte,Nena Daconte,Retales De Carnaval,204560,False,58,1,1,4,0.0465,0.642,0.603,0,0.448,-3.794,0.0349,0.493,124.978,DailyMix6
No Te Preocupes por Mi,Leiva,Nuclear,229406,False,62,7,1,4,0.119,0.481,0.598,1.72e-06,0.0938,-5.987,0.0309,0.408,76.732,DailyMix6
Adiós,"Cali Y El Dandee,Andry Kiddos",Adiós,187386,False,61,0,1,4,0.449,0.621,0.667,0,0.165,-3.649,0.0931,0.824,72.699,DailyMix6
Solo quiero bailar,Zenttric,Solo Quiero Bailar,184333,False,47,7,0,4,0.128,0.659,0.891,0,0.0999,-3.143,0.0259,0.583,138.989,DailyMix6
Un Año Mas,Mecano,Siglo XXI (2CD's),271853,False,29,11,1,4,0.119,0.685,0.584,1.11e-06,0.177,-7.619,0.0345,0.817,88.834,DailyMix6
Laponia,La La Love You,La la Love You,192253,False,51,2,1,4,0.111,0.585,0.831,0,0.0752,-3.551,0.032,0.808,140.046,DailyMix6
