,Unnamed: 0,Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
0,0,Stockholm Sweetnin',"Scott Hamilton,Jesper Lundgaard,Jan Lundgren,Kristian Leth",Swedish Ballads… & More,475680,False,0,8.0,1.0,4.0,0.838,0.602,0.302,0.907,0.113,-11.627,0.0427,0.3,119.758,Dinner Tracks
1,1,Almost Like Being In Love,"Red Garland,Paul Chambers,Art Taylor",Red Garland's Piano,290293,False,59,0.0,0.0,4.0,0.873,0.561,0.34600000000000003,0.399,0.104,-12.595999999999998,0.0409,0.6970000000000001,93.689,Dinner Tracks
2,2,Garden of Delight,Jan Lundgren Trio,I LOVE JAN LUNDGREN TRIO,291861,False,0,11.0,1.0,4.0,0.8759999999999999,0.4270000000000001,0.287,0.8740000000000001,0.133,-19.834,0.0346,0.469,104.407,Dinner Tracks
3,3,New Orleans,Wynton Marsalis,Marsalis Standard Time - Volume I,340543,False,44,10.0,1.0,4.0,0.7140000000000001,0.644,0.205,0.0482,0.051,-16.005,0.0397,0.428,118.314,Dinner Tracks
4,4,The Sequel,Wingspan,The Sequel,482360,False,0,9.0,0.0,4.0,0.703,0.532,0.364,0.618,0.0602,-13.068,0.0297,0.259,127.166,Dinner Tracks
5,5,Sun Out,Eric Reed,Something Beautiful,304413,False,0,7.0,0.0,4.0,0.82,0.4970000000000001,0.365,0.8029999999999999,0.0846,-14.489,0.0476,0.225,123.472,Dinner Tracks
6,6,Let's Call the Whole Thing Off,"Seamus Blake,Chris Cheek",Let's Call the Whole Thing Off,549040,False,27,5.0,0.0,4.0,0.679,0.491,0.303,0.0797,0.14,-13.365,0.0483,0.366,142.109,Dinner Tracks
7,7,Cantaloupe Island,Nat Adderley,Sayin' Somethin',438133,False,40,0.0,0.0,4.0,0.754,0.616,0.395,0.00223,0.0789,-16.249000000000002,0.0307,0.615,117.997,Dinner Tracks
8,8,Way 'Cross Town - Originally Performed By Carl Perkins,"Benny Green,Kenny Washington,Peter Washington",Source,251332,False,0,6.0,1.0,4.0,0.706,0.515,0.327,0.851,0.104,-15.817,0.0901,0.795,91.083,Dinner Tracks
9,9,Gramercy Sunset,The Hot Sardines,French Fries & Champagne,255106,False,48,0.0,1.0,4.0,0.885,0.454,0.084,0.936,0.0958,-18.621,0.0293,0.0828,87.816,Dinner Tracks
10,10,One For Daddy-O - Remastered,Cannonball Adderley,Somethin' Else (Rudy Van Gelder Edition),505453,False,50,5.0,0.0,4.0,0.581,0.616,0.434,0.0,0.131,-7.2570000000000014,0.031,0.404,108.467,Dinner Tracks
11,11,The Runaround,Peter Edwards Trio,A Matter of Instinct,233023,False,19,6.0,1.0,4.0,0.487,0.539,0.305,0.846,0.105,-16.701,0.055,0.677,127.807,Dinner Tracks
12,12,Have You Met Miss Jones,"Kenny Garrett Quintet,Mulgrew Miller,Tony Reedus,Nat Reeves,Woody Shaw",Introducing Kenny Garrett,557066,False,27,5.0,1.0,4.0,0.484,0.604,0.237,0.4920000000000001,0.0726,-19.828,0.0384,0.418,130.248,Dinner Tracks
13,13,Sandu,"Clifford Brown,Max Roach Quintet",Study In Brown,297040,False,0,8.0,1.0,4.0,0.6509999999999999,0.6859999999999999,0.439,0.16699999999999998,0.102,-9.304,0.0546,0.529,136.452,Dinner Tracks
14,14,Nice Work If You Can Get It,Marcus Roberts,Gershwin For Lovers,283666,False,19,8.0,1.0,4.0,0.6709999999999999,0.482,0.237,0.914,0.099,-21.34,0.104,0.6970000000000001,202.3,Dinner Tracks
15,15,A Touch Of Silver,Nicholas Payton,Payton's Place,313560,False,38,7.0,1.0,4.0,0.85,0.518,0.526,0.7240000000000001,0.125,-9.753,0.0362,0.3,128.13299999999998,Dinner Tracks
16,16,They Didn't Believe Me,Beegie Adair,The Way You Look Tonight,209333,False,47,8.0,1.0,4.0,0.8390000000000001,0.583,0.233,0.816,0.139,-15.529000000000002,0.0354,0.505,135.308,Dinner Tracks
17,17,Begin The Beguine - Alternate Take,Art Pepper,Modern Art,375173,False,31,8.0,1.0,4.0,0.83,0.51,0.398,0.14,0.149,-12.411,0.0718,0.7070000000000001,181.695,Dinner Tracks
