Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Slide (feat. Frank Ocean & Migos),"Calvin Harris,Frank Ocean,Migos,Funk Wav",Funk Wav Bounces Vol.1,230813,True,67,1,0,4,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,0.511,104.066,DrivingList
Paper Planes,M.I.A.,Kala,203760,False,44,2,1,4,0.033,0.447,0.848,7.45e-05,0.722,-6.175,0.222,0.485,172.247,DrivingList
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),210626,True,64,11,0,4,0.135,0.747,0.716,0,0.251,-2.457,0.0751,0.751,125.006,DrivingList
Whistle,Flo Rida,Whistle,225000,False,61,0,1,4,0.0199,0.754,0.933,0,0.297,-5.786,0.0448,0.75,103.992,DrivingList
Super Bass,Nicki Minaj,Pink Friday (Deluxe),200013,True,69,11,1,4,0.269,0.72,0.861,5.11e-06,0.601,-4.339,0.209,0.669,126.991,DrivingList
Hollaback Girl,Gwen Stefani,Love Angel Music Baby,199906,True,3,10,0,4,0.344,0.918,0.918,5.35e-06,0.0243,-2.218,0.0954,0.882,110.024,DrivingList
Fergalicious,"Fergie,will.i.am",The Dutchess,292373,True,71,8,0,4,0.0576,0.906,0.584,0,0.128,-7.72,0.316,0.831,129.055,DrivingList
BedRock,"Young Money,Lloyd",We Are Young Money,288133,True,72,8,1,4,0.102,0.733,0.664,0,0.191,-6.163,0.295,0.557,148.005,DrivingList
Tongue Tied,Grouplove,Never Trust a Happy Song,218013,False,82,3,1,4,0.00847,0.56,0.936,0,0.161,-5.835,0.0439,0.371,112.96,DrivingList
Everybody Talks,Neon Trees,Picture Show,177280,False,79,8,1,4,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,0.725,154.961,DrivingList
London Bridge,Fergie,The Dutchess,241306,True,62,1,1,4,0.216,0.769,0.609,0,0.166,-5.894,0.357,0.633,90.951,DrivingList
Pocketful of Sunshine,Natasha Bedingfield,Strip Me Away,203440,False,63,9,0,4,0.203,0.726,0.881,0,0.108,-3.892,0.0391,0.682,110.019,DrivingList
Rather Be (feat. Jess Glynne),"Clean Bandit,Jess Glynne",Rather Be (feat. Jess Glynne),227833,False,72,11,1,4,0.162,0.799,0.586,2.03e-06,0.193,-6.735,0.0377,0.549,120.97,DrivingList
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg,Wiz Khalifa,Bruno Mars",Mac and Devin Go to High School (Music from and Inspired by the Movie),207346,False,65,0,1,4,0.0897,0.553,0.652,0,0.111,-6.685,0.206,0.551,94.505,DrivingList
Price Tag,"Jessie J,B.o.B",Who You Are (Platinum Edition),223053,False,61,5,1,4,0.0281,0.638,0.831,3.06e-06,0.277,-3.944,0.182,0.685,175.038,DrivingList
Hurricane,Bridgit Mendler,Hello My Name Is...,243986,False,71,7,0,4,0.0398,0.757,0.825,2.63e-06,0.0798,-4.062,0.0701,0.446,95.01,DrivingList
Mambo No. 5 (A Little Bit of...),Lou Bega,King of Mambo,219600,False,0,5,0,4,0.107,0.607,0.802,0,0.305,-6.849,0.403,0.901,174.201,DrivingList
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,287306,False,1,2,1,4,0.648,0.45,0.658,3.14e-06,0.264,-7.064,0.0472,0.781,106.799,DrivingList
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,303373,False,80,10,1,4,0.652,0.388,0.338,3.72e-06,0.248,-10.054,0.0328,0.477,177.784,DrivingList
Classic,MKTO,MKTO,175426,False,80,1,1,4,0.0384,0.72,0.791,0,0.157,-4.689,0.124,0.756,102.071,DrivingList
Magic (feat. Rivers Cuomo),"B.o.B,Rivers Cuomo",B.o.B Presents: The Adventures of Bobby Ray,196133,False,66,8,0,4,0.0127,0.549,0.932,0,0.347,-4.11,0.343,0.787,82.439,DrivingList
