Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Roots controller,Groove Corporation,Co-operation & Co-operation Dub,371304,False,3,11,0,4,0.000765,0.716,0.516,0.228,0.209,-13.076,0.0534,0.346,105.015,DubReggae
The Only Redeemer - Groove Corporation Remix,"Noiseshaper,Groove Corporation",King Size Dub Special: Noiseshaper,324800,False,8,10,0,4,0.0308,0.86,0.417,0.107,0.712,-11.233,0.13,0.46,133.48,DubReggae
Ghetto Prayer (feat. Bim Sherman),Groove Corporation,Co-operation & Co-operation Dub,395572,False,1,2,1,4,0.32,0.725,0.332,0.0165,0.639,-15.375,0.0845,0.45,148.9,DubReggae
Hypnoherapy,Groove Corporation,Co-operation & Co-operation Dub,259996,False,0,10,0,4,0.034,0.725,0.416,0.873,0.864,-16.552,0.0673,0.476,109.987,DubReggae
Passion,Groove Corporation,Co-operation & Co-operation Dub,247797,False,1,8,1,4,0.0656,0.618,0.525,0.824,0.238,-13.156,0.0363,0.378,130.026,DubReggae
Speak To Me/Breathe (In The Air) [Dubmatix Remix],"Easy Star All-Stars,Dubmatix",Dubber Side of the Moon,231946,False,21,11,0,4,0.0122,0.569,0.749,0.476,0.221,-7.656,0.103,0.63,135.016,DubReggae
On The Run (10 Ft. Ganja Plant Remix),"Easy Star All-Stars,10 Ft. Ganja Plant",Dubber Side of the Moon,244106,False,17,6,0,4,0.00398,0.732,0.777,0.786,0.778,-6.113,0.054,0.802,141.074,DubReggae
Time (Groove Corporation Remix),"Easy Star All-Stars,Groove Corporation",Dubber Side of the Moon,346800,False,20,6,0,4,0.189,0.782,0.684,0.00014,0.648,-5.876,0.0775,0.533,140.019,DubReggae
The Great Gig In The Sky (Dubphonic Remix),"Easy Star All-Stars,Dubphonic",Dubber Side of the Moon,308880,False,18,2,0,4,0.0557,0.407,0.589,0.413,0.179,-9.271,0.0492,0.203,126.285,DubReggae
Money (Alchemist Remix),"Easy Star All-Stars,Alchemist",Dubber Side of the Moon,398293,False,30,6,0,4,0.0218,0.662,0.901,0.00416,0.653,-5.515,0.0499,0.665,139.984,DubReggae
Us And Them (Dreadzone Remix),"Easy Star All-Stars,Dreadzone",Dubber Side of the Moon,359946,False,18,2,1,4,0.0205,0.674,0.47,0.841,0.111,-8.209,0.0418,0.526,143.977,DubReggae
Any Colour You Like (Kalbata Remix),"Easy Star All-Stars,Kalbata",Dubber Side of the Moon,244533,False,15,2,1,4,0.000206,0.653,0.68,0.77,0.109,-9.015,0.0509,0.139,140.989,DubReggae
Brain Damage (Adrian Sherwood and Jazzwad Remix),"Easy Star All-Stars,Adrian Sherwood,Jazzwad",Dubber Side of the Moon,270133,False,26,2,1,4,0.0294,0.721,0.744,0.0902,0.0782,-5.377,0.0796,0.577,124.043,DubReggae
Eclipse (Victor Rice Remix),"Easy Star All-Stars,Victor Rice",Dubber Side of the Moon,156960,False,16,2,1,4,0.163,0.874,0.76,0.945,0.0618,-8.668,0.0621,0.792,120.184,DubReggae
Step It Pon The Rastaman Scene (Border Crossing Remix),"Easy Star All-Stars,Border Crossing",Dubber Side of the Moon,260266,False,15,1,1,4,0.0129,0.743,0.683,0.00641,0.389,-6.247,0.132,0.606,136.01,DubReggae
Money (Mad Professor Remix),"Easy Star All-Stars,Mad Professor",Dubber Side of the Moon,328106,False,17,11,0,4,0.00097,0.858,0.653,0.425,0.0946,-8.673,0.227,0.573,134.981,DubReggae
Time Version (Michael G Easy Star All-Stars Remix),"Easy Star All-Stars,Michael G.",Dubber Side of the Moon,218293,False,16,6,0,4,0.000399,0.682,0.631,0.833,0.255,-7.647,0.0262,0.718,130.288,DubReggae
On The Run (J.Viewz Remix),"Easy Star All-Stars,J.Viewz",Dubber Side of the Moon,227333,False,15,1,1,3,0.54,0.583,0.731,0.869,0.151,-11.109,0.0404,0.859,163.023,DubReggae
On The Run (J.Viewz Remix),"Easy Star All-Stars,J.Viewz",Dubber Side of the Moon,227333,False,15,1,1,3,0.54,0.583,0.731,0.869,0.151,-11.109,0.0404,0.859,163.023,DubReggae
We Rock It,Noiseshaper,King Size Dub Special: Noiseshaper,367391,False,6,11,0,4,0.00715,0.877,0.654,0.443,0.0787,-6.497,0.0571,0.846,122.017,DubReggae
Thirsty Ears,Noiseshaper,Prelaunch Sequence,306426,False,3,4,0,4,0.496,0.856,0.561,0.427,0.102,-9.015,0.108,0.512,130.033,DubReggae
Cultura Pura,Noiseshaper,Prelaunch Sequence,268906,False,3,2,1,4,0.384,0.777,0.578,0.174,0.113,-10.781,0.111,0.569,144.024,DubReggae
Rise,Noiseshaper,Prelaunch Sequence,283240,False,1,7,1,4,0.0229,0.645,0.611,0.821,0.107,-8.895,0.0995,0.43,196.013,DubReggae
Moving Together,Noiseshaper,Prelaunch Sequence,351253,False,2,0,1,4,0.277,0.679,0.522,0.000388,0.0569,-11.139,0.0548,0.728,77.965,DubReggae
Evil E,Noiseshaper,Prelaunch Sequence,298386,False,1,8,1,4,0.00771,0.802,0.646,0.866,0.0942,-8.788,0.0636,0.316,124.998,DubReggae
Radio C1C,Noiseshaper,Prelaunch Sequence,109266,False,2,4,1,4,0.00674,0.589,0.564,0.811,0.216,-14.377,0.0573,0.82,176.843,DubReggae
Where Is Fizz?,Noiseshaper,Prelaunch Sequence,354373,False,2,10,0,4,0.0108,0.689,0.919,0.907,0.106,-9.665,0.048,0.805,171.997,DubReggae
O-Kaeri,Noiseshaper,Prelaunch Sequence,452640,False,3,5,1,4,0.153,0.413,0.541,0.612,0.686,-12.045,0.0438,0.502,177.962,DubReggae
Cornflake,Noiseshaper,Prelaunch Sequence,324600,False,1,6,0,4,0.716,0.729,0.421,0.908,0.0419,-13.201,0.133,0.488,191.975,DubReggae
All a Dem a Do,"Noiseshaper,Juggla",The Signal,316146,False,3,9,0,4,0.111,0.728,0.464,0.00297,0.168,-14.584,0.0513,0.406,98.002,DubReggae
Jah Dub,"Noiseshaper,Kwasi Asante",The Signal,332613,False,3,8,0,4,0.0579,0.762,0.573,0.53,0.189,-9.61,0.113,0.722,168.032,DubReggae
We Love Reggae,"Noiseshaper,Vido Jelashe I",The Signal,247480,False,7,4,0,4,0.00157,0.834,0.519,0,0.135,-9.947,0.174,0.534,74.998,DubReggae
Wise Up,"Noiseshaper,MC Tweed",The Signal,311733,False,3,9,0,4,0.00599,0.852,0.531,5.46e-06,0.321,-11.193,0.15,0.808,146.022,DubReggae
The Signal,"Noiseshaper,Spikey Tee",The Signal,212466,False,3,0,0,4,0.0131,0.887,0.515,1.19e-06,0.0378,-8.0,0.0621,0.896,104.911,DubReggae
