Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Entre la espada y la pared,Fito y Fitipaldis,Huyendo conmigo de mí,292240,False,53,0,1,4,0.15,0.706,0.717,0,0.132,-8.108,0.0379,0.559,134.184,ESPAÃ‘OLAS
Lo que sobra de mí,Fito y Fitipaldis,Huyendo conmigo de mí,220120,False,49,5,0,4,0.245,0.685,0.671,0,0.143,-7.082,0.0358,0.829,142.258,ESPAÃ‘OLAS
Pájaros disecados,Fito y Fitipaldis,Huyendo conmigo de mí,259213,False,43,2,0,4,0.123,0.664,0.546,1.86e-06,0.138,-8.519,0.0284,0.698,130.208,ESPAÃ‘OLAS
Garabatos,Fito y Fitipaldis,Huyendo conmigo de mí,280293,False,49,5,0,4,0.0235,0.54,0.717,0,0.0622,-6.316,0.0642,0.801,154.176,ESPAÃ‘OLAS
Después del naufragio,Fito y Fitipaldis,Huyendo conmigo de mí,278586,False,30,7,1,3,0.663,0.429,0.299,1.86e-05,0.106,-10.848,0.0347,0.349,168.317,ESPAÃ‘OLAS
Tarde o temprano,Fito y Fitipaldis,Antes de que cuente diez,305760,False,44,0,1,4,0.0875,0.617,0.779,0.000314,0.682,-5.015,0.0301,0.686,110.052,ESPAÃ‘OLAS
Catorce vidas son dos gatos,Fito y Fitipaldis,Antes de que cuente diez,386293,False,47,5,1,4,0.325,0.635,0.406,1.72e-05,0.0759,-7.501,0.0355,0.355,123.923,ESPAÃ‘OLAS
Todo a cien,Fito y Fitipaldis,Antes de que cuente diez,230706,False,34,5,0,4,0.0101,0.447,0.827,4.73e-06,0.102,-5.215,0.0743,0.555,167.899,ESPAÃ‘OLAS
Los huesos de los besos,Fito y Fitipaldis,Antes de que cuente diez,269906,False,44,9,0,4,0.0625,0.676,0.757,2.25e-05,0.275,-7.267,0.0328,0.617,114.988,ESPAÃ‘OLAS
Que me arrastre el viento,Fito y Fitipaldis,Antes de que cuente diez,267346,False,30,5,0,4,0.508,0.361,0.334,0.000209,0.127,-8.931,0.0537,0.287,69.182,ESPAÃ‘OLAS
Qué necesario es el rock&roll,Fito y Fitipaldis,Antes de que cuente diez,327320,False,42,7,1,4,0.00853,0.592,0.856,3.05e-06,0.132,-4.688,0.062,0.769,140.737,ESPAÃ‘OLAS
Conozco un lugar,Fito y Fitipaldis,Antes de que cuente diez,245680,False,31,8,1,4,0.0772,0.711,0.659,1.06e-06,0.0841,-7.845,0.0374,0.446,126.872,ESPAÃ‘OLAS
La cuisine de Bernard,Fito y Fitipaldis,Antes de que cuente diez,281640,False,27,7,0,4,0.0132,0.313,0.684,0.814,0.0826,-7.961,0.0493,0.165,169.159,ESPAÃ‘OLAS
Por la boca vive el pez,Fito y Fitipaldis,Por la boca vive el pez,269373,False,62,0,0,4,0.255,0.641,0.892,1.01e-05,0.221,-2.812,0.0303,0.841,151.229,ESPAÃ‘OLAS
Me equivocaría otra vez,Fito y Fitipaldis,Por la boca vive el pez,306240,False,59,7,0,4,0.355,0.739,0.748,2.54e-06,0.177,-3.806,0.0269,0.822,132.86,ESPAÃ‘OLAS
Como pollo sin cabeza,Fito y Fitipaldis,Por la boca vive el pez,250399,False,43,9,1,4,0.0548,0.529,0.948,4.13e-05,0.139,-4.38,0.0535,0.801,153.988,ESPAÃ‘OLAS
Sobra la luz,Fito y Fitipaldis,Por la boca vive el pez,215306,False,34,9,0,4,0.22,0.764,0.657,0,0.112,-5.513,0.037,0.967,130.873,ESPAÃ‘OLAS
Viene y va,Fito y Fitipaldis,Por la boca vive el pez,274906,False,46,0,1,4,0.0285,0.714,0.941,0,0.0941,-3.253,0.0371,0.965,134.264,ESPAÃ‘OLAS
Donde todo empieza,Fito y Fitipaldis,Por la boca vive el pez,332159,False,44,10,1,4,0.112,0.413,0.599,1.16e-05,0.32,-5.86,0.0484,0.553,155.384,ESPAÃ‘OLAS
Acabo de llegar,Fito y Fitipaldis,Por la boca vive el pez,375119,False,54,0,1,4,0.252,0.565,0.87,0.000162,0.526,-3.895,0.0409,0.886,145.164,ESPAÃ‘OLAS
Medalla de cartón,Fito y Fitipaldis,Por la boca vive el pez,318746,False,34,7,0,4,0.06,0.591,0.955,1.36e-05,0.183,-3.979,0.0536,0.714,150.214,ESPAÃ‘OLAS
