Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
You Can Ask and I'll Never Say No,Pableno,You Can Ask and I'll Never Say No,370000,False,38,2,0,4,0.00297,0.801,0.814,0.887,0.0929,-9.191,0.0667,0.209,119.988,ElectronicRunning
Ultraviolet,Mar Vei,Clairvoyant,266977,False,40,0,0,4,0.525,0.799,0.699,0.728,0.112,-10.074,0.0523,0.403,117.024,ElectronicRunning
Kuiu,Pablo Bolivar,Kuiu / Infinite Rainbows,382235,False,53,2,0,4,0.548,0.731,0.309,0.925,0.109,-17.596,0.0415,0.581,117.995,ElectronicRunning
Tsunami,Jones Meadow,Kendwa,252203,False,41,10,0,4,0.322,0.775,0.84,0.87,0.105,-7.781,0.0432,0.231,117.997,ElectronicRunning
Noen,Valante,Raincaller,188524,False,53,9,0,4,0.315,0.661,0.74,0.891,0.0839,-10.941,0.0354,0.0784,119.994,ElectronicRunning
Moon Circuit,Alex Dovo,Margara,325025,False,35,5,0,4,0.111,0.796,0.784,0.897,0.0887,-10.418,0.118,0.56,124.999,ElectronicRunning
Huldas Chemistry,Location,Drop The Silence,318698,False,36,6,0,4,0.0295,0.793,0.529,0.911,0.101,-12.827,0.0718,0.0362,122.038,ElectronicRunning
Drifting (Edit),Deep Desire,Drifting (Edit),205718,False,42,8,1,4,0.645,0.656,0.858,0.548,0.107,-11.568,0.0379,0.679,119.982,ElectronicRunning
Serenity,Dzhef,Serenity,428937,False,41,0,0,4,0.00262,0.752,0.733,0.898,0.0881,-6.521,0.0466,0.417,120.006,ElectronicRunning
F O M U - Lille Åbo Remix,"Bæn Gen,Lille Åbo",F O M U,396909,False,46,0,0,4,0.283,0.785,0.484,0.548,0.0995,-13.169,0.0379,0.164,126.991,ElectronicRunning
Glaskupad - Axel E Remix (Radio Edit),"LEHNBERG,Slim Vic,Axel E",Glaskupad (Axel E Remix),231531,False,40,7,1,4,0.306,0.572,0.563,0.904,0.0966,-14.75,0.0536,0.363,123.001,ElectronicRunning
Santa Cruz,Rodriguez Jr.,Santa Cruz,394439,False,38,2,1,4,0.049,0.73,0.719,0.85,0.094,-12.084,0.0393,0.0338,123.0,ElectronicRunning
Missed You - Dub,Olive On Da Beat,Missed You (Dub),278095,False,37,1,1,4,0.0875,0.716,0.776,0.765,0.126,-5.643,0.043,0.165,125.998,ElectronicRunning
Deep Forest Darkness,Civet Cat,Crossing Fields,236097,False,33,2,1,4,0.074,0.862,0.497,0.826,0.109,-10.094,0.208,0.184,123.012,ElectronicRunning
So Real,Bergmönch,So Real,352000,False,44,3,0,4,0.118,0.836,0.683,0.128,0.0907,-10.228,0.0647,0.627,120.013,ElectronicRunning
Profoundness - Bucher Remix,Big Al,Profoundness,525000,False,36,9,0,4,0.000859,0.813,0.776,0.888,0.043,-6.479,0.0492,0.37,117.998,ElectronicRunning
Epoch,Dye O,Epoch,292026,False,44,10,0,4,0.0426,0.786,0.696,0.843,0.42,-9.505,0.0473,0.16,120.02,ElectronicRunning
Hugged By Highness,CJ Scott,Velvet Pony Trax 5,386767,False,26,11,0,4,7.76e-05,0.757,0.905,0.932,0.108,-7.763,0.0449,0.49,117.9,ElectronicRunning
Nude,Evren Furtuna,Aurora,426000,False,35,9,0,4,0.00484,0.806,0.534,0.895,0.0583,-9.61,0.0487,0.622,120.017,ElectronicRunning
Reveries,Ran the Man,Reveries,215782,False,37,1,0,4,0.634,0.558,0.804,0.828,0.144,-8.949,0.0463,0.039,121.003,ElectronicRunning
Dead Idols,Roman Flügel,All The Right Noises,442544,False,32,10,0,4,0.16,0.896,0.651,0.57,0.11,-10.538,0.187,0.364,127.992,ElectronicRunning
Distance,Ilya Orange,Parallel,347533,False,42,6,0,4,0.174,0.685,0.349,0.871,0.112,-18.891,0.0592,0.178,125.003,ElectronicRunning
Trim,Parallax Deep,10YEARS12,715418,False,26,4,1,4,0.00188,0.809,0.607,0.845,0.0608,-12.626,0.0749,0.678,125.998,ElectronicRunning
Blue Essay,Paralax,Blue Essay,296000,False,52,7,0,4,0.627,0.733,0.64,0.898,0.066,-13.196,0.04,0.142,119.995,ElectronicRunning
Cotton,Cop Envy,Cotton EP,351370,False,33,4,0,4,0.0277,0.807,0.54,0.953,0.0785,-11.995,0.0588,0.0351,126.015,ElectronicRunning
Anthem Num,Chelle Ives,Anthem Num,411562,False,34,1,1,4,0.566,0.781,0.672,0.902,0.124,-11.096,0.0715,0.161,128.001,ElectronicRunning
Strangers In The Light,Loopdeville,Zafro,440655,False,35,4,1,4,0.00984,0.746,0.58,0.862,0.177,-12.107,0.108,0.268,122.004,ElectronicRunning
Drowning,MOOGADISHU,Drowning,212142,False,41,11,0,4,0.00167,0.904,0.337,0.85,0.0721,-9.882,0.0962,0.127,112.03,ElectronicRunning
Momentum,Sam Goku,Momentum,523223,False,39,10,0,4,0.189,0.708,0.828,0.88,0.103,-11.153,0.0351,0.317,125.004,ElectronicRunning
Sinking Walls,Gullen,Sinking Walls,435317,False,33,7,1,4,0.494,0.722,0.543,0.851,0.0868,-13.566,0.0363,0.714,123.987,ElectronicRunning
The Mesmerizing Circle,"Kellerkind,Oliver Koletzki",Dreamer,417299,False,50,1,1,4,0.00347,0.794,0.793,0.914,0.0797,-9.042,0.0824,0.248,120.009,ElectronicRunning
Makes Me Feel,Alex Dovo,Makes Me Feel,425201,False,39,0,1,4,0.000161,0.713,0.72,0.835,0.22,-7.208,0.0371,0.386,124.016,ElectronicRunning
Move Out,Brendon Moeller,Know Me Better,281711,False,41,7,0,4,0.563,0.737,0.675,0.905,0.112,-10.88,0.0515,0.694,118.03,ElectronicRunning
Arising,Dye O,Evergreen,277094,False,46,2,1,4,0.265,0.646,0.733,0.804,0.11,-9.641,0.0469,0.273,115.059,ElectronicRunning
DX Sport - Mixed,Per Hammar,Pathfinder LP (Mixed Tracks),348000,False,25,10,0,4,0.037,0.806,0.869,0.931,0.11,-10.995,0.0539,0.651,126.032,ElectronicRunning
Majestic Diver,Manatee Commune,Majestic Diver,250256,False,47,2,1,4,0.455,0.771,0.568,0.709,0.0941,-7.354,0.0582,0.455,116.967,ElectronicRunning
Glowing State,Maiwan,Always Me,289322,False,50,3,1,4,0.248,0.79,0.497,0.868,0.0527,-13.007,0.0516,0.299,118.023,ElectronicRunning
Descartes,Bonsaye,Huaraz,289500,False,54,9,0,4,0.51,0.733,0.612,0.943,0.0872,-10.694,0.0339,0.107,119.987,ElectronicRunning
Tunnel,Enzofar,Tunnel,291375,False,42,7,1,4,0.000669,0.749,0.87,0.653,0.105,-8.015,0.0409,0.513,120.003,ElectronicRunning
Esperanza,Rone,Esperanza,262476,False,30,5,1,4,0.0411,0.58,0.616,0.816,0.116,-12.086,0.0382,0.206,119.987,ElectronicRunning
Inga-lill - Edit,Gabriel Minguez,Inga-lill,290644,False,53,5,0,4,0.141,0.716,0.617,0.899,0.113,-18.691,0.044,0.0721,124.024,ElectronicRunning
Lost a Little,Brendon Moeller,Communion,400500,False,53,6,0,4,0.0151,0.767,0.739,0.853,0.0928,-9.161,0.0487,0.0695,120.016,ElectronicRunning
Walking Through a Tunnel,Cassa,Leave Yourself,275535,False,31,5,0,4,0.504,0.65,0.819,0.913,0.107,-10.366,0.0615,0.329,120.002,ElectronicRunning
Can't Leave You Like This,Bella Boo,Tuesday,333819,False,28,7,1,4,0.169,0.732,0.677,0.833,0.0957,-15.572,0.0504,0.138,115.992,ElectronicRunning
Myths,Chelle Ives,Anthem Num,375937,False,28,11,1,4,0.126,0.771,0.603,0.951,0.109,-12.766,0.0547,0.431,127.996,ElectronicRunning
Beingness,Timna Momentus,Myriad,184000,False,34,9,0,4,0.216,0.681,0.805,0.925,0.598,-10.317,0.0587,0.4,120.006,ElectronicRunning
D Why Sed,Chelle Ives,Anthem Num,344883,False,32,1,1,4,0.0895,0.953,0.491,0.0505,0.0607,-10.62,0.439,0.325,127.997,ElectronicRunning
Beverly,Gullen,Sinking Walls,325281,False,45,1,1,4,0.297,0.743,0.46,0.783,0.1,-10.396,0.0604,0.313,120.005,ElectronicRunning
Rest,Yim,Rest,243186,False,41,10,1,4,8.43e-06,0.687,0.736,0.892,0.289,-10.859,0.0391,0.208,120.003,ElectronicRunning
