Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Tormenta Sideral,84,La Hierba Bajo el Asfalto,219626,False,21,5,1,4,0.365,0.634,0.884,0,0.128,-3.302,0.0281,0.934,134.879,Espanola
Sentado en tu Arena,84,La Hierba Bajo el Asfalto,230001,False,26,7,1,4,0.381,0.64,0.717,0,0.259,-3.734,0.0272,0.384,100.032,Espanola
27 Días,84,La Hierba Bajo el Asfalto,219733,False,15,0,1,4,0.0371,0.562,0.925,0,0.0827,-3.754,0.0424,0.868,150.008,Espanola
La Hierba Bajo el Asfalto,84,La Hierba Bajo el Asfalto,172760,False,32,11,1,4,0.353,0.577,0.911,0,0.359,-3.688,0.035,0.708,142.994,Espanola
Historias del Arte,84,La Hierba Bajo el Asfalto,228013,False,31,4,1,4,0.729,0.618,0.516,0,0.113,-7.443,0.0321,0.367,145.989,Espanola
El Burdel de las Sirenas,84,El Burdel de las Sirenas,221306,False,35,9,1,4,0.424,0.683,0.588,0,0.271,-13.045,0.0408,0.758,131.901,Espanola
Flor de Primavera,84,El Burdel de las Sirenas,208725,False,36,11,1,4,0.277,0.618,0.701,0,0.0882,-13.593,0.0505,0.607,130.093,Espanola
Crecimiento Vertical,84,El Burdel de las Sirenas,217372,False,27,0,1,4,0.374,0.615,0.373,0,0.211,-13.852,0.0484,0.67,149.867,Espanola
Correr,84,El Burdel de las Sirenas,191200,False,19,4,1,4,0.368,0.605,0.67,0,0.0885,-13.335,0.0415,0.587,136.084,Espanola
Fantasía,84,El Burdel de las Sirenas,254350,False,30,7,1,4,0.8,0.664,0.288,0,0.105,-14.224,0.0373,0.521,123.9,Espanola
Esquinas de Madrid,84,El Burdel de las Sirenas,216462,False,40,7,1,4,0.728,0.602,0.547,0,0.0641,-13.372,0.033,0.645,133.962,Espanola
Mirando al cielo,Huecco,Assalto,238306,False,53,4,1,4,0.357,0.707,0.682,0,0.203,-7.723,0.0726,0.65,101.939,Espanola
"Feo, Fuerte y Formal",El Canto Del Loco,Por Mi y por Todos Mis Compañeros,173213,False,42,9,1,4,0.000715,0.674,0.871,0,0.0459,-3.719,0.0299,0.81,129.962,Espanola
Venezia - Remaster 2015,Hombres G,30 años y un día,273106,False,37,1,1,4,0.32,0.566,0.9,0.00292,0.0466,-3.277,0.119,0.568,168.54,Espanola
Devuélveme a mi chica - Remaster 2015,Hombres G,30 años y un día,193960,False,42,9,0,4,0.0129,0.574,0.922,0.00446,0.138,-4.394,0.103,0.43,172.692,Espanola
Visite nuestro bar - Remaster 2015,Hombres G,30 años y un día,205826,False,42,5,1,4,0.0864,0.651,0.949,0.126,0.255,-4.384,0.0737,0.964,77.669,Espanola
Marta tiene un marcapasos - Remaster 2015,Hombres G,30 años y un día,134066,False,38,11,0,4,0.00221,0.602,0.942,0.00417,0.11,-3.404,0.0464,0.636,102.192,Espanola
Voy a pasármelo bien - Remaster 2015,Hombres G,30 años y un día,236573,False,34,0,1,4,0.0186,0.633,0.866,4.41e-05,0.0448,-3.762,0.0428,0.851,147.963,Espanola
La promesa,Melendi,Un alumno más,233040,False,61,8,1,4,0.0674,0.584,0.73,0.00849,0.288,-5.095,0.0355,0.414,153.929,Espanola
Tocado y hundido,Melendi,Un alumno más,211586,False,55,11,1,4,0.136,0.693,0.919,0.0074,0.0901,-3.737,0.0651,0.729,102.052,Espanola
La religión de los idiotas,Melendi,Un alumno más,208826,False,48,4,1,4,0.0709,0.579,0.812,0.00138,0.15,-4.876,0.0604,0.839,175.969,Espanola
Septiembre,Melendi,Un alumno más,246466,False,47,0,0,4,0.0554,0.685,0.713,0.00275,0.302,-6.037,0.038,0.521,100.062,Espanola
Tu jardín con enanitos,Melendi,Lágrimas desordenadas,236975,False,66,7,1,4,0.337,0.721,0.834,0,0.104,-4.457,0.0345,0.53,127.92,Espanola
