Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Entre la espada y la pared,Fito y Fitipaldis,Huyendo conmigo de mí,292240,False,53,0,1,4,0.15,0.706,0.717,0,0.132,-8.108,0.0379,0.559,134.184,Espanoladas
Lo que sobra de mí,Fito y Fitipaldis,Huyendo conmigo de mí,220120,False,49,5,0,4,0.245,0.685,0.671,0,0.143,-7.082,0.0358,0.829,142.258,Espanoladas
Pájaros disecados,Fito y Fitipaldis,Huyendo conmigo de mí,259213,False,43,2,0,4,0.123,0.664,0.546,1.86e-06,0.138,-8.519,0.0284,0.698,130.208,Espanoladas
Garabatos,Fito y Fitipaldis,Huyendo conmigo de mí,280293,False,49,5,0,4,0.0235,0.54,0.717,0,0.0622,-6.316,0.0642,0.801,154.176,Espanoladas
Después del naufragio,Fito y Fitipaldis,Huyendo conmigo de mí,278586,False,30,7,1,3,0.663,0.429,0.299,1.86e-05,0.106,-10.848,0.0347,0.349,168.317,Espanoladas
Tarde o temprano,Fito y Fitipaldis,Antes de que cuente diez,305760,False,44,0,1,4,0.0875,0.617,0.779,0.000314,0.682,-5.015,0.0301,0.686,110.052,Espanoladas
Catorce vidas son dos gatos,Fito y Fitipaldis,Antes de que cuente diez,386293,False,46,5,1,4,0.325,0.635,0.406,1.72e-05,0.0759,-7.501,0.0355,0.355,123.923,Espanoladas
Todo a cien,Fito y Fitipaldis,Antes de que cuente diez,230706,False,34,5,0,4,0.0101,0.447,0.827,4.73e-06,0.102,-5.215,0.0743,0.555,167.899,Espanoladas
Los huesos de los besos,Fito y Fitipaldis,Antes de que cuente diez,269906,False,44,9,0,4,0.0625,0.676,0.757,2.25e-05,0.275,-7.267,0.0328,0.617,114.988,Espanoladas
Que me arrastre el viento,Fito y Fitipaldis,Antes de que cuente diez,267346,False,30,5,0,4,0.508,0.361,0.334,0.000209,0.127,-8.931,0.0537,0.287,69.182,Espanoladas
Qué necesario es el rock&roll,Fito y Fitipaldis,Antes de que cuente diez,327320,False,42,7,1,4,0.00853,0.592,0.856,3.05e-06,0.132,-4.688,0.062,0.769,140.737,Espanoladas
Conozco un lugar,Fito y Fitipaldis,Antes de que cuente diez,245680,False,30,8,1,4,0.0772,0.711,0.659,1.06e-06,0.0841,-7.845,0.0374,0.446,126.872,Espanoladas
La cuisine de Bernard,Fito y Fitipaldis,Antes de que cuente diez,281640,False,27,7,0,4,0.0132,0.313,0.684,0.814,0.0826,-7.961,0.0493,0.165,169.159,Espanoladas
Por la boca vive el pez,Fito y Fitipaldis,Por la boca vive el pez,269373,False,62,0,0,4,0.255,0.641,0.892,1.01e-05,0.221,-2.812,0.0303,0.841,151.229,Espanoladas
