Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Como El Agua,Camaron De La Isla,Como El Agua (Remastered),221080,False,57,2,1,4,0.826,0.467,0.736,0.000155,0.168,-8.612,0.131,0.77,161.653,Flamenco
El Anhelo - Bulerías,"Israel Fernández,Diego del Morao",El Anhelo,209374,False,41,7,1,3,0.715,0.694,0.794,0.0117,0.167,-7.177,0.0521,0.788,119.961,Flamenco
Soy Gitano - En Directo En El Festival De Jazz De Montreux / 1991,"Camaron De La Isla,Tomatito,El Pele,Moraito Chico,Charo Manzano,Tino Di Geraldo",Montreux 1991 (En Directo En El Festival De Jazz De Montreux / 1991),338070,False,42,6,1,4,0.412,0.539,0.975,3.28e-05,0.684,-4.776,0.126,0.466,95.588,Flamenco
Aire - Remaster (Bulería),Jose Merce,Aire,246106,False,51,7,1,3,0.486,0.754,0.866,0,0.0766,-4.393,0.195,0.769,107.15,Flamenco
Tu Vienes Vendiendo Flores - Soleá,Enrique Morente,Despegando,248240,False,39,9,1,5,0.795,0.558,0.561,0.000148,0.0645,-11.184,0.091,0.591,124.564,Flamenco
Aunque Es de Noche (Tango),Enrique Morente,Aunque Es De Noche,252880,False,42,11,0,4,0.763,0.432,0.442,0,0.162,-10.001,0.0358,0.639,150.572,Flamenco
Yo No Caía Nunca en Cama - Soleares,Fernanda De Utrera,Tres Grandes de Utrera Vol. 2,484880,False,40,5,0,4,0.949,0.525,0.51,0.014,0.142,-9.235,0.057,0.566,134.821,Flamenco
La Niña de Fuego,Manolo Caracol,"Lo Mejor de Manolo Caracol, Vol. 1",174040,False,41,10,1,4,0.891,0.434,0.241,2.46e-05,0.126,-10.508,0.0315,0.361,100.832,Flamenco
No Tuve Quien Me Dijera - Bulerías,"La Paquera De Jerez,Felipe Campuzano,Manolo Sanlucar,I. Morales",In Memoriam de la Fabulosa. Selección de Sus Últimas Grabaciones,322226,False,39,4,1,3,0.742,0.695,0.673,0.00231,0.0833,-7.762,0.155,0.683,117.525,Flamenco
Tangos de Málaga - Remastered,La Repompa,"TRA TRÁ, Vol. 1 - Tangos de Málaga (Remastered)",167777,False,32,8,1,4,0.892,0.574,0.683,0.0406,0.194,-6.356,0.0962,0.697,82.639,Flamenco
Penélope Cruz: Volver,"Estrella Morente,Enrique Morente",Mujeres,217853,False,52,9,0,3,0.896,0.583,0.386,1.01e-05,0.074,-11.531,0.133,0.634,101.045,Flamenco
El aire llega,Diego del Morao,Orate,278746,False,37,0,1,4,0.826,0.747,0.579,0.0455,0.0904,-9.276,0.0599,0.716,87.936,Flamenco
Del amanecer,Jose Merce,Del Amanecer...,258600,False,45,6,0,4,0.556,0.642,0.679,0,0.0655,-7.188,0.105,0.851,169.739,Flamenco
Rosa Maria - Tangos,"Camaron De La Isla,Paco de Lucía",Rosa María (Remastered),135613,False,50,6,1,4,0.703,0.572,0.533,0,0.255,-7.686,0.0472,0.688,74.912,Flamenco
Llamale Amor (Rumba),"El Pele,Vicente Amigo",Canto,273293,False,46,4,0,4,0.468,0.835,0.775,3.95e-06,0.54,-6.371,0.238,0.801,105.034,Flamenco
Trago Amargo,Rocío Márquez,Visto En El Jueves,262707,False,37,3,0,3,0.79,0.813,0.645,0.000295,0.0597,-7.657,0.0953,0.669,125.907,Flamenco
Chanelando - Pintor (Tangos),Diego El Cigala,Picasso En Mis Ojos,249826,False,41,4,0,4,0.524,0.549,0.821,3.09e-06,0.488,-4.952,0.083,0.557,83.963,Flamenco
Al alba,Jose Merce,Aire,256839,False,49,7,1,3,0.644,0.619,0.671,0,0.152,-6.811,0.0819,0.831,104.362,Flamenco
Como El Agua,Camaron De La Isla,Camarón La Película (Slidepack),226453,False,0,6,0,4,0.821,0.478,0.656,0,0.19,-6.76,0.0677,0.888,158.882,Flamenco
Pregón del miedo,David Lagos,Hodierno,165044,False,22,2,1,5,0.964,0.394,0.151,0,0.225,-9.581,0.095,0.276,166.056,Flamenco
En lo alto del cerro (Tangos),Estrella Morente,Mi Cante Y Un Poema,204746,False,48,8,0,4,0.245,0.69,0.708,6.52e-05,0.0483,-5.985,0.0803,0.698,90.263,Flamenco
Estrella,Enrique Morente,Despegando,315560,False,39,11,0,4,0.689,0.449,0.41,0,0.289,-10.971,0.0425,0.352,128.428,Flamenco
Jerez - Rumba,"Jose Merce,Tomatito",De Verdad,213595,False,40,7,1,4,0.547,0.781,0.692,1.94e-05,0.116,-7.619,0.0679,0.615,100.035,Flamenco
Isla de los Bienaventurados (Bulerías),Cañizares,El Mito de la Caverna,228469,False,35,4,0,3,0.795,0.702,0.715,0.844,0.0984,-4.678,0.0346,0.796,114.114,Flamenco
Toma Este Puñal Dorao,Carmen Linares,Flamenco es... Carmen Linares,296160,False,30,8,1,3,0.781,0.623,0.323,4.44e-06,0.103,-13.792,0.101,0.466,155.919,Flamenco
Son Tus Ojos Dos Estrellas - Bulería,"Camaron De La Isla,Paco de Lucía",El Legado De Camarón,210266,False,39,6,0,3,0.78,0.543,0.742,7.68e-06,0.073,-6.648,0.0485,0.706,124.049,Flamenco
Romero verde,Lole Y Manuel,Una Voz Y Una Guitarra,206666,False,32,7,1,3,0.697,0.615,0.85,0.0109,0.0551,-14.659,0.305,0.315,124.455,Flamenco
Soy Flamenco - Bulerías,Tomatito,Soy Flamenco,364840,False,35,5,0,3,0.818,0.589,0.557,0.395,0.148,-9.289,0.042,0.451,125.782,Flamenco
Plaza Real,Duquende,Flamenco Universal,268253,False,27,6,1,3,0.806,0.696,0.715,7.24e-06,0.081,-4.022,0.063,0.513,123.459,Flamenco
Nuevo día,Lole Y Manuel,El origen de la leyenda,285586,False,43,11,0,4,0.273,0.527,0.499,0.000104,0.155,-8.76,0.051,0.425,99.562,Flamenco
Sale La Luna - Bulerías,Vicente Soto Sordera,Estar Alegre,253760,False,34,10,0,3,0.481,0.84,0.422,0.000195,0.0519,-10.02,0.103,0.614,104.436,Flamenco
Zorongo Gitano - Tangos,Carmen Linares,Flamenco Vivo (Canciones Populares Antiguas) [Recopiladas por Federico García Lorca],250440,False,30,8,1,4,0.0898,0.52,0.514,0,0.101,-11.356,0.237,0.646,81.485,Flamenco
Tangos de Pepico,Estrella Morente,Mi Cante Y Un Poema,208600,False,43,4,0,4,0.525,0.645,0.672,8.48e-05,0.0857,-6.876,0.29,0.817,86.002,Flamenco
El Sentido de la Vida,"Duquende,Tomatito",Y la Guitarra de Tomatito,293733,False,30,8,1,4,0.754,0.715,0.394,5.15e-05,0.0585,-17.293,0.0546,0.673,83.233,Flamenco
Entre Dos Aguas,Paco de Lucía,Entre Dos Aguas,362093,False,0,4,0,4,0.845,0.45,0.634,0.872,0.0829,-14.734,0.036,0.907,103.048,Flamenco
Carcelera - Reflejo Andaluz,Sabicas,The Art Of The Guitar - Sabicas (Digitally Remastered),211200,False,22,5,1,4,0.964,0.402,0.145,0.851,0.106,-25.258,0.0441,0.138,126.075,Flamenco
El Estanque De Los Lotos,Rafael Riqueni,Parque De María Luisa,152181,False,0,5,1,4,0.946,0.351,0.229,0.846,0.132,-11.581,0.0459,0.186,79.459,Flamenco
Muchos prometen la luna - Fandangos de Alosno al estilo de José Ramírez Correa,El Cabrero,Fandangos de Huelva (Remasterizado 2016),142306,False,29,0,1,4,0.838,0.45,0.52,8.5e-05,0.187,-6.786,0.0429,0.536,148.357,Flamenco
Alegrías de Cádiz,"Rancapino,Paco Cepero",Rancapino,239400,False,25,2,1,5,0.876,0.66,0.428,0.000132,0.0671,-10.692,0.342,0.578,139.547,Flamenco
Fuente Y Caudal,Paco de Lucía,Integral,313960,False,38,2,0,3,0.949,0.38,0.218,0.86,0.239,-16.46,0.0471,0.395,103.656,Flamenco
Amoralí (with Potito),"Vicente Amigo,Potito",Memoria de los Sentidos,291613,False,40,1,0,4,0.583,0.8,0.697,0.48,0.105,-7.799,0.0373,0.774,103.507,Flamenco
Tu Mira - Edit,Lole Y Manuel,Kill Bill Vol. 2 Original Soundtrack,239453,False,43,5,0,3,0.314,0.497,0.45,0.00737,0.267,-8.224,0.0425,0.136,99.924,Flamenco
Canta la Guitarra,Pepe Habichuela,Habichuela en Rama,230866,False,32,11,1,5,0.821,0.306,0.25,0.838,0.085,-21.045,0.0496,0.269,103.109,Flamenco
Que Te He Querio Como Sea - Fandangos,"La Paquera De Jerez,Juan Maya,Manolo Sanlucar",Soberana del Compás,208040,False,22,0,1,4,0.925,0.422,0.563,0.0148,0.301,-5.04,0.0505,0.503,87.396,Flamenco
La Barrosa - Instrumental,Paco de Lucía,Atlas Del Flamenco,276106,False,0,11,1,3,0.562,0.366,0.626,0.826,0.228,-11.864,0.0461,0.811,169.412,Flamenco
Tres Notas para Decir Te Quiero,Vicente Amigo,Ciudad De Las Ideas,289493,False,47,4,0,4,0.625,0.664,0.688,0.856,0.129,-10.4,0.0424,0.797,172.955,Flamenco
El Sereno de Mi Calle - Tangos,Porrina de Badajoz,27 de Sus Mejores Cantes. Siempre Grande y Noble,199133,False,23,4,0,4,0.864,0.614,0.579,0.0038,0.116,-7.728,0.087,0.652,91.516,Flamenco
Santa Justa Y Rufina (Soleares De Triana),Antonio Mairena,Grandes Cantaores Del Flamenco,394293,False,22,5,1,4,0.944,0.394,0.224,0.000717,0.115,-17.311,0.0434,0.252,147.225,Flamenco
El Anillo (Chibuli),El Lebrijano,Encuentro,283946,False,35,9,1,4,0.693,0.551,0.83,1.84e-06,0.0846,-11.19,0.0578,0.836,98.151,Flamenco
Amanecer,Pepe Habichuela,Habichuela en Rama,271360,False,34,5,0,3,0.605,0.435,0.15,0.879,0.139,-22.505,0.056,0.527,93.621,Flamenco
En Tu Puerta Da La Luna,Camaron De La Isla,Como El Agua (Remastered),263746,False,29,5,0,3,0.946,0.464,0.262,0.000247,0.13,-11.054,0.0556,0.264,79.367,Flamenco
"Morita, Mora (Zambra)",Manolo Caracol,Atlas Del Flamenco,124920,False,0,8,1,4,0.878,0.392,0.322,5.83e-06,0.337,-7.038,0.0373,0.647,107.883,Flamenco
Tango Gitano,"Porrina de Badajoz,Paco Aguilera",Fiesta Flamenca,172628,False,27,3,1,4,0.843,0.571,0.326,0.00816,0.0787,-12.953,0.079,0.642,170.85,Flamenco
Coplas a Curro,"Traditional,La Paquera De Jerez,Manolo Sanlucar,Lorenzo Fernandez",Legends of Gypsy Flamenco,139413,False,19,5,0,3,0.862,0.659,0.467,0.315,0.078,-13.601,0.0953,0.867,130.076,Flamenco
Compases Flamencos,"Sabicas,Diego Castellon",Atlas Del Flamenco,254520,False,0,1,1,4,0.712,0.667,0.899,0.272,0.127,-6.951,0.362,0.634,114.53,Flamenco
Gitana como aquella (Soleá),Jose Menese,La pureza del cante,386813,False,23,8,0,4,0.833,0.445,0.267,0,0.103,-12.737,0.0529,0.239,142.349,Flamenco
De Que Siempre Te Quería (Fandangos de Huelva),"Antonio Mairena,Esteban De Sanlucar",Sus Primeras Grabaciones,115266,False,18,2,1,3,0.969,0.55,0.076,0.0274,0.117,-15.407,0.0448,0.517,101.235,Flamenco
Yo soy como aquel buen viejo (con Félix de Utrera) (Martinete y toná grande) - 2015 Remaster,"Pepe De La Matrona,Félix De Utrera","Antología de Cantaores Flamencos, Vol. 11 (Remastered 2015)",137093,False,22,10,1,3,0.908,0.535,0.0928,0,0.118,-14.651,0.186,0.312,134.204,Flamenco
Solea de la Ilusion,El Agujetas,Premio Manuel Torre de Cante Flamenco,198413,False,23,3,0,4,0.899,0.458,0.551,0.000336,0.206,-8.477,0.0444,0.504,111.431,Flamenco
Tacones Gitanos,"Sabicas,Diego Castellon",La Guitarra De Sabicas,265546,False,18,5,0,4,0.814,0.476,0.479,0.369,0.128,-19.36,0.0721,0.616,108.173,Flamenco
