Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Stay Gold,First Aid Kit,Stay Gold,251000,False,49,0,1,4,0.262,0.514,0.74,4.7e-06,0.126,-4.377,0.0398,0.377,95.959,FOLK
Past Lives,Local Natives,Sunlit Youth,223493,False,0,2,1,4,0.000527,0.52,0.784,0.00516,0.0693,-5.645,0.0412,0.248,116.982,FOLK
Big Black Car,Gregory Alan Isakov,This Empty Northern Hemisphere,217466,False,66,3,1,4,0.897,0.572,0.183,0.00275,0.103,-16.069,0.0323,0.404,110.029,FOLK
Lost In My Mind,The Head and the Heart,The Head And The Heart,259120,False,28,2,1,4,0.43,0.372,0.542,0.000335,0.282,-8.113,0.0288,0.384,95.34,FOLK
Everything,Ben Howard,Every Kingdom (Deluxe Version),285506,False,0,3,1,4,0.722,0.525,0.261,0.00126,0.0497,-16.39,0.0521,0.341,141.805,FOLK
Reminder,Mumford & Sons,Babel (Deluxe Version),124346,False,0,9,1,4,0.84,0.564,0.188,0.000716,0.0735,-12.639,0.0483,0.241,114.3,FOLK
Ain't No Use in Tryin',Trampled by Turtles,Songs from a Ghost Town,194986,False,47,0,1,4,0.352,0.595,0.797,0.000553,0.107,-6.243,0.029,0.9,111.058,FOLK
Scar,Lucy Rose,Like I Used To,245746,False,28,2,1,4,0.511,0.702,0.372,0.00104,0.0895,-9.615,0.037,0.492,103.959,FOLK
Skinny Love,Bon Iver,"For Emma, Forever Ago",238532,False,68,4,0,4,0.842,0.592,0.256,2.38e-06,0.088,-14.031,0.0449,0.103,76.361,FOLK
I Can't Think About It Now,Dawes,All Your Favorite Bands,375866,False,39,9,0,4,0.128,0.645,0.589,0.0257,0.0881,-9.237,0.0398,0.601,124.619,FOLK
Southern Sun,Boy & Bear,Harlequin Dream,281100,False,54,0,1,4,0.136,0.538,0.719,0.000394,0.187,-5.94,0.0348,0.502,118.315,FOLK
The Stable Song,Gregory Alan Isakov,"That Sea, The Gambler",360933,False,67,2,1,4,0.633,0.625,0.432,0.00242,0.127,-11.948,0.0283,0.361,137.926,FOLK
Slow It Down,The Lumineers,The Lumineers,305346,False,0,1,1,3,0.928,0.423,0.0657,1.4e-06,0.0922,-14.421,0.0386,0.105,98.489,FOLK
In Dreams,Ben Howard,I Forget Where We Were,213440,False,0,0,1,4,0.617,0.491,0.598,0.571,0.136,-13.506,0.0398,0.267,126.746,FOLK
Home,Edward Sharpe & The Magnetic Zeros,Up from Below,303200,False,73,2,1,4,0.292,0.542,0.589,0.000522,0.177,-6.623,0.0318,0.137,111.665,FOLK
Picture Of A Man,Dawes,We're All Gonna Die,260440,False,15,7,1,4,0.266,0.677,0.536,0.00779,0.077,-7.115,0.0517,0.601,136.057,FOLK
Montezuma,Fleet Foxes,Helplessness Blues,217120,False,42,0,1,4,0.841,0.243,0.318,0.0211,0.101,-9.108,0.0303,0.0936,98.869,FOLK
Heart Sunk Hank,Johnny Flynn,Sillion,191586,False,28,5,0,4,0.825,0.568,0.467,0.00136,0.764,-10.976,0.227,0.251,76.49,FOLK
1904,The Tallest Man On Earth,There's No Leaving Now,239733,False,44,0,1,4,0.723,0.51,0.581,0,0.0996,-4.141,0.0266,0.594,104.622,FOLK
Virginia May,Gregory Alan Isakov,This Empty Northern Hemisphere,178346,False,52,0,1,4,0.812,0.549,0.323,6.64e-05,0.108,-12.783,0.0336,0.471,88.854,FOLK
Wedding Ring,Glen Hansard,Didn't He Ramble,287333,False,43,4,1,3,0.62,0.481,0.385,0.117,0.114,-12.981,0.0458,0.363,148.504,FOLK
Mountain Sound,Of Monsters and Men,My Head Is An Animal,211453,False,62,1,0,4,0.042,0.379,0.878,0.00431,0.146,-4.338,0.0359,0.381,102.023,FOLK
Ragged Wood,Fleet Foxes,Fleet Foxes,307213,False,50,4,1,4,0.0995,0.362,0.658,0.0102,0.0602,-5.929,0.0292,0.155,104.21,FOLK
My Broken Heart,Noah And The Whale,The First Days Of Spring,311266,False,20,9,1,4,0.163,0.384,0.619,0.0345,0.117,-8.874,0.0304,0.364,178.084,FOLK
Back to Autumn,Tall Heights,"Holding On, Holding Out",199653,False,61,8,1,4,0.462,0.478,0.588,0.00109,0.069,-8.032,0.0304,0.341,110.918,FOLK
Waltz For Richard,First Aid Kit,The Big Black and the Blue,169133,False,0,11,1,3,0.891,0.369,0.254,0,0.209,-6.488,0.0342,0.41,164.282,FOLK
Victory,Trampled by Turtles,Palomino,237000,False,46,9,1,4,0.28,0.454,0.719,0.00209,0.089,-7.74,0.0326,0.594,121.548,FOLK
Cleopatra,The Lumineers,Cleopatra,201413,False,0,8,1,4,0.265,0.546,0.76,7.47e-05,0.0948,-6.763,0.0428,0.447,151.456,FOLK
The Motherlode,The Staves,The Motherlode EP,267175,False,19,6,1,4,0.727,0.56,0.266,0.019,0.1,-13.335,0.0298,0.182,111.173,FOLK
Child,Edward Sharpe & The Magnetic Zeros,Here,189825,False,31,0,1,4,0.882,0.594,0.361,0.292,0.11,-20.688,0.139,0.261,90.8,FOLK
I Forget Where We Were,Ben Howard,I Forget Where We Were,281213,False,0,0,1,4,0.438,0.3,0.477,0.169,0.0924,-9.555,0.0365,0.187,112.976,FOLK
Big Jet Plane,Angus & Julia Stone,Down the Way,239120,False,0,10,0,4,0.258,0.763,0.387,0.00887,0.11,-8.635,0.0271,0.253,109.946,FOLK
2 Atoms In A Molecule,Noah And The Whale,"Peaceful, The World Lays Me Down",124626,False,41,4,1,4,0.502,0.626,0.67,4.48e-05,0.222,-9.874,0.0596,0.624,145.043,FOLK
Old Ceremony,Matthew And The Atlas,Other Rivers,217333,False,0,9,1,4,0.808,0.526,0.496,0.108,0.072,-10.507,0.0373,0.0377,145.008,FOLK
Tickle Me Pink,Johnny Flynn,A Larum,191000,False,0,5,1,4,0.48,0.628,0.634,0.00155,0.231,-8.21,0.031,0.488,116.323,FOLK
