Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
WAP (feat. Megan Thee Stallion),"Cardi B,Megan Thee Stallion",WAP (feat. Megan Thee Stallion),187541,True,95,1,1,4,0.0194,0.935,0.454,0,0.0824,-7.509,0.375,0.357,133.073,FullVolume
Losing It,FISHER,Losing It,248035,False,76,2,1,4,0.00181,0.76,0.964,0.703,0.0975,-5.844,0.0577,0.643,125.003,FullVolume
Griztronics,"GRiZ,Subtronics",Bangers[2].Zip,198400,False,63,11,0,4,0.037,0.607,0.941,0.0137,0.321,-3.807,0.481,0.521,75.401,FullVolume
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track","Hermitude,Big K.R.I.T.,Mataya,TAPZ",Dark Night Sweet Light,235186,True,55,0,0,4,0.249,0.576,0.602,0.00062,0.144,-6.591,0.315,0.56,141.345,FullVolume
Pump It Up,Endor,Pump It Up,150635,False,58,1,1,4,0.207,0.898,0.893,9.33e-05,0.061,-7.255,0.225,0.653,129.047,FullVolume
I Want You,Chris Lake,HOWSLA,248006,False,38,11,0,4,0.00433,0.775,0.883,0.346,0.057,-5.83,0.0703,0.667,125.006,FullVolume
Turn off the Lights,"Chris Lake,Alexis Roberts",Turn off the Lights,210546,False,68,11,0,4,0.0467,0.824,0.745,3.29e-05,0.198,-5.49,0.0755,0.888,125.013,FullVolume
Do You Think About Me,"Captain Cuts,Zookëper,Georgia Ku",Do You Think About Me,216393,False,52,1,0,4,0.00985,0.651,0.865,8.62e-05,0.0957,-4.02,0.0418,0.649,121.998,FullVolume
Baianá,Bakermat,Baianá,180842,False,55,2,0,4,0.000741,0.564,0.723,0.672,0.543,-6.983,0.0702,0.466,121.97,FullVolume
Like I Do,"David Guetta,Martin Garrix,Brooks",Like I Do,202500,False,68,0,0,4,0.00664,0.635,0.9,0.0145,0.37,-3.719,0.0377,0.15,127.978,FullVolume
You Little Beauty,FISHER,You Little Beauty,206587,False,69,6,0,4,0.00232,0.926,0.951,0.452,0.313,-5.531,0.0924,0.918,123.987,FullVolume
