Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Jailbreak,AC/DC,'74 Jailbreak,280960,False,62,9,1,4,0.00953,0.572,0.835,0.0144,0.012,-5.552,0.079,0.591,131.567,HeadBangers
Hells Bells,AC/DC,Back In Black,312293,False,74,4,0,4,0.00532,0.389,0.873,0.0055,0.273,-4.768,0.0475,0.303,106.767,HeadBangers
Back In Black,AC/DC,Back In Black,255493,False,84,9,1,4,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,0.763,188.386,HeadBangers
Have a Drink on Me,AC/DC,Back In Black,238466,False,59,2,1,4,0.00167,0.421,0.889,0.00838,0.654,-5.166,0.0545,0.424,122.424,HeadBangers
Rock and Roll Ain't Noise Pollution,AC/DC,Back In Black,266040,False,64,9,1,4,0.041,0.576,0.659,0,0.0587,-5.617,0.0383,0.717,94.853,HeadBangers
Dirty Deeds Done Dirt Cheap,AC/DC,Dirty Deeds Done Dirt Cheap,231933,False,73,11,0,4,0.214,0.668,0.906,0.00245,0.135,-4.881,0.17,0.507,135.653,HeadBangers
Problem Child,AC/DC,Dirty Deeds Done Dirt Cheap,345866,False,48,11,0,4,0.00373,0.466,0.836,0.154,0.043,-4.223,0.117,0.659,134.296,HeadBangers
C.O.D.,AC/DC,For Those About to Rock (We Salute You),199866,False,40,0,1,4,0.000827,0.51,0.935,0.528,0.133,-4.699,0.0579,0.669,118.458,HeadBangers
For Those About to Rock (We Salute You),AC/DC,For Those About to Rock (We Salute You),344240,False,65,4,1,4,0.000376,0.37,0.919,0.419,0.49,-5.721,0.102,0.471,134.021,HeadBangers
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,301226,False,71,3,1,4,0.133,0.456,0.863,0.0538,0.0553,-3.551,0.0894,0.532,135.962,HeadBangers
Live Wire,AC/DC,High Voltage,348600,False,58,7,1,4,0.0122,0.586,0.84,0.0116,0.0842,-5.341,0.0487,0.0784,132.36,HeadBangers
T.N.T.,AC/DC,High Voltage,214666,False,78,9,1,4,0.153,0.754,0.759,0.000108,0.101,-5.218,0.302,0.435,126.366,HeadBangers
Highway to Hell,AC/DC,Highway to Hell,208400,False,83,6,0,4,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,0.423,115.728,HeadBangers
Touch Too Much,AC/DC,Highway to Hell,266266,False,63,7,1,4,0.037,0.524,0.906,3.64e-05,0.309,-4.301,0.0963,0.605,123.1,HeadBangers
Janie's Got A Gun,Aerosmith,Big Ones,329626,False,58,5,1,4,0.00786,0.631,0.763,0.0133,0.207,-6.749,0.0269,0.387,115.121,HeadBangers
Same Old Song and Dance,Aerosmith,Get Your Wings,233160,False,53,9,1,4,0.0672,0.565,0.628,0.000181,0.39,-10.368,0.033,0.706,133.194,HeadBangers
School's Out,Alice Cooper,School's Out,210106,False,67,5,1,4,0.05,0.294,0.745,0.125,0.676,-9.138,0.0461,0.347,134.364,HeadBangers
I'm Eighteen,Alice Cooper,Love It to Death,180760,False,57,4,0,4,0.249,0.618,0.413,0.0517,0.131,-14.164,0.0302,0.531,97.84,HeadBangers
No More Mr. Nice Guy,Alice Cooper,Billion Dollar Babies (Deluxe Reissue),187893,False,59,11,0,4,0.0936,0.498,0.515,0,0.1,-11.985,0.0395,0.616,127.761,HeadBangers
Everybody Wants You - Remastered 1995,Billy Squier,The Best Of Billy Squier/16 Strokes,227333,False,33,7,1,4,0.263,0.531,0.894,0.000148,0.0776,-9.687,0.0553,0.946,131.781,HeadBangers
Lonely Is The Night - Remastered,Billy Squier,Don't Say No,281453,False,64,9,1,4,0.209,0.347,0.803,4.36e-06,0.116,-4.923,0.0416,0.672,85.362,HeadBangers
N.I.B.,Black Sabbath,Black Sabbath (2009 Remastered Version),364493,False,63,4,0,4,0.0838,0.476,0.556,1.59e-05,0.125,-10.586,0.0646,0.43,103.122,HeadBangers
Heaven and Hell - 2009 Remaster,Black Sabbath,Heaven & Hell,417840,False,62,3,0,4,0.00858,0.333,0.445,0.0451,0.167,-16.343,0.0283,0.35,89.371,HeadBangers
