Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
BEST INTEREST,"Tyler, The Creator",BEST INTEREST,127921,True,75,11,0,3,0.0861,0.596,0.575,0.000153,0.334,-8.325,0.0514,0.34,98.265,ImVibing
The Less I Know The Better,Tame Impala,Currents,216320,True,85,4,1,4,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,0.785,116.879,ImVibing
Chanel,Frank Ocean,Chanel,210285,True,81,0,0,4,0.874,0.776,0.503,0,0.112,-5.732,0.237,0.473,110.134,ImVibing
In My Room,Frank Ocean,In My Room,133680,True,78,7,1,4,0.594,0.861,0.647,0.661,0.114,-7.425,0.0675,0.67,158.037,ImVibing
These Days,Wallows,Spring EP,202626,True,71,0,1,4,0.0398,0.655,0.668,0.0302,0.0759,-6.733,0.0272,0.867,93.003,ImVibing
Dontmakemefallinlove,Cuco,Chiquito,207692,False,70,8,1,4,0.373,0.388,0.904,0.431,0.0755,-4.934,0.0741,0.839,103.802,ImVibing
Fangs,Matt Champion,Fangs,234285,True,66,11,0,4,0.416,0.69,0.387,0.239,0.252,-9.116,0.0627,0.471,83.981,ImVibing
Kids Turned Out Fine,A$AP Rocky,TESTING,183120,True,63,1,1,5,0.275,0.302,0.669,3.58e-05,0.369,-9.404,0.238,0.127,164.8,ImVibing
Self Care,Mac Miller,Swimming,345133,True,78,1,1,4,0.367,0.52,0.538,0.00187,0.119,-8.109,0.206,0.177,141.894,ImVibing
See You Again (feat. Kali Uchis),"Tyler, The Creator,Kali Uchis",Flower Boy,180386,True,79,6,1,4,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,0.62,78.558,ImVibing
Violent Crimes,Kanye West,ye,215320,True,75,1,0,4,0.376,0.669,0.419,0,0.187,-6.724,0.522,0.0397,109.813,ImVibing
Nights,Frank Ocean,Blonde,307151,True,78,5,0,4,0.42,0.466,0.548,1.01e-06,0.113,-9.362,0.118,0.423,89.815,ImVibing
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator,Rex Orange County,Anna of the North",Flower Boy,320720,True,74,8,1,4,0.79,0.559,0.578,0.000522,0.324,-9.54,0.151,0.239,79.938,ImVibing
Chicago Freestyle (feat. Giveon),"Drake,Giveon",Dark Lane Demo Tapes,220487,True,83,10,1,4,0.629,0.735,0.449,0,0.113,-7.507,0.347,0.0397,122.947,ImVibing
Habit,Still Woozy,Habit,153871,True,72,1,1,4,0.154,0.767,0.392,0.000398,0.108,-11.996,0.0945,0.48,125.017,ImVibing
Peach,Kevin Abstract,ARIZONA BABY,176732,True,74,7,1,4,0.683,0.646,0.681,4.84e-06,0.107,-5.847,0.0764,0.421,131.896,ImVibing
Baby Blue,Rence,Baby Blue,208000,False,62,7,1,4,0.896,0.518,0.411,0.000716,0.112,-8.909,0.0335,0.0782,120.06,ImVibing
Formula,Labrinth,Euphoria (Original Score from the HBO Series),91869,False,73,11,1,4,0.0448,0.574,0.664,0.0553,0.146,-6.068,0.0409,0.226,144.654,ImVibing
Forever,Labrinth,Euphoria (Original Score from the HBO Series),202536,False,75,4,0,4,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,0.197,79.983,ImVibing
Still Don't Know My Name,Labrinth,Euphoria (Original Score from the HBO Series),153294,False,86,5,1,1,0.471,0.316,0.63,0.262,0.205,-5.963,0.117,0.313,89.643,ImVibing
