Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Gary's Theme - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,257693,False,0,7,1,3,0.905,0.42,0.0802,0.857,0.135,-21.795,0.04,0.0541,122.041,JAZZ&CIGGARETTES
Blue In Green (Take 3),"Bill Evans,Scott LaFaro,Paul Motian",Portrait In Jazz [Keepnews Collection],325786,False,0,2,0,4,0.977,0.452,0.109,0.879,0.088,-19.965,0.0471,0.139,126.29,JAZZ&CIGGARETTES
Young And Foolish,Bill Evans,Everybody Digs Bill Evans,354666,False,0,9,1,4,0.973,0.438,0.0172,0.557,0.0815,-23.66,0.0384,0.136,101.01,JAZZ&CIGGARETTES
I Hear A Rhapsody,"Bill Evans,Jim Hall",Undercurrent,280026,False,50,0,0,3,0.995,0.384,0.036,0.94,0.13,-25.958,0.0449,0.116,172.997,JAZZ&CIGGARETTES
My Foolish Heart,Bill Evans,Piano Jazz,288626,False,0,6,0,3,0.99,0.384,0.0452,0.93,0.677,-24.145,0.0605,0.0642,175.088,JAZZ&CIGGARETTES
Skating In Central Park,"Bill Evans,Jim Hall",Undercurrent,324200,False,63,0,1,3,0.993,0.478,0.0294,0.948,0.105,-25.319,0.0453,0.148,124.308,JAZZ&CIGGARETTES
B Minor Waltz (For Ellaine) - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,194413,False,0,11,0,3,0.913,0.364,0.135,0.929,0.119,-20.551,0.0493,0.0684,87.686,JAZZ&CIGGARETTES
My Funny Valentine,"Bill Evans,Jim Hall",Undercurrent,324133,False,43,0,0,4,0.992,0.529,0.133,0.922,0.11,-21.195,0.0575,0.585,115.924,JAZZ&CIGGARETTES
You Must Believe in Spring - 2003 Remastered Version,Bill Evans,You Must Believe In Spring,340106,False,0,2,1,4,0.943,0.393,0.26,0.831,0.149,-16.419,0.0357,0.223,92.961,JAZZ&CIGGARETTES
The Two Lonely People,Bill Evans,The Bill Evans Album,370200,False,36,6,1,4,0.935,0.326,0.341,0.916,0.114,-17.289,0.0367,0.141,77.739,JAZZ&CIGGARETTES
Dream Gypsy,"Bill Evans,Jim Hall",Undercurrent,274906,False,47,2,0,3,0.995,0.421,0.0273,0.948,0.0936,-27.402,0.0447,0.177,127.412,JAZZ&CIGGARETTES
We Will Meet Again (For Harry) - Remastered Version,Bill Evans,You Must Believe In Spring,244786,False,0,0,0,3,0.924,0.442,0.2,0.896,0.257,-18.981,0.0396,0.228,78.834,JAZZ&CIGGARETTES
What Are You Doing The Rest Of Your Life?,Bill Evans,From Left To Right,245000,False,0,9,0,4,0.993,0.331,0.144,0.914,0.104,-16.773,0.0324,0.0394,64.601,JAZZ&CIGGARETTES
