Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Adicto (with Anuel AA & Ozuna),"Tainy,Anuel AA,Ozuna",Adicto (with Anuel AA & Ozuna),270740,False,79,10,0,4,0.017,0.734,0.836,1.64e-05,0.179,-4.803,0.0735,0.623,80.002,Janngeuoo
China,"Anuel AA,Daddy Yankee,KAROL G,J Balvin,Ozuna",China,301714,False,80,7,1,4,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,Janngeuoo
RITMO (Bad Boys For Life),"Black Eyed Peas,J Balvin",RITMO (Bad Boys For Life),221714,True,82,10,0,4,0.0334,0.721,0.716,0.00084,0.237,-7.037,0.0657,0.667,104.994,Janngeuoo
BORRAXXA,"Feid,Manuel Turizo",BORRAXXA,223866,False,64,8,1,4,0.0833,0.845,0.624,0.00394,0.0855,-5.241,0.0737,0.793,90.993,Janngeuoo
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles,Natti Natasha,Farruko,Dalex,Lenny Tavárez,Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",258600,False,76,3,0,4,0.0451,0.743,0.709,5.18e-06,0.0809,-3.922,0.0879,0.831,170.001,Janngeuoo
Perreo en La Luna,"Rich Music LTD,Sech,Dalex,Justin Quiles,Lenny Tavárez,Feid",The Academy,218586,True,71,1,0,4,0.268,0.711,0.757,0,0.367,-4.188,0.29,0.724,174.013,Janngeuoo
"Si Te Vas, Que Tengo Que Hacer - Remix",Omega,El Dueno del Flow,247853,False,0,10,0,4,0.0647,0.852,0.687,3.07e-06,0.0593,-5.319,0.0535,0.951,125.017,Janngeuoo
Bella y Sensual,"Romeo Santos,Daddy Yankee,Nicky Jam",Golden,204700,False,71,11,1,4,0.228,0.635,0.713,0,0.0506,-6.909,0.0937,0.749,179.864,Janngeuoo
"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix","Wisin,Ozuna,Bad Bunny,De La Ghetto,Arcángel,Noriel,Almighty",Victory,386333,False,67,1,1,4,0.0464,0.797,0.804,1.54e-05,0.317,-4.817,0.0711,0.451,91.973,Janngeuoo
Te Boté - Remix,"Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",Te Boté (Remix),417920,True,77,11,0,4,0.542,0.903,0.675,1.28e-05,0.0595,-3.445,0.214,0.442,96.507,Janngeuoo
X (feat. Maluma & Ozuna) - Remix,"Nicky Jam,J Balvin,Maluma,Ozuna",X (feat. Maluma & Ozuna) [Remix],235746,False,70,9,0,4,0.0561,0.663,0.696,3.77e-05,0.0778,-4.957,0.103,0.738,180.113,Janngeuoo
Sin Pijama,"Becky G,Natti Natasha",Sin Pijama,188560,False,73,11,0,4,0.354,0.791,0.745,2.93e-05,0.104,-3.695,0.0464,0.82,94.014,Janngeuoo
Sin Contrato,Maluma,"Pretty Boy, Dirty Boy",221053,False,59,11,0,4,0.111,0.748,0.866,0,0.0727,-3.41,0.057,0.839,96.037,Janngeuoo
