Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
The Drum Battle,"Buddy Rich,Gene Krupa",The Art of Jazz Percussion,216373,False,4,11,1,4,0.338,0.336,0.983,0.851,0.743,-15.238,0.0512,0.0251,119.78,JazzPercursion
Begin the Beguine,Gene Krupa,Swing Jazz Masters,226760,False,3,5,1,4,0.533,0.456,0.251,0.155,0.241,-14.279,0.0324,0.501,122.306,JazzPercursion
Sing Sing Sing,Gene Krupa,Whiplash Jazz,259079,False,12,6,1,4,0.304,0.483,0.637,0.767,0.119,-5.41,0.053,0.374,119.849,JazzPercursion
The Man I Love - 1996 Remastered,"Benny Goodman Quartet,Benny Goodman,Teddy Wilson,Gene Krupa,Lionel Hampton",The Essential Benny Goodman,206093,False,26,5,0,4,0.992,0.649,0.0811,0.796,0.124,-16.032,0.0353,0.134,75.227,JazzPercursion
Moonglow - Take 1,"Benny Goodman Quartet,Benny Goodman,Teddy Wilson,Gene Krupa,Lionel Hampton",Trésors Benny Goodman,203173,False,10,0,0,4,0.992,0.636,0.216,0.598,0.109,-12.411,0.0458,0.303,104.074,JazzPercursion
Body and Soul - 1996 Remastered - Take 2,"Benny Goodman Trio,Benny Goodman,Teddy Wilson,Gene Krupa",Trésors Benny Goodman,203453,False,3,10,0,4,0.995,0.626,0.296,0.911,0.122,-11.855,0.0328,0.411,96.949,JazzPercursion
Drummin' Man,Gene Krupa,Big Band Jazz for Beginners,183866,False,22,3,1,4,0.918,0.777,0.842,0.744,0.0742,-3.431,0.195,0.762,110.32,JazzPercursion
How High the Moon,Gene Krupa,Swing Jazz From the 40's,196586,False,8,0,1,4,0.783,0.503,0.27,0.0702,0.25,-16.141,0.036,0.726,95.482,JazzPercursion
Stompin' at the Savoy,Gene Krupa Trio,Jazz Standards Masters,459573,False,0,1,1,4,0.759,0.551,0.478,0.426,0.124,-12.281,0.113,0.754,146.279,JazzPercursion
Georgia on My Mind (with Gene Krupa & His Orchestra),"Anita O'Day,Gene Krupa & His Orchestra",Let Me Off Uptown: The Best Of Anita O'Day,174200,False,15,7,0,4,0.92,0.571,0.302,0.000173,0.0979,-8.534,0.0341,0.603,137.139,JazzPercursion
Tea for Two - 1999 - Remaster,Gene Krupa,The Capitol Vaults Jazz Series,138693,False,9,0,1,4,0.983,0.507,0.187,0,0.457,-9.583,0.0332,0.593,144.135,JazzPercursion
Opus One (with Gene Krupa & His Orchestra),"Anita O'Day,Gene Krupa & His Orchestra",Let Me Off Uptown: The Best Of Anita O'Day,175171,False,18,0,1,4,0.809,0.645,0.447,0.00119,0.0827,-8.152,0.0427,0.838,76.258,JazzPercursion
