Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
90's Love,NCT U,NCT RESONANCE Pt. 2 - The 2nd Album,213666,False,71,1,0,4,0.0688,0.743,0.924,0,0.112,-1.501,0.0642,0.702,107.995,KPop2020
Black Mamba,aespa,Black Mamba,174933,False,81,2,1,4,0.0618,0.52,0.915,0.000946,0.0856,-2.862,0.103,0.5,90.069,KPop2020
Life Goes On,BTS,BE,207481,False,94,1,1,4,0.00691,0.566,0.716,0,0.37,-5.733,0.0424,0.45,81.068,KPop2020
HAPPENING,AKMU,HAPPENING,224015,False,67,9,1,4,0.0909,0.647,0.548,5.51e-05,0.108,-8.446,0.0271,0.272,127.981,KPop2020
MMM,TREASURE,THE FIRST STEP : CHAPTER THREE,208053,False,70,1,1,4,0.0518,0.766,0.746,0,0.0651,-5.917,0.104,0.633,80.007,KPop2020
Make A Wish (Birthday Song),NCT U,NCT RESONANCE Pt. 1 - The 2nd Album,229400,False,78,8,1,4,0.0632,0.732,0.795,0,0.0569,-2.263,0.1,0.693,100.954,KPop2020
Lovesick Girls,BLACKPINK,THE ALBUM,192760,False,84,6,1,4,0.00668,0.658,0.733,0,0.118,-4.756,0.0586,0.464,127.977,KPop2020
Pretty Savage,BLACKPINK,THE ALBUM,199120,False,82,9,0,4,0.00657,0.695,0.583,8.75e-05,0.104,-6.575,0.0423,0.382,152.001,KPop2020
I CAN'T STOP ME,TWICE,Eyes Wide Open,205493,False,86,10,0,4,0.121,0.657,0.88,0,0.463,-3.672,0.102,0.769,150.084,KPop2020
MAGO,GFRIEND,回:Walpurgis Night,199133,False,78,6,0,4,0.00548,0.621,0.821,0.000578,0.142,-3.662,0.0364,0.646,120.062,KPop2020
The Melody,SUPER JUNIOR,The Melody,191213,False,65,0,1,4,0.27,0.779,0.651,0,0.333,-4.482,0.0358,0.54,110.057,KPop2020
ALIEN,LEE SUHYUN,ALIEN,181853,False,70,9,1,4,0.0818,0.792,0.696,0.00181,0.447,-4.87,0.0545,0.75,127.992,KPop2020
Blue Hour,TOMORROW X TOGETHER,minisode1 : Blue Hour,209105,False,79,3,0,4,0.00962,0.71,0.82,0,0.0871,-4.362,0.0836,0.746,112.005,KPop2020
Dynamite,BTS,Dynamite,199053,False,62,6,0,4,0.0112,0.746,0.765,0,0.0936,-4.41,0.0993,0.737,114.044,KPop2020
Bet You Wanna (feat. Cardi B),"BLACKPINK,Cardi B",THE ALBUM,159173,False,79,7,1,4,0.00386,0.665,0.674,0,0.0734,-5.188,0.161,0.702,111.516,KPop2020
Ice Cream (with Selena Gomez),"BLACKPINK,Selena Gomez",Ice Cream (with Selena Gomez),175813,False,80,9,1,4,0.0342,0.79,0.729,9.31e-05,0.0411,-3.843,0.334,0.904,159.989,KPop2020
I LOVE YOU,TREASURE,THE FIRST STEP : CHAPTER TWO,181618,False,72,8,1,4,0.0101,0.732,0.725,0,0.163,-5.585,0.0638,0.411,130.024,KPop2020
One (Monster & Infinity),SuperM,One (Monster & Infinity),221040,False,66,0,1,4,0.0259,0.51,0.894,0,0.361,-2.649,0.149,0.382,160.061,KPop2020
Tiger Inside,SuperM,Super One -The 1st Album,209186,False,62,0,1,4,0.303,0.554,0.932,0,0.11,-1.343,0.266,0.543,170.21,KPop2020
+HWA+,CL,+HWA+,176349,False,69,1,1,4,0.103,0.882,0.618,1.76e-05,0.31,-5.132,0.0514,0.306,111.055,KPop2020
Run away,MINO,TAKE,145706,False,67,6,1,4,0.339,0.849,0.604,0,0.106,-6.465,0.127,0.43,112.005,KPop2020
Back Door,Stray Kids,IN LIFE,189286,False,78,7,1,4,0.157,0.82,0.842,0,0.112,-3.853,0.272,0.653,107.952,KPop2020
Bon voyage,YooA,Bon Voyage,219586,False,63,2,1,4,0.307,0.703,0.889,3.84e-05,0.117,-3.537,0.0509,0.273,119.793,KPop2020
Bad Idea,MOONBIN&SANHA(ASTRO),IN-OUT,198320,False,58,6,0,4,0.0328,0.693,0.805,0,0.135,-2.345,0.0763,0.894,110.092,KPop2020
Maria,Hwa Sa,María,199026,False,79,9,0,4,0.238,0.658,0.749,2.03e-06,0.272,-2.967,0.0634,0.442,128.909,KPop2020
Not Shy,ITZY,Not Shy,177728,False,78,2,0,4,0.155,0.776,0.911,2.59e-06,0.268,-3.08,0.131,0.56,101.027,KPop2020
How You Like That,BLACKPINK,How You Like That,181263,False,75,11,1,4,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,0.351,130.013,KPop2020
What You Waiting For,SOMI,What You Waiting For,175327,False,65,8,1,4,0.0164,0.765,0.688,0,0.112,-5.072,0.0731,0.794,121.901,KPop2020
BOY,TREASURE,THE FIRST STEP : CHAPTER ONE,196666,False,70,6,0,4,0.0526,0.757,0.791,0,0.493,-5.731,0.0476,0.67,110.062,KPop2020
THE BADDEST,"K/DA,(G)I-DLE,Wolftyla,Bea Miller,League of Legends",THE BADDEST,162600,False,80,10,0,4,0.0215,0.676,0.857,0,0.254,-4.368,0.0438,0.717,149.981,KPop2020
DUMDi DUMDi,(G)I-DLE,DUMDi DUMDi,210640,False,70,4,1,4,0.025,0.759,0.914,4.45e-06,0.076,-1.072,0.0592,0.674,123.047,KPop2020
Crazy Over You,BLACKPINK,THE ALBUM,161946,False,77,4,1,4,0.0383,0.805,0.66,8.66e-05,0.189,-5.393,0.0762,0.545,114.951,KPop2020
INCEPTION,ATEEZ,ZERO : FEVER Part.1,210813,False,69,4,0,4,0.108,0.607,0.886,0,0.31,-3.77,0.0847,0.616,149.941,KPop2020
1 Billion Views,"EXO-SC,MOON",1 Billion Views - The 1st Album,209253,False,62,0,0,4,0.362,0.735,0.727,0,0.0997,-2.837,0.0364,0.612,111.928,KPop2020
DESSERT,"HYO,Loopy,SOYEON of (G)I-DLE",DESSERT,200706,False,69,2,1,4,0.0586,0.713,0.927,3.54e-05,0.373,-3.28,0.112,0.618,115.072,KPop2020
WAYO,BANG YE DAM,WAYO,205164,False,65,8,1,4,0.429,0.678,0.358,0,0.0987,-7.37,0.0289,0.724,99.992,KPop2020
God’s Menu,Stray Kids,GO LIVE,167922,False,76,5,1,4,0.00776,0.689,0.771,0,0.521,-3.618,0.0548,0.482,157.052,KPop2020
Left & Right,SEVENTEEN,Heng:garæ,201773,False,71,6,0,4,0.132,0.725,0.823,0,0.104,-3.868,0.115,0.958,149.994,KPop2020
