Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Goteo,Duki,Goteo,164457,False,68,1,1,3,0.186,0.473,0.779,0,0.189,-3.725,0.0414,0.438,108.287,LEGIT
Buenos Genes,"Rels B,DELLAFUENTE",Flakk Daniel's Lp,245190,True,1,4,0,4,0.486,0.804,0.535,0,0.108,-8.603,0.143,0.628,151.957,LEGIT
Hitboy,"Duki,KHEA",Hitboy,179204,False,59,8,1,4,0.153,0.812,0.633,0,0.122,-6.629,0.107,0.616,150.009,LEGIT
Porque Te Vas (Jedet Version),"Cecilio G.,JEDET,MYGAL",Milion Dollar Baby (Ceegeeotcp),205844,True,54,0,1,4,0.461,0.553,0.178,0,0.11,-15.082,0.0627,0.567,88.038,LEGIT
Intro,"Cecilio G.,Limabeatz",Milion Dollar Baby (Ceegeeotcp),121924,True,62,3,0,4,0.941,0.816,0.332,5.86e-05,0.266,-12.677,0.333,0.525,125.923,LEGIT
Calling,Moonkey,Calling,190855,True,32,10,0,4,0.724,0.745,0.411,0.00539,0.133,-13.591,0.0809,0.866,80.533,LEGIT
Euromillón,Rels B,Euromillón,194760,True,0,11,0,4,0.769,0.816,0.585,0,0.111,-8.344,0.0812,0.523,122.073,LEGIT
Bambino,"Recycled J,Selecta",Bambino,156000,False,52,4,1,4,0.357,0.667,0.772,0,0.0763,-6.193,0.298,0.294,179.918,LEGIT
YYANOSÉ,"Israel B,LOWLIGHT",YYANOSÉ,191079,True,37,2,0,4,0.243,0.774,0.635,0,0.108,-6.474,0.556,0.416,175.8,LEGIT
She Don't Give a Fo,"Duki,KHEA",She Don't Give a Fo,209531,False,72,1,1,4,0.345,0.854,0.556,0,0.165,-4.49,0.14,0.342,119.938,LEGIT
Cicatrices,Natos y Waor,Cicatrices,180000,True,64,8,1,4,0.695,0.718,0.814,0,0.125,-5.467,0.345,0.27,120.04,LEGIT
Malamanera,fernandocosta,Malamanera,182129,True,60,7,1,4,0.522,0.829,0.589,0,0.12,-6.824,0.255,0.376,91.988,LEGIT
Mi Casa,Cruz Cafuné,Pa'l Coche,166113,True,57,1,1,4,0.138,0.888,0.563,8.13e-06,0.116,-7.432,0.142,0.444,99.481,LEGIT
Ficción,"Costa,Bebe,MYGAL",Ficción,214019,False,19,1,0,4,0.514,0.761,0.827,0.00018,0.0768,-5.701,0.356,0.927,102.882,LEGIT
Pa que lo gocen,"fernandocosta,Dollar Selmouni,Blasfem",Yipiyou,220964,True,59,6,0,4,0.349,0.678,0.625,0,0.116,-7.29,0.109,0.277,89.982,LEGIT
Made In Taiwan,Rels B,Boys Don't Cry,153651,True,0,1,0,4,0.65,0.899,0.483,1.54e-06,0.146,-9.059,0.441,0.61,140.047,LEGIT
Carretera,"Natos y Waor,Recycled J",Carretera,214588,False,55,4,0,4,0.734,0.673,0.753,0,0.111,-6.632,0.0549,0.592,84.96,LEGIT
Benicàssim,"Juancho Marqués,Don Patricio,InnerCut",Benicàssim,199591,False,56,5,0,4,0.183,0.748,0.572,3.46e-06,0.0666,-7.692,0.212,0.357,97.723,LEGIT
Chacho,"Dollar Selmouni,fernandocosta",Chacho,151469,True,6,1,1,4,0.64,0.687,0.575,5.43e-06,0.691,-7.726,0.307,0.616,91.907,LEGIT
