Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
I'm Yours,"Koosen,Avocuddle,Fets",I'm Yours,119811,False,67,11,1,4,0.842,0.627,0.15,0.882,0.121,-15.166,0.0614,0.288,80.013,LofiBeats
Hawaii,Ahe Bane,Hawaii,171000,False,60,11,0,4,0.89,0.816,0.34,0.894,0.266,-9.118,0.224,0.15,79.979,LofiBeats
Go off the Deep End,Utopiaboy,Sense,152000,False,56,4,1,4,0.21,0.531,0.256,9.87e-05,0.101,-14.345,0.0459,0.347,180.009,LofiBeats
Dark Wood,Justnormal,Seasonal Expression,129344,False,58,6,1,4,0.822,0.724,0.24,0.415,0.115,-13.317,0.275,0.461,173.945,LofiBeats
Sweet Hangover,"Peter Kind,Platinum Dust",Sweet Hangover,112714,False,60,1,0,4,0.418,0.742,0.334,0.0193,0.105,-9.704,0.068,0.615,80.008,LofiBeats
Sleepy Night,"Green Bull,Sea Flap Flap,Poky",Sleepy Night,106500,False,58,5,0,4,0.429,0.915,0.483,0.586,0.127,-13.294,0.154,0.234,99.972,LofiBeats
Tango,Lemonboi,Tango,159529,False,57,11,1,4,0.61,0.757,0.459,0.129,0.0932,-9.928,0.127,0.127,170.096,LofiBeats
Kleuiş,Tuan Beatz,Kleuiş,128000,False,51,4,0,4,0.0112,0.711,0.168,0.754,0.126,-16.007,0.0517,0.1,180.056,LofiBeats
surf child,"UKDD,Trog'low",surf child,148500,False,55,7,1,4,0.902,0.71,0.189,0.94,0.393,-8.889,0.0471,0.425,80.027,LofiBeats
Float,SPEECHLESS,Float,138677,False,57,11,1,4,0.97,0.661,0.416,0.878,0.0856,-10.504,0.755,0.374,78.031,LofiBeats
Earth,Beaumont,Earth,99455,False,56,7,0,4,0.714,0.78,0.336,0.448,0.128,-13.902,0.173,0.94,140.118,LofiBeats
Tracy,Pontiac Puma,Tracy,122666,False,58,2,1,4,0.714,0.704,0.245,0.717,0.147,-12.954,0.216,0.19,90.156,LofiBeats
august 20,Moody.,come here or at least get naked,141818,False,53,2,1,4,0.107,0.748,0.355,0.873,0.239,-12.451,0.093,0.195,87.993,LofiBeats
Better Together,"Koosen,Green Bull,Fets",Better Together,109388,False,62,5,1,4,0.964,0.63,0.312,0.935,0.119,-13.868,0.032,0.0716,89.98,LofiBeats
Tiger Park,"Lo'fi Boy,BVG",Tiger Park,185695,False,55,11,1,4,0.321,0.621,0.347,0.944,0.319,-15.032,0.0793,0.804,87.918,LofiBeats
Sunset,Hyperparadise,Untitled Beat Tape,177853,False,0,5,0,4,0.934,0.669,0.2,0.901,0.138,-16.88,0.197,0.506,166.25,LofiBeats
inherent,"UKDD,Mark Generous",inherent,193596,False,54,0,1,4,0.308,0.542,0.522,0.929,0.351,-10.063,0.146,0.772,177.842,LofiBeats
As if I would,"vensterbank,Orange Stick,Snuggles",As if I would,135589,False,55,7,0,4,0.834,0.444,0.277,0.949,0.11,-18.382,0.204,0.366,170.085,LofiBeats
Life,Slumberville,Mirage,130337,False,56,4,0,4,0.943,0.614,0.115,0.955,0.111,-18.1,0.035,0.133,74.019,LofiBeats
Lasagne,Wun Two,Lasagne,106489,False,62,6,0,4,0.482,0.55,0.441,0.734,0.17,-12.384,0.144,0.963,145.886,LofiBeats
Anybody Else,Moseqar,Anybody Else,210461,False,59,10,0,4,0.752,0.507,0.422,0.588,0.206,-10.96,0.0307,0.373,96.882,LofiBeats
Waiting for You,mell-ø,Mellow Dramatic,94864,False,63,8,0,4,0.828,0.74,0.133,0.957,0.131,-16.642,0.0633,0.113,73.982,LofiBeats
The City Is Gonna Break My Heart,citi,Text.io,186007,False,50,0,1,4,0.572,0.502,0.176,0.811,0.0994,-19.404,0.0784,0.0866,108.719,LofiBeats
Stay,Fatb,Stay,80969,False,52,1,1,4,0.8,0.685,0.172,0.928,0.137,-13.917,0.0651,0.237,78.979,LofiBeats
While You Doooo,Teebs,Ardour,91010,False,54,10,0,4,0.268,0.829,0.9,0.689,0.131,-6.575,0.238,0.684,93.764,LofiBeats
Roses,Cantsleep,Roses,95539,False,54,6,0,4,0.00254,0.801,0.446,0.0605,0.219,-14.335,0.1,0.627,88.045,LofiBeats
Lewk,"Green Bull,Weegie,Fets",Lewk,140474,False,55,11,0,4,0.318,0.733,0.505,0.868,0.0893,-6.876,0.075,0.251,85.064,LofiBeats
Autumn Leaves,"vensterbank,Poky,Sea Flap Flap",Autumn Leaves,154711,False,58,5,0,4,0.741,0.681,0.318,0.871,0.15,-18.012,0.0729,0.24,89.966,LofiBeats
Aconcagua,Slumberville,Aconcagua,119076,False,0,1,1,4,0.416,0.82,0.17,0.859,0.0986,-12.969,0.0971,0.29,129.993,LofiBeats
Resolution,Sense,Resolution,167560,False,59,4,1,4,0.749,0.654,0.42,0.667,0.103,-11.375,0.0683,0.138,82.026,LofiBeats
Dancing in the Moonlight,"Snuggles,Zambonini,Avocuddle",Dancing in the Moonlight,94551,False,62,9,1,4,0.953,0.605,0.336,0.936,0.101,-13.519,0.0332,0.468,180.102,LofiBeats
UP TO U,twuan,UP TO U,115000,False,57,7,1,4,0.741,0.729,0.432,0.000719,0.143,-16.246,0.177,0.448,83.312,LofiBeats
Bon Siman,Cookin Soul,Caribbean Bites,68571,False,53,11,1,4,0.0327,0.648,0.69,0.237,0.155,-5.766,0.049,0.195,168.008,LofiBeats
Magnet You,Brenky,Loose,108333,False,52,0,0,4,0.617,0.665,0.0605,0.665,0.102,-24.091,0.227,0.83,72.121,LofiBeats
Arabian Nights,Robin Slap,Arabian Nights,87000,False,56,5,0,4,0.595,0.784,0.249,0.881,0.182,-13.422,0.0864,0.151,79.97,LofiBeats
In the Middle of Nowhere,Soulaced,It's Ok,123000,False,52,3,0,4,0.442,0.758,0.341,0.243,0.123,-10.172,0.105,0.447,80.007,LofiBeats
my sound,sonolon,my sound,96000,False,58,0,1,1,0.38,0.528,0.289,0.76,0.144,-13.909,0.422,0.403,81.059,LofiBeats
Roots,Kupla,Kingdom in Blue,138947,False,65,9,0,4,0.35,0.812,0.403,0.447,0.106,-8.448,0.232,0.382,75.89,LofiBeats
espresso time,lokeyz,espresso time,123726,False,60,8,1,4,0.678,0.646,0.421,0.891,0.164,-10.564,0.0562,0.412,101.09,LofiBeats
Loungerie,Jorge Milliano,Dosages,195480,False,63,7,1,4,0.782,0.625,0.377,0.842,0.0855,-11.321,0.0343,0.377,140.05,LofiBeats
always with you,lisa millien,fly high,113142,False,59,6,0,4,0.371,0.743,0.294,0.884,0.0603,-8.431,0.0624,0.436,139.967,LofiBeats
Call For Spring,Bauke Top,Call For Spring,113437,False,56,11,0,4,0.345,0.644,0.526,0.389,0.0723,-9.351,0.0691,0.299,160.133,LofiBeats
Sway,Sidual.,Sway,148855,False,60,5,0,1,0.865,0.456,0.184,0.864,0.137,-10.367,0.288,0.71,143.879,LofiBeats
Come See Me,Justnormal,Come See Me,119812,False,50,2,1,4,0.813,0.628,0.228,0.368,0.109,-8.002,0.0391,0.0477,79.994,LofiBeats
Miffing,_tag,Miffing,143130,False,60,3,0,4,0.938,0.705,0.221,0.906,0.111,-11.474,0.0837,0.384,84.962,LofiBeats
Hope,"w00ds,SEA",Hope,156666,False,59,0,0,4,0.855,0.539,0.361,0.925,0.109,-13.126,0.0385,0.0738,149.984,LofiBeats
lights down low,oktav.,lights down low,105000,False,59,6,0,4,0.32,0.615,0.371,0.593,0.0626,-15.032,0.0356,0.217,127.979,LofiBeats
Cascada,Juan Rios,Cascada,186909,False,50,7,1,4,0.831,0.937,0.391,0.915,0.144,-14.743,0.178,0.808,140.019,LofiBeats
benches,wavcrush,you feel that?,135500,False,59,8,1,4,0.938,0.58,0.161,0.925,0.14,-12.758,0.15,0.142,140.888,LofiBeats
Window Camping,ROOM7,ROOM7,123000,False,59,0,1,4,0.488,0.716,0.474,0.458,0.117,-10.607,0.131,0.706,159.993,LofiBeats
Café,sky pedro,Café,113406,False,56,6,1,4,0.203,0.829,0.197,0.74,0.0994,-13.804,0.154,0.32,91.002,LofiBeats
Rick and Morty Theme,"Orange Stick,Avocuddle,Fets",Rick and Morty Theme,110041,False,58,10,0,4,0.331,0.582,0.153,0.834,0.178,-17.548,0.0364,0.584,78.998,LofiBeats
dahlia,ENRA,dahlia,109916,False,52,11,1,4,0.636,0.799,0.3,0.966,0.0882,-11.602,0.059,0.346,105.0,LofiBeats
Je Te Met Au Défi (feat. Nohidea),"Engelwood,simon eng,Nohidea",Jazz Channel Instrumentals,92671,False,52,5,1,4,0.846,0.559,0.454,0.932,0.11,-10.496,0.155,0.436,67.849,LofiBeats
Raw Quartet,"Cookin Soul,FloFilz",Raw Quartet,182857,False,60,7,1,4,0.163,0.661,0.47,0.329,0.192,-5.195,0.0917,0.339,84.024,LofiBeats
Long Way Home,".Sinh,Cantsleep,Massaman",Long Way Home,82962,False,56,8,1,4,0.632,0.711,0.242,0.742,0.0888,-13.298,0.259,0.625,81.009,LofiBeats
Mixed Feelings,"Dontcry,Glimlip",Mixed Feelings,103430,False,57,9,1,4,0.187,0.786,0.37,0.874,0.355,-10.17,0.183,0.423,86.02,LofiBeats
thinking of you,"mommy,Philanthrope,Kyle McEvoy",Inaudible,131000,False,12,11,1,4,0.484,0.797,0.0832,0.81,0.239,-12.673,0.203,0.51,160.048,LofiBeats
Careless,Coastal,Careless,160000,False,60,0,0,4,0.953,0.618,0.243,0.902,0.0736,-13.537,0.122,0.321,90.026,LofiBeats
Runaway,"Orange Stick,Avocuddle,Fets",Runaway,113045,False,60,4,1,4,0.843,0.751,0.141,0.934,0.115,-13.884,0.0531,0.36,136.043,LofiBeats
Muji,Lilac,Muji,94682,False,53,1,0,4,0.899,0.476,0.115,0.873,0.0927,-15.818,0.0381,0.241,191.5,LofiBeats
Moon Light,Ymori,Moon Light,133484,False,55,10,0,4,0.00255,0.742,0.358,0.228,0.0759,-10.254,0.114,0.668,79.945,LofiBeats
