Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242373,False,79,5,0,4,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,0.417,138.015,LateNightDrives
Some Nights,fun.,Some Nights,277040,True,70,0,1,4,0.0178,0.672,0.738,6.75e-05,0.0927,-7.045,0.0506,0.392,107.938,LateNightDrives
Somewhere Only We Know,Keane,Hopes And Fears,236160,False,69,9,1,4,0.0794,0.453,0.655,7.61e-06,0.0849,-4.22,0.0259,0.368,172.012,LateNightDrives
Dusk Till Dawn - Radio Edit,"ZAYN,Sia",Dusk Till Dawn (Radio Edit),239000,False,82,11,0,4,0.101,0.258,0.437,1.27e-06,0.106,-6.593,0.039,0.0967,180.043,LateNightDrives
Left Hand Free,alt-J,This Is All Yours,173630,False,24,3,1,4,0.452,0.698,0.876,0.0133,0.0824,-4.45,0.0486,0.81,101.992,LateNightDrives
Chanel,Frank Ocean,Chanel,210285,True,81,0,0,4,0.874,0.776,0.503,0,0.112,-5.732,0.237,0.473,110.134,LateNightDrives
Alright,Supergrass,I Should Coco,180880,False,72,4,0,4,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,0.701,145.92,LateNightDrives
Godspeed,Frank Ocean,Blonde,177922,False,77,6,1,4,0.931,0.421,0.0952,0.000201,0.126,-12.561,0.0479,0.0773,109.698,LateNightDrives
Sunset Lover,Petit Biscuit,Presence,238906,False,72,6,1,4,0.669,0.785,0.525,0.439,0.114,-7.556,0.042,0.251,90.853,LateNightDrives
Clouds,Before You Exit,Clouds,271846,False,59,6,1,3,0.921,0.407,0.175,2.45e-06,0.0896,-13.874,0.0347,0.259,79.763,LateNightDrives
no place like hope,Zachary Knowles,feelings,252800,False,0,8,1,4,0.636,0.694,0.35,0.000129,0.104,-14.522,0.0658,0.396,149.948,LateNightDrives
Thunder,Roy Blair,Cat Heaven,313663,True,64,0,1,4,0.0292,0.667,0.316,0.00613,0.147,-9.132,0.0262,0.156,100.998,LateNightDrives
Beige,Yoke Lore,Goodpain,204208,False,70,10,1,4,0.384,0.434,0.677,0.0684,0.119,-7.535,0.119,0.218,167.927,LateNightDrives
Half Light,BANNERS,Half Light,185946,False,64,10,1,4,0.816,0.532,0.392,0,0.122,-7.502,0.0289,0.352,151.879,LateNightDrives
Slowly Falling,J.Cyrus,Slowly Falling,237006,False,43,6,0,4,0.3,0.654,0.698,0.0325,0.111,-6.076,0.0341,0.205,98.012,LateNightDrives
Yellow Lights,Harry Hudson,Yesterday's Tomorrow Night,171381,False,63,3,1,1,0.844,0.444,0.21,0,0.0956,-10.811,0.0516,0.306,145.944,LateNightDrives
white roses,Greyson Chance,portraits,236600,False,50,5,1,4,0.29,0.41,0.59,0,0.112,-7.449,0.065,0.179,126.638,LateNightDrives
"Say It, Just Say It",The Mowgli's,Waiting For The Dawn,200080,False,46,6,1,4,0.0656,0.517,0.804,0,0.157,-5.101,0.0572,0.61,157.974,LateNightDrives
Butterfly,UMI,Butterfly,160500,False,64,5,1,4,0.255,0.785,0.27,0.00132,0.0953,-14.457,0.0892,0.12,131.894,LateNightDrives
Post Modern Fade,Cottonwood Firing Squad,27 Club,103937,False,46,2,1,4,0.41,0.852,0.451,0.0279,0.109,-12.818,0.0463,0.965,119.965,LateNightDrives
Electric (feat. Khalid),"Alina Baraz,Khalid",Electric (feat. Khalid),245293,False,0,10,0,4,0.593,0.637,0.359,5.39e-05,0.108,-9.841,0.0325,0.142,111.049,LateNightDrives
Breezeblocks,alt-J,An Awesome Wave,227080,False,72,5,1,4,0.096,0.616,0.656,0.000879,0.205,-7.298,0.0344,0.286,150.071,LateNightDrives
3:15,Bazzi,COSMIC,167018,True,69,1,1,4,0.385,0.651,0.654,0,0.181,-5.481,0.0466,0.539,141.975,LateNightDrives
Doses & Mimosas,Cherub,Year of the Caprese,323253,True,69,5,1,4,0.114,0.775,0.655,0.00016,0.035,-7.333,0.102,0.346,114.503,LateNightDrives
Silhouettes,Colony House,When I Was Younger,177773,False,60,8,1,4,0.0137,0.479,0.759,0,0.093,-6.82,0.0385,0.574,164.997,LateNightDrives
Why Do You Feel So Down,Declan McKenna,What Do You Think About the Car?,220706,False,69,7,1,4,0.0583,0.545,0.907,0,0.102,-5.852,0.0416,0.44,114.523,LateNightDrives
Why Don’t You Come On (ft. Khalid and Empress Of),"DJDS,Khalid,Empress Of",Big Wave More Fire,199980,False,43,1,1,4,0.0771,0.67,0.677,0,0.188,-5.554,0.0664,0.348,128.088,LateNightDrives
