Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Come & Go (with Marshmello),"Juice WRLD,Marshmello",Legends Never Die,205484,True,89,0,1,4,0.0172,0.625,0.814,0,0.158,-5.181,0.0657,0.535,144.991,LemmeGetAux
WAP (feat. Megan Thee Stallion),"Cardi B,Megan Thee Stallion",WAP (feat. Megan Thee Stallion),187541,True,95,1,1,4,0.0194,0.935,0.454,0,0.0824,-7.509,0.375,0.357,133.073,LemmeGetAux
Pump It Up,Endor,Pump It Up,150635,False,58,1,1,4,0.207,0.898,0.893,9.33e-05,0.061,-7.255,0.225,0.653,129.047,LemmeGetAux
The Spins,Mac Miller,K.I.D.S. (Deluxe),195873,True,52,9,0,4,0.0135,0.794,0.766,0,0.0785,-3.894,0.0377,0.55,127.007,LemmeGetAux
Mood (feat. iann dior),"24kGoldn,iann dior",Mood (feat. iann dior),140525,True,99,7,0,4,0.221,0.7,0.722,0,0.272,-3.558,0.0369,0.756,90.989,LemmeGetAux
Never Seen The Rain,Tones And I,Never Seen The Rain (Alternate Version),200742,False,77,6,0,4,0.43,0.672,0.464,0,0.284,-5.624,0.037,0.271,92.069,LemmeGetAux
Head & Heart (feat. MNEK),"Joel Corry,MNEK",Head & Heart (feat. MNEK),166028,False,93,8,1,4,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,0.905,122.953,LemmeGetAux
Laugh Now Cry Later (feat. Lil Durk),"Drake,Lil Durk",Laugh Now Cry Later (feat. Lil Durk),261492,True,93,0,1,4,0.244,0.761,0.518,3.47e-05,0.107,-8.871,0.134,0.522,133.976,LemmeGetAux
Mood Swings (feat. Lil Tjay),"Pop Smoke,Lil Tjay",Shoot For The Stars Aim For The Moon,213333,True,89,10,0,4,0.487,0.48,0.602,0,0.0848,-6.335,0.368,0.269,179.798,LemmeGetAux
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke,Lil Baby,DaBaby",Shoot For The Stars Aim For The Moon,190476,True,94,6,0,4,0.114,0.823,0.586,0,0.193,-6.606,0.2,0.347,125.971,LemmeGetAux
Tie Me Down (with Elley Duhé),"Gryffin,Elley Duhé",Gravity,218239,False,61,6,1,4,0.136,0.608,0.845,0,0.111,-2.292,0.0597,0.322,98.976,LemmeGetAux
Let's Do It Again,J Boog,Backyard Boogie,192177,False,71,0,0,4,0.578,0.631,0.696,0,0.0784,-5.631,0.211,0.927,173.537,LemmeGetAux
Come Home,"BAYNK,Shallou",Come Home,246923,False,55,9,1,4,0.432,0.698,0.585,0.265,0.0946,-7.629,0.0479,0.116,104.018,LemmeGetAux
Aftertaste,"Loud Luxury,Morgan St. Jean",Nights Like This,197082,False,57,1,1,4,0.133,0.786,0.869,7.32e-06,0.0948,-4.763,0.0692,0.409,123.054,LemmeGetAux
Waterfall - Tim Legend Remix,"Petit Biscuit,Panama,Tim Legend",Waterfall Remixes,182000,False,47,0,1,4,0.456,0.71,0.427,0.000142,0.0874,-11.736,0.0718,0.438,106.833,LemmeGetAux
Nothing to Regret,Robinson,Nothing to Regret,208485,True,65,5,1,4,0.243,0.697,0.521,0,0.189,-6.519,0.031,0.331,91.998,LemmeGetAux
"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money,Gunna,Don Toliver,NAV",B4 The Storm,195428,True,90,1,0,4,0.25,0.8,0.658,0,0.111,-6.142,0.079,0.462,140.042,LemmeGetAux
Roses - Imanbek Remix,"SAINt JHN,Imanbek",Roses (Imanbek Remix),176218,True,79,8,1,4,0.0149,0.785,0.721,0.00432,0.285,-5.457,0.0506,0.894,121.962,LemmeGetAux
Call On Me - Radio Edit,Eric Prydz,Call On Me,169373,False,37,10,1,4,0.00362,0.606,0.847,0.00123,0.785,-5.974,0.382,0.471,126.272,LemmeGetAux
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,160000,True,95,10,1,4,0.65,0.709,0.548,1.59e-06,0.133,-8.493,0.353,0.543,83.995,LemmeGetAux
Drip Like ME,Kenndog,Year of the Dog,144091,True,64,0,0,4,0.0621,0.954,0.607,0,0.104,-8.725,0.214,0.46,103.988,LemmeGetAux
Pussy Talk,"City Girls,Doja Cat",City On Lock,218332,True,77,1,1,4,0.0016,0.943,0.641,0,0.211,-5.598,0.191,0.242,99.099,LemmeGetAux
