Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Son De La Negra,Mariachi Vargas De Tecalitlan,Las Canciones Mexicanas Que El Mundo Canta,181000,False,42,7,1,3,0.074,0.421,0.639,0.0512,0.161,-5.059,0.0371,0.767,175.396,MARIACHISCLASSICS
Por Mujeres Como Tu,Pepe Aguilar,Por Mujeres Como Tu,261131,False,1,2,1,4,0.857,0.568,0.291,1.63e-05,0.159,-7.73,0.0268,0.357,92.023,MARIACHISCLASSICS
Como Quien Pierde una Estrella,Alejandro Fernández,Que Seas Muy Feliz,213733,False,59,10,1,4,0.642,0.439,0.35,6.4e-05,0.115,-11.088,0.0302,0.568,163.113,MARIACHISCLASSICS
Hermoso Cariño,Vicente Fernández,Vicente Fernández,156866,False,67,0,1,3,0.612,0.343,0.425,5.13e-06,0.243,-5.589,0.0288,0.408,154.267,MARIACHISCLASSICS
Sabes Una Cosa,Luis Miguel,Mexico en la Piel (edicion diamante),200386,False,68,0,1,3,0.268,0.437,0.522,0,0.126,-7.048,0.031,0.72,169.366,MARIACHISCLASSICS
El son de la negra,Mariachi Vargas De Tecalitlan,Música de America,179000,False,53,7,1,3,0.268,0.481,0.561,0.0137,0.255,-9.101,0.0498,0.834,170.908,MARIACHISCLASSICS
Se Me Olvidó Otra Vez,Juan Gabriel,15 Años De Exitos Rancheros,176320,False,51,9,1,4,0.772,0.531,0.208,0,0.149,-12.087,0.042,0.343,83.354,MARIACHISCLASSICS
Tatuajes,Joan Sebastian,Tatuajes,211929,False,2,7,1,4,0.73,0.782,0.534,4.14e-06,0.13,-5.401,0.0281,0.917,100.565,MARIACHISCLASSICS
Amor Eterno,Rocío Dúrcal,Amor Eterno,408506,False,55,0,1,4,0.231,0.279,0.157,0.000463,0.564,-17.564,0.0334,0.385,177.312,MARIACHISCLASSICS
Por Una Mujer Bonita,Pepe Aguilar,Por Una Mujer Bonita,162632,False,0,4,0,4,0.749,0.454,0.476,0,0.326,-6.156,0.032,0.558,141.991,MARIACHISCLASSICS
Mátalas,Alejandro Fernández,Niña Amada Mia,177226,False,59,11,1,4,0.706,0.771,0.392,0,0.0575,-6.627,0.0751,0.8,117.242,MARIACHISCLASSICS
Volver Volver,Vicente Fernández,Arriba Huentitan,180733,False,65,9,1,4,0.39,0.355,0.351,0.00257,0.394,-9.513,0.0455,0.471,164.933,MARIACHISCLASSICS
Si Nos Dejan - En Vivo,Luis Miguel,El Concierto,152173,False,58,5,1,4,0.5,0.501,0.685,0,0.953,-7.349,0.0325,0.382,105.468,MARIACHISCLASSICS
Échame a Mi La Culpa,Luis Miguel,Mexico en la Piel (edicion diamante),189800,False,64,7,1,4,0.143,0.571,0.5,0,0.303,-5.178,0.028,0.633,125.887,MARIACHISCLASSICS
Aca Entre Nos,Vicente Fernández,Que De Raro Tiene,195373,False,67,0,1,4,0.529,0.407,0.334,0,0.137,-6.661,0.0628,0.471,84.941,MARIACHISCLASSICS
Me Gustas Mucho,Rocío Dúrcal,Sus 16 Grandes Exitos,184293,False,55,5,1,4,0.419,0.643,0.356,0,0.212,-7.795,0.0351,0.968,120.583,MARIACHISCLASSICS
Nube Viajera,Alejandro Fernández,Muy Dentro De Mi Corazon,244426,False,55,10,1,4,0.491,0.617,0.303,7.6e-06,0.27,-10.473,0.0308,0.484,109.344,MARIACHISCLASSICS
México En La Piel,Luis Miguel,Mexico en la Piel (edicion diamante),209213,False,64,0,1,3,0.43,0.483,0.53,0,0.222,-6.989,0.0295,0.676,150.68,MARIACHISCLASSICS
Déjame Vivir (with Juan Gabriel),"Rocío Dúrcal,Juan Gabriel",Amor Eterno,223573,False,50,7,1,4,0.66,0.753,0.26,0,0.0929,-15.042,0.0505,0.76,131.702,MARIACHISCLASSICS
No,Alejandro Fernández,Grandes Exitos A La Manera De Alejandro Fernandez,195266,False,63,2,1,4,0.573,0.527,0.224,6.28e-06,0.283,-11.76,0.0282,0.314,86.23,MARIACHISCLASSICS
Directo Al Corazon,Pepe Aguilar,Por Mujeres Como Tu,198832,False,1,4,1,4,0.867,0.298,0.278,6.3e-05,0.128,-7.675,0.0322,0.292,183.167,MARIACHISCLASSICS
La bikina - En vivo,Luis Miguel,Vivo,179040,False,66,5,1,3,0.161,0.389,0.71,0,0.918,-6.265,0.0351,0.666,160.397,MARIACHISCLASSICS
Y - En vivo,Luis Miguel,Vivo,162093,False,53,0,1,4,0.236,0.576,0.675,4.03e-06,0.934,-6.624,0.0311,0.566,93.473,MARIACHISCLASSICS
La fiesta del mariachi,Luis Miguel,¡MÉXICO Por Siempre!,164413,False,53,7,1,3,0.0942,0.573,0.861,0,0.101,-2.726,0.0381,0.869,88.044,MARIACHISCLASSICS
Entrega Total,Luis Miguel,Mexico en la Piel (edicion diamante),133760,False,53,9,1,4,0.644,0.351,0.496,0,0.259,-6.283,0.0288,0.787,97.581,MARIACHISCLASSICS
No me amenaces,Luis Miguel,¡MÉXICO Por Siempre!,148653,False,51,9,1,3,0.486,0.397,0.58,0,0.104,-3.819,0.0369,0.696,79.922,MARIACHISCLASSICS
Llamarada,Luis Miguel,¡MÉXICO Por Siempre!,204533,False,56,7,1,3,0.118,0.544,0.707,0,0.506,-3.568,0.0305,0.631,146.143,MARIACHISCLASSICS
El Balajú / Huapango,Luis Miguel,¡MÉXICO Por Siempre!,169253,False,49,7,1,3,0.0257,0.534,0.718,0,0.209,-2.546,0.0468,0.469,99.058,MARIACHISCLASSICS
Cruz De Olvido,Luis Miguel,Mexico en la Piel (edicion diamante),210600,False,55,7,1,4,0.404,0.262,0.442,0,0.0765,-5.94,0.0334,0.539,203.311,MARIACHISCLASSICS
Soy lo prohibido,Luis Miguel,¡MÉXICO Por Siempre!,184626,False,62,0,1,4,0.496,0.286,0.495,0,0.143,-5.671,0.0329,0.475,179.04,MARIACHISCLASSICS
De Qué Manera Te Olvido,Luis Miguel,Mexico en la Piel (edicion diamante),151120,False,61,0,1,4,0.209,0.594,0.462,0,0.257,-5.834,0.0272,0.663,109.832,MARIACHISCLASSICS
El siete mares,Luis Miguel,¡MÉXICO Por Siempre!,158880,False,51,0,1,3,0.0528,0.562,0.684,0,0.211,-3.457,0.0327,0.85,149.925,MARIACHISCLASSICS
Luz De Luna,Luis Miguel,Mexico en la Piel (edicion diamante),174720,False,51,0,0,3,0.585,0.569,0.534,0,0.353,-5.502,0.0283,0.595,107.635,MARIACHISCLASSICS
¿Por qué te conocí?,Luis Miguel,¡MÉXICO Por Siempre!,202973,False,51,10,1,4,0.547,0.335,0.428,0,0.158,-5.81,0.0387,0.322,170.712,MARIACHISCLASSICS
Motivos,Luis Miguel,Mexico en la Piel (edicion diamante),212440,False,61,0,1,4,0.703,0.234,0.409,0,0.355,-7.478,0.0301,0.329,177.682,MARIACHISCLASSICS
Deja que salga la luna,Luis Miguel,¡MÉXICO Por Siempre!,202720,False,51,9,0,3,0.323,0.321,0.606,2.7e-06,0.239,-4.047,0.029,0.357,101.333,MARIACHISCLASSICS
Cielo Rojo,Luis Miguel,Mexico en la Piel (edicion diamante),175226,False,60,0,1,3,0.677,0.583,0.464,0,0.0678,-7.243,0.0267,0.604,103.106,MARIACHISCLASSICS
Serenata huasteca,Luis Miguel,¡MÉXICO Por Siempre!,175920,False,53,4,0,3,0.245,0.612,0.673,0,0.129,-4.392,0.0343,0.723,139.963,MARIACHISCLASSICS
Paloma Querida,Luis Miguel,Mexico en la Piel (edicion diamante),165360,False,51,4,1,3,0.497,0.373,0.419,0,0.277,-7.852,0.0293,0.43,135.402,MARIACHISCLASSICS
Que te vaya bonito,Luis Miguel,¡MÉXICO Por Siempre!,161546,False,49,7,1,3,0.483,0.361,0.499,0,0.124,-5.3,0.0355,0.616,151.676,MARIACHISCLASSICS
Que Seas Feliz,Luis Miguel,Mexico en la Piel (edicion diamante),185773,False,60,7,1,4,0.425,0.239,0.415,0,0.124,-6.295,0.0314,0.443,204.052,MARIACHISCLASSICS
No discutamos,Luis Miguel,¡MÉXICO Por Siempre!,202160,False,57,7,1,4,0.62,0.485,0.455,1.42e-06,0.109,-5.957,0.0301,0.378,98.399,MARIACHISCLASSICS
Un Mundo Raro,Luis Miguel,Mexico en la Piel (edicion diamante),160693,False,51,10,1,4,0.54,0.373,0.447,0,0.301,-6.38,0.0303,0.55,122.381,MARIACHISCLASSICS
Sin sangre en las venas,Luis Miguel,¡MÉXICO Por Siempre!,159946,False,47,7,1,3,0.217,0.508,0.501,0,0.154,-5.512,0.0274,0.676,80.051,MARIACHISCLASSICS
Qué bonita es mi tierra,Luis Miguel,¡MÉXICO Por Siempre!,173000,False,47,0,1,5,0.216,0.25,0.597,0,0.25,-4.081,0.0362,0.534,163.595,MARIACHISCLASSICS
Tantita Pena,Alejandro Fernández,Orígenes,208266,False,47,5,0,4,0.125,0.698,0.712,0,0.137,-5.315,0.0924,0.905,90.478,MARIACHISCLASSICS
El Viajero,Mariachi Vargas De Tecalitlan,La Fiesta Del Mariachi,241746,False,29,0,1,3,0.662,0.389,0.373,0,0.0496,-10.446,0.0363,0.72,87.634,MARIACHISCLASSICS
Fallaste corazon,Pedro Infante,Mexico Gran Colección Ranchera - Pedro Infante,226080,False,60,7,1,4,0.94,0.361,0.33,0.00242,0.185,-4.602,0.0344,0.467,80.116,MARIACHISCLASSICS
Ay Jalisco No Te Rajes,La Hija Del Mariachi,"La Hija del Mariachi, Vol. 1",183251,False,41,5,1,4,0.578,0.619,0.551,0,0.136,-4.964,0.037,0.687,135.019,MARIACHISCLASSICS
No Vale la Pena (En Vivo),Juan Gabriel,Todo,154000,False,52,7,1,4,0.698,0.769,0.31,1.03e-05,0.542,-12.853,0.044,0.741,124.202,MARIACHISCLASSICS
México Lindo y Querido - En Vivo,Alejandro Fernández,Mexico Madrid En Directo Y Sin Escalas,245306,False,37,9,1,3,0.357,0.255,0.684,0,0.869,-8.486,0.0609,0.367,87.972,MARIACHISCLASSICS
Cielito Lindo,Mariachi Vargas De Tecalitlan,Lo Mejor de la Musica Mexicana,221773,True,50,0,1,3,0.41,0.263,0.506,3.73e-05,0.355,-4.921,0.0316,0.713,185.552,MARIACHISCLASSICS
Perdoname,Pepe Aguilar,Por Una Mujer Bonita,209769,False,0,0,1,4,0.683,0.506,0.373,0.0031,0.222,-8.384,0.0274,0.532,88.097,MARIACHISCLASSICS
El Milagro De Tus Ojos,Jose Julian,El Milagro De Tus Ojos,192712,False,0,5,1,4,0.808,0.601,0.358,0,0.0928,-8.088,0.0298,0.432,131.928,MARIACHISCLASSICS
Gema,Javier Solís,Sombras,159073,False,0,5,1,4,0.782,0.449,0.467,0,0.267,-4.653,0.0442,0.566,99.407,MARIACHISCLASSICS
Que Chulada De Mujer,Vicente Fernández,Vicente Fernandez La Tragedia del Vaquero,180200,False,39,2,1,4,0.291,0.68,0.46,0,0.103,-4.262,0.0322,0.865,117.233,MARIACHISCLASSICS
La Mano de Dios,José Alfredo Jimenez,La Malagradecida,161840,False,47,0,1,3,0.836,0.463,0.247,0,0.111,-10.489,0.0481,0.586,84.366,MARIACHISCLASSICS
En Tu Pelo,Pepe Aguilar,No Soy de Nadie,157881,False,0,4,0,4,0.591,0.567,0.491,7.63e-06,0.107,-7.769,0.03,0.696,145.896,MARIACHISCLASSICS
Guadalajara,Vicente Fernández,Lo Mejor De La Baraja Con El Rey,277893,False,39,4,1,1,0.63,0.485,0.732,0.000237,0.24,-5.056,0.0505,0.6,97.19,MARIACHISCLASSICS
Caminos de Michoacán,Federico Villa,15 Exitos De Federico Villa - Versiones Originales,209666,False,0,10,1,4,0.479,0.589,0.483,0,0.331,-6.285,0.0336,0.804,123.589,MARIACHISCLASSICS
Contigo Aprendí,Alejandro Fernández,Lo Esencial De Alejandro Fernández,205506,False,42,9,1,4,0.739,0.515,0.233,3.16e-05,0.187,-12.238,0.0323,0.348,87.309,MARIACHISCLASSICS
