Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Suburban Forest Rain 1,Aquagirl,Suburban Forest Rain,138000,False,62,2,1,1,0.0532,0.159,0.985,0.000141,0.509,-13.623,0.0699,0.0189,131.488,NatureSounds
Birds in Forest Rainfall,Zen Master,Portraits of Rain,204062,False,56,10,0,4,0.228,0.13,1.0,0.494,0.827,-14.223,0.0697,1e-05,97.381,NatureSounds
Quiet Rain in River,Stereo Outdoor Sampling,Rain White Noise,120083,False,71,0,0,4,0.125,0.166,0.00133,0.846,0.233,-23.291,0.215,0.0218,119.669,NatureSounds
Power and Meditation,Yùhé 愈合,Terapheutic Thunder,179938,False,64,1,1,4,0.0284,0.192,0.648,0.969,0.112,-17.202,0.127,0.087,81.918,NatureSounds
Forest Rain,Rain Recordings,Peaceful Rain Recordings,170000,False,74,3,0,4,0.902,0.0771,1.0,0.613,0.845,-16.54,0.0508,1e-05,171.623,NatureSounds
Distant Thunder in the East of the City,Naturalis,The Rain,183028,False,56,1,0,3,0.00469,0.186,0.996,0.787,0.825,-15.144,0.0912,0.0133,80.811,NatureSounds
Empowering Rain,Four Winds,Rain Mantra,171875,False,60,11,0,4,0.181,0.165,0.999,0.982,0.583,-16.093,0.0722,1e-05,125.579,NatureSounds
Birds By The River,Blueberry House Meditations,Birds By The River,157500,False,57,4,0,3,0.65,0.164,1.0,0.907,0.926,-11.212,0.0574,1e-05,128.42,NatureSounds
Small Forest River,The Relaxing Sounds of Swedish Nature,Small Forest River,212000,False,51,1,0,4,0.477,0.138,1.0,0.68,0.969,-18.148,0.0624,1e-05,101.16,NatureSounds
Dripping Wet Leaves and Thunder,Wonderful Escape,Thunderstorms vol II,228500,False,55,1,1,4,0.128,0.175,0.309,0.91,0.355,-37.508,0.0467,0.0394,93.231,NatureSounds
Atlanta Rain,Natsound,Rainy Summer Days,170000,False,52,9,0,4,0.117,0.0754,0.975,0.955,0.374,-32.264,0.077,1e-05,60.149,NatureSounds
Rain in the Woods,Outdoor Field Recorders,Out in Nature,208047,False,54,1,1,3,0.122,0.174,0.872,0.886,0.374,-27.178,0.0875,0.00433,84.061,NatureSounds
Bustling River Sounds,Rivers and Streams,Soothing River Sounds,170000,False,58,6,0,3,0.83,0.206,1.0,0.982,0.962,-14.123,0.0443,1e-05,94.88,NatureSounds
Chill Waves & Wind in Leaves,Pinetree Way,Waves,241374,False,59,10,0,1,0.594,0.141,1.0,0.994,0.571,-14.729,0.117,1e-05,102.045,NatureSounds
Bird Showers,Creatress,Umbrella Weather,142000,False,53,4,1,3,0.941,0.341,0.999,0.945,0.95,-14.631,0.0632,0.00629,75.915,NatureSounds
Smoothe Suburban Forest Rain 2,Mori Desu,Smoothe Suburban Forest Rain,154000,False,52,2,1,4,0.16,0.191,0.996,0.978,0.709,-13.967,0.0711,1e-05,110.754,NatureSounds
Light Forest Rain 2,Smoothe Sounds,Light Forest Rain,146000,False,58,7,0,4,0.275,0.262,0.999,0.986,0.428,-13.704,0.107,0.00477,102.779,NatureSounds
Suburban Forest Rain 2,Aquagirl,Suburban Forest Rain,129000,False,58,6,0,4,0.0541,0.167,0.96,0.000119,0.431,-14.325,0.0673,0.0222,124.46,NatureSounds
Forest Rain Frogs,Natsound,Rainy Summer Days,170000,False,51,3,0,3,0.12,0.0947,0.987,0.949,0.575,-31.161,0.0539,1e-05,89.262,NatureSounds
