Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Dance of Death - 2015 Remaster,Iron Maiden,Dance of Death (2015 Remaster),516426,False,54,4,0,4,0.0466,0.311,0.876,0.00442,0.134,-5.115,0.0936,0.296,124.584,NICE
Fade To Black - Remastered,Metallica,Ride The Lightning (Deluxe / Remastered),417226,False,67,7,1,4,0.00369,0.256,0.924,0.234,0.114,-6.685,0.113,0.28,113.574,NICE
Battery,Metallica,Master Of Puppets (Remastered),312360,False,62,11,0,4,0.00022,0.481,0.928,0.558,0.106,-8.799,0.0672,0.427,96.699,NICE
Painkiller,Judas Priest,Painkiller,365826,False,65,1,0,4,0.000195,0.435,0.987,0.0847,0.268,-4.667,0.16,0.101,103.16,NICE
Electric Eye,Judas Priest,Screaming For Vengeance Special 30th Anniversary Edition,222440,False,59,4,0,4,0.000716,0.437,0.948,0.000261,0.146,-6.041,0.0554,0.361,96.72,NICE
Hellrider,Judas Priest,Angel Of Retribution,383573,False,42,11,1,4,0.00461,0.371,0.965,0.139,0.0488,-5.905,0.106,0.0395,157.983,NICE
Mouth for War,Pantera,Vulgar Display of Power,237346,True,58,8,0,4,4.2e-06,0.329,0.954,0.000614,0.051,-7.006,0.0722,0.627,156.899,NICE
Raining Blood,Slayer,Reign In Blood (Expanded),255186,False,0,1,0,4,0.000417,0.301,0.995,0.295,0.125,-4.394,0.159,0.0374,88.15,NICE
South Of Heaven,Slayer,South Of Heaven,298533,True,0,5,0,4,0.000139,0.314,0.991,0.0652,0.11,-3.852,0.349,0.0396,138.777,NICE
Master Of Puppets,Metallica,Master Of Puppets,515240,False,0,4,0,4,0.00143,0.534,0.749,0.221,0.0983,-12.691,0.0346,0.595,105.293,NICE
Seek & Destroy - Remastered,Metallica,Kill 'Em All (Remastered),414720,False,0,9,1,4,0.037,0.445,0.964,0.0132,0.0773,-5.493,0.282,0.448,140.817,NICE
Enter Sandman,Metallica,Metallica,331266,False,1,6,0,4,0.00213,0.577,0.828,0.0114,0.0581,-8.691,0.0298,0.604,123.257,NICE
This Day We Fight!,Megadeth,ENDGAME,207440,False,37,0,1,4,5.28e-06,0.369,0.996,0.398,0.31,-2.561,0.105,0.083,164.974,NICE
B.Y.O.B.,System Of A Down,Mezmerize,255466,True,75,1,0,4,0.00662,0.556,0.981,0,0.218,-2.688,0.128,0.716,101.423,NICE
Chop Suey!,System Of A Down,Toxicity,210240,False,80,7,0,4,0.000278,0.419,0.934,0.0015,0.132,-3.908,0.12,0.286,127.288,NICE
Toxicity,System Of A Down,Toxicity,218933,False,78,8,1,3,0.000264,0.413,0.873,0.0025,0.204,-4.151,0.0535,0.481,116.681,NICE
Holy Diver,Dio,Holy Diver,340640,False,66,10,0,4,0.0125,0.473,0.783,0.475,0.268,-10.671,0.0869,0.124,91.976,NICE
Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary),284120,False,70,2,1,4,0.00269,0.568,0.981,0.00275,0.0243,-3.889,0.0887,0.307,135.146,NICE
Duality,Slipknot,Vol. 3: The Subliminal Verses,252613,False,76,4,0,4,0.000237,0.354,0.982,0.000294,0.204,-3.026,0.168,0.194,143.772,NICE
