Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Jumpman,"Drake,Future",What A Time To Be Alive,205879,True,0,1,1,4,0.0462,0.853,0.558,0,0.341,-7.448,0.202,0.654,142.079,Nigro
2 Phones,Kevin Gates,Islah (Deluxe),240000,True,68,7,0,4,0.157,0.895,0.681,0,0.189,-5.267,0.358,0.554,121.918,Nigro
Black and Yellow,Wiz Khalifa,Rolling Papers,217666,True,75,2,0,4,0.0646,0.684,0.834,0,0.271,-4.524,0.0675,0.538,164.02,Nigro
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),363521,True,1,7,1,4,0.403,0.712,0.838,0,0.809,-2.679,0.313,0.607,148.138,Nigro
Alphabet Aerobics,"Blackalicious,Lateef The Truthspeaker,Cut Chemist",A2G EP,133800,False,53,10,0,4,0.0196,0.65,0.515,0,0.0974,-8.722,0.198,0.885,97.052,Nigro
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),"Lil Dicky,Fetty Wap,Rich Homie Quan",Professional Rapper,290835,True,39,2,1,4,0.114,0.858,0.697,0,0.224,-5.361,0.23,0.364,98.012,Nigro
Broccoli,"Shelley FKA DRAM,Lil Yachty",Broccoli,225205,True,66,8,1,4,0.236,0.886,0.525,0,0.057,-7.39,0.132,0.708,145.99,Nigro
Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. The World,198944,True,74,5,0,4,0.0541,0.795,0.568,0,0.108,-7.817,0.142,0.478,136.173,Nigro
Keep The Family Close,Drake,Views,328906,True,0,9,0,3,0.132,0.373,0.56,0,0.381,-7.615,0.0448,0.187,98.858,Nigro
9,Drake,Views,255786,True,0,2,1,4,0.00113,0.703,0.699,0.000779,0.246,-7.322,0.044,0.0393,99.991,Nigro
U With Me?,Drake,Views,297373,True,0,2,1,4,0.376,0.442,0.421,7.23e-06,0.139,-11.455,0.137,0.111,87.694,Nigro
Hype,Drake,Views,209413,True,0,7,1,4,0.0259,0.785,0.633,0,0.368,-8.223,0.169,0.244,129.97,Nigro
Redemption,Drake,Views,333946,True,0,0,1,4,0.625,0.66,0.311,1.29e-06,0.116,-8.681,0.113,0.357,119.237,Nigro
With You,"Drake,PARTYNEXTDOOR",Views,195053,True,0,1,1,4,0.152,0.872,0.407,0.000188,0.112,-10.036,0.256,0.802,127.97,Nigro
Still Here,Drake,Views,189853,True,0,0,1,3,0.0212,0.834,0.438,0,0.649,-9.577,0.152,0.207,133.958,Nigro
Controlla,Drake,Views,245226,True,0,10,0,5,0.0773,0.607,0.476,0,0.113,-11.076,0.249,0.347,122.976,Nigro
One Dance,"Drake,WizKid,Kyla",Views,173986,False,3,1,1,4,0.00784,0.791,0.619,0.00423,0.351,-5.886,0.0532,0.371,103.989,Nigro
Grammys,"Drake,Future",Views,220426,True,0,1,1,4,0.00175,0.711,0.44,2.73e-06,0.0798,-9.509,0.471,0.121,145.116,Nigro
Too Good,"Drake,Rihanna",Views,263373,True,1,7,1,4,0.0573,0.804,0.648,3.49e-05,0.102,-7.805,0.117,0.392,117.983,Nigro
Fire & Desire,Drake,Views,238120,True,0,1,0,4,0.0803,0.709,0.259,0,0.0855,-14.341,0.0892,0.265,79.839,Nigro
Views,Drake,Views,311960,True,0,5,1,4,0.07,0.446,0.871,0,0.243,-5.837,0.367,0.0795,78.119,Nigro
Hotline Bling,Drake,Views,267066,False,0,2,1,4,0.00347,0.903,0.62,0.000119,0.0504,-8.094,0.0587,0.539,134.96,Nigro
Low Life (feat. The Weeknd),"Future,The Weeknd",EVOL,313546,True,74,8,1,4,0.337,0.722,0.331,0.283,0.146,-7.789,0.0725,0.102,143.974,Nigro
Chill Bill (feat. J. Davi$ & Spooks),"Rob $tone,J. Davi$,Spooks",Chill Bill (feat. J. Davi$ & Spooks),177184,True,77,6,1,4,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,0.23,108.034,Nigro
