Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Dark Secrets,No name faces,Dark Secrets,312600,False,25,2,1,4,7.66e-06,0.602,0.862,0.221,0.141,-5.863,0.0332,0.403,99.995,NewBlood
Dead and Gone,Devil's Cut,Dead and Gone,163000,False,20,2,0,4,4.94e-05,0.501,0.956,0,0.063,-4.403,0.0522,0.487,100.045,NewBlood
Sleight of Hand,Softspoken,Sleight of Hand,226500,False,24,1,0,4,0.00306,0.51,0.939,0,0.457,-4.534,0.0515,0.355,106.988,NewBlood
Suffer More,Bather,Suffer More,254399,False,12,0,1,4,3.82e-06,0.102,0.875,0.427,0.711,-3.796,0.0806,0.171,84.139,NewBlood
Burn,Fragile Hearts,Burn,190870,True,14,1,1,4,0.00775,0.459,0.986,0.000364,0.0723,-2.93,0.337,0.218,169.941,NewBlood
Dead Ends,Nicolas Cage Fighter,Dead Ends,201962,True,22,1,1,4,1.7e-06,0.22,0.884,0.948,0.0768,-7.053,0.0814,0.311,83.215,NewBlood
fourpercent,To Kill Achilles,fourpercent,174004,False,19,1,1,4,2.22e-05,0.303,0.932,1.99e-06,0.414,-9.859,0.173,0.128,197.158,NewBlood
The Suffering,Moments,Is There a Cure?,269786,False,16,1,1,4,0.00012,0.118,0.964,0.139,0.337,-4.06,0.436,0.107,200.003,NewBlood
Jaded Eyes (feat. Xersize),"Writing The Future,Xersize",Jaded Eyes (feat. Xersize),223476,True,21,1,0,4,0.000169,0.474,0.992,1.22e-05,0.0849,-3.434,0.115,0.521,155.038,NewBlood
Kid Forever,Show Me Your Universe,Kid Forever,219493,False,19,5,1,4,0.0031,0.224,0.936,0.208,0.184,-7.164,0.147,0.104,78.988,NewBlood
Comforting Lies // Unpleasant Truths,Dissonants,Comforting Lies // Unpleasant Truths,226285,True,16,2,1,3,6.43e-05,0.251,0.977,0,0.0839,-3.68,0.101,0.16,175.232,NewBlood
Confined,Neverland In Ashes,Confined,233841,False,20,7,1,4,0.00013,0.368,0.892,0.00123,0.566,-10.343,0.0654,0.114,194.978,NewBlood
Self Affliction,Ursus,Self Affliction,243066,True,9,8,1,4,1.59e-05,0.363,0.976,0.0268,0.332,-3.902,0.106,0.298,175.062,NewBlood
Loved & Lost,Glass Heart,Loved & Lost,244500,False,19,11,0,4,0.000186,0.499,0.905,0,0.072,-9.354,0.0585,0.418,110.019,NewBlood
You Are No Exception,Godeater,You Are No Exception,164482,False,14,6,1,4,7.08e-05,0.422,0.919,0,0.213,-6.811,0.0694,0.111,112.352,NewBlood
Imperfection,Bury Me Alive,Imperfection,210574,True,26,11,0,4,0.000251,0.527,0.913,0.00271,0.0697,-2.838,0.0753,0.499,140.051,NewBlood
Deep Cove,INSPIRIT,Deep Cove,142280,False,29,11,0,4,1.42e-05,0.44,0.989,0.00201,0.346,-4.177,0.0941,0.317,75.008,NewBlood
