Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Enter Sandman,Metallica,Metallica,331266,False,79,6,0,4,0.00213,0.577,0.828,0.0114,0.0581,-8.691,0.0298,0.604,123.257,OldMetal
Coma,Overkill,Horrorscope,322266,False,39,8,1,4,0.000188,0.29,0.917,0.659,0.0814,-12.687,0.101,0.148,93.009,OldMetal
More Than Meets The Eye,Napalm Death,Fear Emptiness Depair,235826,False,33,6,0,4,3.95e-06,0.218,0.969,0.476,0.295,-7.379,0.0743,0.3,92.637,OldMetal
Wasting Love - 2015 Remaster,Iron Maiden,Fear of the Dark (2015 Remaster),351026,False,65,4,0,4,0.00562,0.324,0.667,3.56e-05,0.0873,-5.373,0.0321,0.29,142.503,OldMetal
People of the Lie,Kreator,Coma of Souls,195880,False,44,9,1,4,0.000342,0.515,0.942,0.227,0.0945,-8.789,0.0385,0.481,92.52,OldMetal
Tornado Of Souls,Megadeth,Rust In Peace,322933,False,47,7,1,4,0.00215,0.405,0.932,0.0317,0.072,-11.151,0.0929,0.408,194.639,OldMetal
Down For Life,Testament,The Gathering (Remastered),203680,False,0,1,1,4,5.4e-06,0.344,0.955,0.111,0.0665,-10.614,0.0444,0.352,111.67,OldMetal
Ramones,Motörhead,1916,85866,False,43,1,1,4,0.138,0.387,0.959,0.0126,0.567,-6.317,0.0415,0.666,118.175,OldMetal
Infinite,Forbidden,Twisted Into Form,355800,False,32,11,1,4,0.00204,0.295,0.994,0.0166,0.143,-4.711,0.314,0.0678,95.921,OldMetal
Chopped in Half,Obituary,Cause of Death (Reissue),225360,False,44,10,0,4,6.72e-06,0.257,0.989,0.521,0.263,-5.918,0.0867,0.385,109.267,OldMetal
Rehab,DOWN,Nola,243000,True,41,6,0,4,0.00089,0.448,0.942,0.146,0.28,-4.788,0.0486,0.346,98.315,OldMetal
Phoenix Rising,Annihilator,Set The World On Fire,228546,False,45,2,0,4,0.0107,0.598,0.76,1.07e-05,0.343,-5.822,0.0295,0.164,120.488,OldMetal
Electric Crown,Testament,The Ritual,330226,False,51,1,1,4,0.00397,0.363,0.905,0.000402,0.375,-7.781,0.0519,0.53,81.292,OldMetal
Cultivate,Mudvayne,The Beginning Of All Things To End,257533,True,39,7,1,4,0.00108,0.429,0.746,7.09e-05,0.0835,-4.917,0.0489,0.664,88.656,OldMetal
The American Way,Sacred Reich,The American Way,221640,False,47,0,1,4,0.000968,0.53,0.99,0.0259,0.0626,-4.676,0.084,0.582,148.524,OldMetal
Only,Anthrax,Sound Of White Noise,296306,False,0,11,1,4,0.00298,0.47,0.978,0,0.41,-5.437,0.162,0.0708,111.223,OldMetal
Forever and One (Neverland),Helloween,The Time of the Oath,234533,False,55,8,0,3,0.0575,0.176,0.726,3.01e-06,0.148,-7.074,0.0537,0.374,185.66,OldMetal
