Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Someone to Watch Over Me - 78rpm Version,Frank Sinatra,The Essential Frank Sinatra,198800,False,32,9,1,4,0.95,0.233,0.199,1.73e-05,0.317,-16.766,0.0384,0.114,110.554,Oldgramphone
Stormy Weather,Frank Sinatra,The Essential Frank Sinatra,252626,False,24,3,1,3,0.982,0.326,0.146,0.00166,0.14,-16.128,0.0325,0.207,98.958,Oldgramphone
When Your Lover Has Gone,Frank Sinatra,The Essential Frank Sinatra,172560,False,15,4,1,4,0.821,0.228,0.222,0.0816,0.402,-13.236,0.0346,0.0836,79.559,Oldgramphone
Falling In Love with Love,Frank Sinatra,The Essential Frank Sinatra,164506,False,18,8,1,4,0.87,0.213,0.182,1.23e-05,0.316,-14.866,0.03,0.178,85.996,Oldgramphone
Guess I'll Hang My Tears Out To Dry,Frank Sinatra,The Essential Frank Sinatra,203360,False,17,10,1,3,0.907,0.231,0.11,1.83e-06,0.118,-17.184,0.0394,0.228,167.676,Oldgramphone
"Goodnight, My Love - 1991 Remastered","Benny Goodman,Ella Fitzgerald",Falling In Love With Benny Goodman,189493,False,28,7,0,4,0.949,0.609,0.151,0.00402,0.0334,-10.495,0.0394,0.67,109.649,Oldgramphone
All or Nothing at All (with Harry James & His Orchestra),"Frank Sinatra,Harry James",The Essential Frank Sinatra,177066,False,28,2,0,4,0.984,0.306,0.13,0.0142,0.269,-14.604,0.0306,0.243,84.631,Oldgramphone
If You Are But A Dream - 78 rpm Version,Frank Sinatra,The Essential Frank Sinatra,183160,False,22,10,1,3,0.923,0.193,0.273,0.106,0.228,-13.671,0.0368,0.145,138.164,Oldgramphone
Night and Day,Frank Sinatra,The Essential Frank Sinatra,198293,False,25,2,1,5,0.872,0.16,0.135,4.63e-06,0.114,-17.225,0.0344,0.136,77.824,Oldgramphone
Sweet Lorraine - 78rpm Version,Frank Sinatra,The Essential Frank Sinatra,191733,False,22,0,0,4,0.887,0.64,0.285,1.43e-05,0.202,-15.379,0.0913,0.711,114.558,Oldgramphone
Nancy (With The Laughing Face),Frank Sinatra,The Essential Frank Sinatra,191306,False,29,1,1,5,0.986,0.265,0.103,0.000429,0.117,-19.601,0.0353,0.159,86.241,Oldgramphone
