Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Higher Ground (feat. John Martin),"Martin Garrix,John Martin",Higher Ground (feat. John Martin),206279,False,74,1,1,4,0.0841,0.442,0.619,0,0.0889,-5.28,0.0321,0.382,128.318,POWERHOUR
Astronomia,"Vicetone,Tony Igy",Astronomia,198095,False,76,5,1,4,0.00561,0.653,0.945,0.915,0.439,-2.634,0.096,0.326,126.093,POWERHOUR
Goosebumps,HVME,Goosebumps,163208,True,85,1,1,4,0.325,0.767,0.659,0,0.13,-7.429,0.0444,0.439,124.946,POWERHOUR
Get in Trouble (So What),"Dimitri Vegas & Like Mike,Vini Vici,Dimitri Vegas",Get in Trouble (So What),161739,False,67,1,1,4,0.000206,0.558,0.99,0.376,0.0797,-3.877,0.128,0.0738,138.074,POWERHOUR
Physical,Dua Lipa,Future Nostalgia,193829,False,80,0,1,4,0.0137,0.647,0.844,0.000658,0.102,-3.756,0.0457,0.746,146.967,POWERHOUR
Drown (feat. Clinton Kane) - Nicky Romero Remix,"Martin Garrix,Clinton Kane,Nicky Romero",Drown (feat. Clinton Kane) [Nicky Romero Remix],187380,False,54,6,0,4,0.0355,0.589,0.698,0,0.0773,-5.491,0.0553,0.437,126.094,POWERHOUR
Let's Love,"David Guetta,Sia",Let's Love,200645,False,82,5,1,4,0.00882,0.662,0.868,0.00244,0.584,-4.025,0.0341,0.353,92.998,POWERHOUR
Strings Again,Matisse & Sadko,Strings Again,186964,False,50,5,1,4,0.00231,0.379,0.909,0.0449,0.58,-4.617,0.0649,0.273,125.946,POWERHOUR
Mr. Brightside,Don Diablo,Mr. Brightside,226666,False,62,1,1,4,0.054,0.55,0.865,0,0.0859,-3.783,0.0725,0.246,126.093,POWERHOUR
The Chase,"Dimitri Vegas & Like Mike,Quintino",The Chase,194571,False,59,5,0,4,0.00106,0.564,0.897,0.674,0.0967,-5.794,0.0814,0.226,139.999,POWERHOUR
All Night (feat. Ally Brooke),"Afrojack,Ally Brooke",All Night (feat. Ally Brooke),166413,False,66,0,0,4,0.123,0.593,0.877,0,0.503,-3.825,0.0677,0.635,123.76,POWERHOUR
Don't Say Goodbye (feat. Tove Lo),"Alok,Ilkay Sencan,Tove Lo",Don't Say Goodbye (feat. Tove Lo),186700,False,80,0,0,4,0.00829,0.698,0.719,4.01e-06,0.326,-4.923,0.0455,0.364,120.062,POWERHOUR
The Business,Tiësto,The Business,164000,False,87,8,0,4,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,0.235,120.031,POWERHOUR
Kill Me Better,"Don Diablo,Imanbek,Trevor Daniel",Kill Me Better,193568,False,68,8,1,4,0.108,0.477,0.784,0,0.135,-3.598,0.0549,0.504,79.887,POWERHOUR
Still Around,"Justin Mylo,SMBDY",Still Around,175900,True,46,3,1,4,0.158,0.581,0.75,0,0.102,-5.739,0.0448,0.484,127.993,POWERHOUR
Day N' Night,"VAVO,ZHIKO",Day N' Night,161206,False,47,3,0,4,0.00693,0.739,0.795,0.0236,0.111,-7.248,0.0363,0.543,124.999,POWERHOUR
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach,Quarterhead,Norma Jean Martine",Head Shoulders Knees & Toes (feat. Norma Jean Martine),156960,False,78,2,1,4,0.0247,0.798,0.828,2.55e-06,0.121,-5.36,0.193,0.6,124.962,POWERHOUR
Stay - Festival Mix,Nicky Romero,Stay (Festival Mix),208690,False,49,3,1,4,0.352,0.545,0.657,0,0.116,-6.148,0.0572,0.341,126.028,POWERHOUR
I Can Feel Alive (feat. A R I Z O N A),"R3HAB,A R I Z O N A",I Can Feel Alive (feat. A R I Z O N A),167213,False,58,0,0,4,0.0507,0.73,0.767,0,0.145,-5.414,0.0569,0.376,122.018,POWERHOUR
