Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Loko Kuerdo,Txapelpunk,¡Vaya Full!,134920,False,39,9,1,4,0.0198,0.674,0.975,0,0.0991,-2.973,0.0461,0.918,130.01,PunkEspanol
Esclavos del Siglo XXI,Gatillazo,Siglo XXI,159826,False,47,9,1,4,0.000174,0.486,0.968,0,0.318,-5.862,0.0559,0.409,102.017,PunkEspanol
Su Falso Mundo - original,Kaos Etíliko,No Hay Agua,198773,False,46,9,1,4,0.0235,0.755,0.786,0,0.137,-6.417,0.0326,0.855,136.085,PunkEspanol
Mi Primer Amor,Piperrak,Arde Ribera,170686,False,49,6,1,4,0.0036,0.382,0.884,3.85e-05,0.275,-6.165,0.0485,0.825,124.191,PunkEspanol
Tenemos a la Pasma,Lendakaris Muertos,Cicatriz en la Matrix,118986,False,36,4,0,4,0.000281,0.505,0.991,0,0.398,-3.072,0.105,0.347,95.961,PunkEspanol
Ante la Muerte,Kaos Urbano,Ante la Muerte,200320,False,1,9,0,4,0.00494,0.352,0.748,2.83e-06,0.466,-4.198,0.113,0.568,169.919,PunkEspanol
Así Es la Vida,Los De Marras,Vulnerable,233200,False,24,4,1,4,0.00387,0.593,0.92,1.8e-06,0.233,-3.289,0.0408,0.595,115.147,PunkEspanol
A Ras del Suelo,Envidia Kotxina,Kontratiempos,154893,False,19,2,1,4,0.037,0.71,0.959,0.00021,0.0636,-4.461,0.133,0.329,97.597,PunkEspanol
Tus Bragas,El Último Ke Zierre,Ay De Mi!,198135,True,41,9,1,4,0.166,0.293,0.862,0,0.186,-4.206,0.0965,0.621,190.322,PunkEspanol
"Ja, Ja, Ja",The Meas,Buscándose La Vida,168520,True,37,2,1,4,0.00113,0.264,0.95,0.00712,0.758,-4.95,0.148,0.4,166.943,PunkEspanol
Seguiremos Juntos,Arkada Social,Hil Orduko Bizi,221284,False,38,2,1,4,0.000249,0.488,0.968,0.000982,0.108,-5.551,0.032,0.748,96.008,PunkEspanol
Jarama,Boikot,Jarama,217595,False,45,0,0,4,0.0102,0.555,0.91,0.000132,0.143,-5.054,0.0548,0.636,149.682,PunkEspanol
Somos Revolución,AlaDeMoska,Revolución,243089,False,0,0,1,4,0.00186,0.627,0.95,7.55e-05,0.343,-5.067,0.0635,0.61,105.002,PunkEspanol
El 4k Se Llevó a Mi Chica,Lendakaris Muertos,Podrán Cortar la Droga Pero No la Primavera,137317,False,40,11,0,4,0.0165,0.469,0.939,0,0.121,-3.646,0.054,0.7,157.823,PunkEspanol
Cenizas del Capitalismo,"No Konforme,Segismundo Toxicómano",Cenizas del Capitalismo,152240,False,0,2,1,4,0.0302,0.594,0.926,0,0.391,-5.609,0.138,0.589,154.066,PunkEspanol
El Mesías,Arpaviejas,Ladrón de Almas,193123,False,34,5,1,4,0.000764,0.537,0.78,0,0.485,-7.395,0.0369,0.855,100.132,PunkEspanol
Amar Mata,RADIOCRIMEN,Antecedentes,182133,False,0,2,1,4,0.0847,0.541,0.943,0,0.223,-3.288,0.0527,0.727,130.04,PunkEspanol
