Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Судно (Борис Рижий),Molchat Doma,Этажи,141394,False,77,1,1,4,0.699,0.484,0.749,0.861,0.105,-4.176,0.0687,0.468,160.006,PunkUnleashed
i'm gonna tell my therapist on you,Pinkshift,i'm gonna tell my therapist on you,161062,False,45,8,1,4,0.000318,0.408,0.904,0.274,0.0634,-4.29,0.0499,0.4,95.03,PunkUnleashed
We're All Gonna Die!!!,Baby FuzZ,We're All Gonna Die!!!,152236,True,41,10,0,4,0.00958,0.676,0.961,0,0.258,-3.265,0.207,0.639,107.963,PunkUnleashed
System,Curtis Waters,System,129116,True,3,2,1,4,0.248,0.717,0.866,0,0.385,-3.662,0.0474,0.734,154.889,PunkUnleashed
Throat,Salem,Salem,207800,False,38,1,1,4,0.0157,0.384,0.863,0.397,0.379,-4.866,0.0609,0.833,76.883,PunkUnleashed
Manifesto,Sprints,Manifesto,168066,False,34,7,1,4,0.00299,0.489,0.655,0.00417,0.213,-8.783,0.177,0.463,156.368,PunkUnleashed
Never Thought,Mel Bryant & the Mercy Makers,Never Thought,118811,True,36,7,1,4,0.678,0.46,0.396,4.94e-06,0.194,-11.119,0.0643,0.537,155.903,PunkUnleashed
skeletons,snake eyes,skeletons,204471,False,37,8,1,4,0.000426,0.67,0.779,0.794,0.184,-6.753,0.0564,0.226,127.974,PunkUnleashed
I Got Knocked out the Same Night England Did,Bilk,I Got Knocked out the Same Night England Did,139564,True,37,0,1,4,0.000714,0.647,0.903,0.000369,0.353,-2.3,0.193,0.774,97.982,PunkUnleashed
I'm Yer Dad,GRLwood,Daddy,144108,True,68,0,1,4,0.0106,0.551,0.953,0.474,0.118,-4.695,0.17,0.176,128.462,PunkUnleashed
HE WHO SOLD HIS SOUL,PRXJEK,HE WHO SOLD HIS SOUL,103235,True,34,9,0,4,0.00328,0.676,0.794,0.00398,0.112,-4.641,0.0511,0.94,149.983,PunkUnleashed
Drunk n Disorderly,The Chats,High Risk Behaviour,75760,True,46,9,1,4,0.0165,0.509,0.733,0,0.404,-5.909,0.126,0.676,109.736,PunkUnleashed
