Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias,Wisin",DUELE EL CORAZON (feat. Wisin),200813,False,70,8,0,4,0.0786,0.724,0.904,0,0.226,-3.354,0.0966,0.846,90.999,REGGAETON
Baila Conmigo,"Juan Magán,Luciana",Baila Conmigo,194800,False,0,6,0,4,0.0824,0.885,0.703,2.39e-05,0.0639,-6.468,0.0878,0.824,100.002,REGGAETON
Bobo,J Balvin,Bobo,209600,False,0,10,1,4,0.109,0.73,0.885,1.73e-05,0.117,-2.902,0.116,0.799,177.939,REGGAETON
Picky,Joey Montana,Picky,180639,False,0,1,1,4,0.151,0.806,0.753,0,0.283,-4.702,0.0681,0.805,93.267,REGGAETON
Traidora (feat. Marc Anthony),"Gente De Zona,Marc Anthony",Traidora (feat. Marc Anthony),216453,False,4,10,1,4,0.222,0.713,0.925,0,0.37,-4.949,0.0549,0.532,94.987,REGGAETON
Me Voy Enamorando - Remix,"Chino & Nacho,Farruko,Arbise González",Radio Universo,215799,False,0,10,1,4,0.0864,0.71,0.866,0,0.385,-4.503,0.0608,0.518,99.958,REGGAETON
Vuelve,"Juan Magán,Paulina Rubio,DCS",The King Is Back (#LatinIBIZAte),213240,False,0,5,1,4,0.641,0.655,0.69,0,0.0909,-6.513,0.0383,0.938,174.089,REGGAETON
Sígueme Y Te Sigo,Daddy Yankee,Sígueme Y Te Sigo,209786,False,0,11,1,4,0.0723,0.745,0.882,2.45e-05,0.73,-3.636,0.0407,0.693,100.014,REGGAETON
Hasta el Amanecer,Nicky Jam,Hasta el Amanecer,197213,False,0,6,0,4,0.283,0.837,0.608,0,0.0855,-6.046,0.0381,0.582,94.0,REGGAETON
Ginza - Remix,"J Balvin,Yandel,Farruko,Nicky Jam,De La Ghetto,Daddy Yankee,Zion,Arcangel,Sky Rompiendo,Alejandro ""Mosty"" Patiño",Ginza (Remix),373960,False,59,5,0,4,0.129,0.71,0.88,0,0.0935,-3.16,0.211,0.826,102.166,REGGAETON
Él No Te Da,Dasoul,Él No Te Da,248280,False,0,9,0,4,0.0134,0.794,0.803,0,0.0364,-4.409,0.0377,0.476,105.039,REGGAETON
Candy,Plan B,Love and Sex,207626,False,0,11,0,4,0.252,0.897,0.864,0,0.517,-3.735,0.147,0.542,95.981,REGGAETON
Guaya Guaya,Don Omar,The Last Don II,193612,False,0,9,1,4,0.00654,0.793,0.87,0.000645,0.0776,-2.392,0.129,0.701,92.011,REGGAETON
