Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
"Nocturne No.2 In E Flat, Op.9 No.2","Frédéric Chopin,Daniel Barenboim",Chopin: The Essentials,278413,False,0,3,1,3,0.986,0.444,0.0154,0.938,0.118,-28.87,0.0443,0.0814,106.52,Romanticism
"Prelude in D Minor, Op. 28 No 24: Allegro appassionato","Frédéric Chopin,Grigory Sokolov","Chopin: 24 Preludes, Piano Sonata No. 2, Etudes Op. 25",161800,False,0,2,0,4,0.976,0.255,0.224,0.882,0.281,-18.299,0.0354,0.0463,65.758,Romanticism
"Chopin: Piano Sonata No. 3 in B Minor, Op. 58: I. Allegro maestoso","Frédéric Chopin,Nelson Goerner",Piano Recital,776200,False,26,2,1,3,0.991,0.221,0.0582,0.91,0.158,-26.82,0.0364,0.04,60.303,Romanticism
"Chopin: Waltz No.6 in D flat, Op.64 No.1 -""Minute""","Frédéric Chopin,Jean-Yves Thibaudet",Chopin - The Decca Sound,112906,False,0,8,1,4,0.988,0.287,0.113,0.918,0.125,-24.408,0.0382,0.196,71.846,Romanticism
"Polonaise No. 15 in B-Flat Minor, ""Adieu""","Frédéric Chopin,Eugene Mursky","Chopin, F.: Chopin Edition, Vol. 3 - Polonaises",327480,False,38,10,0,4,0.992,0.351,0.0269,0.878,0.116,-28.267,0.0378,0.0899,68.506,Romanticism
"Chopin: Scherzo No. 2 in B-Flat Minor, Op. 31","Frédéric Chopin,Simon Trpčeski",Chopin: Piano Sonata No. 2 Op. 35 & 4 Scherzos,587053,False,44,1,1,4,0.988,0.382,0.0847,0.897,0.103,-21.505,0.0421,0.0638,131.392,Romanticism
"Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": III. Marche funèbre. Lento","Frédéric Chopin,Leif Ove Andsnes",Chopin,506893,False,46,1,1,4,0.993,0.311,0.00326,0.949,0.0803,-24.979,0.0614,0.0656,66.356,Romanticism
"Symphony No. 2 in C Major, Op. 61 (Version for Piano Duet): III. Langsam","Robert Schumann,Eckerle Piano Duo","Schumann: Arrangements for Piano Duet, Vol. 4",457866,False,3,3,1,4,0.994,0.368,0.0248,0.924,0.0972,-30.176,0.0574,0.0446,73.919,Romanticism
"Symphony No.2 In C, Op.61: 3. Adagio espresssivo","Robert Schumann,Chamber Orchestra of Europe,Yannick Nézet-Séguin",Schumann: The Symphonies,573093,False,12,3,1,4,0.847,0.115,0.00991,0.411,0.0577,-32.731,0.0427,0.0344,61.009,Romanticism
"Symphonic Studies, Op.13 - Version 1852 with Etudes from 1837 version: Variation II. Marcato il canto","Robert Schumann,Mikhail Pletnev","Schumann: Etudes symphonique; Fantasie, Op.17; Bunte Blätter; Arabeske",179666,False,0,1,0,4,0.991,0.276,0.0673,0.887,0.11,-23.707,0.0438,0.0396,69.189,Romanticism
"Märchenerzählungen for Piano, Clarinet and Viola, Op. 132","Robert Schumann,Nash Ensemble",Mozart: Quintet in E-Flat & Trio in E-Flat - Schumann: Märchenerzählungen & Fantasiestücke,275466,False,18,7,1,4,0.991,0.094,0.0326,0.669,0.0769,-24.603,0.0404,0.0515,87.162,Romanticism
"Nachtlied, Op. 108","Robert Schumann,KammerChor Saarbrücken,Deutsche Radio Philharmonie Saarbrücken-Kaiserslautern,Georg Gruen",Schumann: Requiem - Der Königssohn - Nachtlied,588042,False,3,2,1,4,0.972,0.0882,0.0768,0.682,0.341,-23.491,0.0423,0.036,76.743,Romanticism
"Overture, Scherzo and Finale, Op. 52","Robert Schumann,Polish National Radio Symphony Orchestra,Johannes Wildner","Schumann, R.: Overtures",1035640,False,3,4,1,4,0.984,0.248,0.138,0.884,0.223,-18.518,0.0412,0.121,88.325,Romanticism
"Six Poems and Requiem, Op. 90: No. 7 Requiem","Robert Schumann,Murray Perahia,Sir Peter Pears","Schumann: 5 Lieder, op. 40; 6 Poems & Requiem, op. 90; Liederkreis, op. 39",225186,False,0,0,0,4,0.992,0.288,0.112,0.0176,0.122,-17.516,0.0413,0.0394,129.532,Romanticism
"Violin Sonata No. 2 in D Minor, Op. 121: I. Ziemlich langsam - Lebhaft","Robert Schumann,Christian Tetzlaff,Lars Vogt",Schumann: Violin Sonatas,815641,False,7,7,0,4,0.973,0.296,0.083,0.694,0.102,-18.558,0.0412,0.0795,113.231,Romanticism
"Robert Schumann: Arabeske, Op. 18","Robert Schumann,Mieczysław Horszowski","Mozart: Sonata In D Major, K.576, Sonata in F Major, K.332 / Chopin: Nocturen In B Minor, Two Mazurkas / Schumann: Arabeske, Kinderszenen",372000,False,8,0,1,4,0.995,0.244,0.0164,0.904,0.108,-29.351,0.0415,0.125,65.613,Romanticism
"Cello Concerto in A minor, op. 129: Cello Concerto in A minor, op. 129: III. Sehr lebhaft","Robert Schumann,Jean-Guihen Queyras,Freiburger Barockorchester,Pablo Heras-Casado",Schumann: Cello Concerto,475426,False,23,0,1,4,0.944,0.384,0.0852,0.902,0.131,-20.65,0.0436,0.291,117.068,Romanticism
"8 Fantasiestücke, Op.12: 3. Warum?","Robert Schumann,Alfred Brendel",Alfred Brendel: Steinway Legends,142000,False,0,1,1,3,0.994,0.339,0.0144,0.893,0.12,-28.391,0.0377,0.039,69.49,Romanticism
"Concerto Without Orchestra, Op. 14 (Grand Sonata No. 3 in F Minor): III. Quasi variazioni. Andantino de Clara Wieck","Robert Schumann,Vladimir Horowitz",Schumann: Piano Works,439213,False,18,5,0,4,0.987,0.261,0.0585,0.872,0.0887,-22.054,0.0473,0.138,67.242,Romanticism
