Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Cypher #1 (Reggae Cypher),"4 Elementos,Rastachai,Chusterfield,Ander Draw,Pure Nigga,Necrojocker",Cypher #1 (Reggae Cypher),227959,True,61,10,0,4,0.254,0.691,0.785,0,0.0646,-4.403,0.308,0.813,89.86,RapEspanol(TLob)
Contra Todos,995,995,319920,False,46,2,1,4,0.373,0.756,0.728,0,0.167,-5.104,0.481,0.965,88.98,RapEspanol(TLob)
Crudo,"Acru,fernandocosta,Haze",Crudo,224680,True,48,6,0,4,0.0657,0.687,0.827,0,0.223,-4.247,0.213,0.848,93.967,RapEspanol(TLob)
"Afrorue, Pt. 1","Afrojuice 195,Le Rue Boys","Afrorue, Pt. 1",188000,True,0,6,1,4,0.21,0.689,0.896,0,0.388,-4.313,0.27,0.547,140.145,RapEspanol(TLob)
Doggie Juice,Afrojuice 195,Doggie Juice,157574,True,13,10,0,4,0.0428,0.939,0.53,0,0.0853,-8.501,0.278,0.701,100.021,RapEspanol(TLob)
Loco la Cabeza,"Afrojuice 195,Pablo Mas",Loco la Cabeza,141586,False,19,9,0,4,0.071,0.806,0.846,0,0.526,-4.031,0.285,0.686,144.938,RapEspanol(TLob)
Como Mario,Akapellah,Como Mario,184000,True,59,0,1,4,0.149,0.849,0.482,0,0.302,-9.968,0.0887,0.624,74.997,RapEspanol(TLob)
Darko,Anier,Darko,147911,False,8,5,1,4,0.0128,0.812,0.68,0,0.404,-9.737,0.0882,0.912,105.056,RapEspanol(TLob)
Luciffer,Arce,Luciffer,212077,True,45,8,1,4,0.103,0.422,0.809,0,0.275,-7.791,0.0517,0.301,92.039,RapEspanol(TLob)
Allá Dónde Esté,"Asekas,Delaossa",Gurú,222531,True,20,1,1,4,0.0673,0.688,0.614,0,0.11,-11.142,0.525,0.314,79.231,RapEspanol(TLob)
Lutte,AYAX,Amores,245002,True,42,7,1,4,0.15,0.725,0.784,0,0.564,-7.86,0.392,0.651,94.75,RapEspanol(TLob)
La flauta de Hamelin,Ayax y Prok,Albayzín Recopilatorio,390000,True,45,2,1,4,0.101,0.725,0.87,0,0.0833,-5.718,0.316,0.428,97.51,RapEspanol(TLob)
Conejo blanco,"Ayax y Prok,Hard GZ,Garolo",Albayzín Recopilatorio,254693,True,46,5,0,4,0.21,0.639,0.732,0,0.326,-8.999,0.282,0.199,97.821,RapEspanol(TLob)
Desahucio,"Ayax y Prok,Dj Keru",Cara y cruz,205322,True,47,1,1,4,0.135,0.846,0.847,0,0.0889,-4.42,0.248,0.788,93.034,RapEspanol(TLob)
De Graná a Maracay,"Ayax y Prok,Akapellah,Blasfem",De Graná a Maracay,240054,True,51,9,1,3,0.594,0.432,0.817,0,0.0825,-6.794,0.496,0.588,177.54,RapEspanol(TLob)
Fresas con nata,Ayax y Prok,Fresas con nata,210000,True,59,8,1,4,0.126,0.824,0.617,0,0.105,-10.429,0.437,0.814,115.899,RapEspanol(TLob)
