Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
The Traitor,Menahan Street Band,Make the Road By Walking,162266,False,47,3,0,4,0.147,0.628,0.585,0.927,0.0465,-8.036,0.0421,0.618,100.95,RelaxBrunch
Darkest (Dim),"TOKiMONSTA,Gavin Turek",Creature Dreams,309145,False,50,10,0,4,0.0592,0.519,0.551,0.437,0.368,-8.436,0.0333,0.141,86.83,RelaxBrunch
Las Calles del Barrio,Dj 113,Viaje,120006,False,35,8,1,4,0.386,0.806,0.405,0.741,0.129,-7.429,0.0304,0.371,89.988,RelaxBrunch
The World (Is Going Up in Flames) - Instrumental,"Charles Bradley,Menahan Street Band",No Time for Dreaming (The Instrumentals),203331,False,35,5,0,4,0.0362,0.744,0.6,0.793,0.084,-9.334,0.0377,0.871,87.181,RelaxBrunch
Muy Tranquilo,Gramatik,SB3,233755,False,60,7,1,4,0.24,0.641,0.621,0.0299,0.175,-3.88,0.0524,0.749,89.926,RelaxBrunch
Headspace,Epifania,Headspace,133464,False,15,11,0,4,0.434,0.647,0.399,0.563,0.119,-8.938,0.0678,0.841,91.99,RelaxBrunch
Green Onions,Booker T. & the M.G.'s,Green Onions,176333,False,68,10,1,4,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,0.912,136.837,RelaxBrunch
This Girl - Instrumental,Cookin' On 3 Burners,This Girl (Special Edition),241995,False,36,3,1,4,0.197,0.606,0.733,0.637,0.129,-4.748,0.0286,0.764,101.188,RelaxBrunch
Fool's Gold,Nokiaa,Fool's Gold,95670,False,35,2,0,4,0.368,0.659,0.295,0.266,0.11,-8.655,0.534,0.386,161.933,RelaxBrunch
Can't Hold It Back - Instrumental,People Under The Stairs,Highlighter,219173,False,35,1,1,4,0.118,0.785,0.671,0.0161,0.0889,-5.264,0.245,0.734,171.063,RelaxBrunch
Someone Like You (Instrumental),Mayer Hawthorne,Party Of One,249767,False,33,0,0,4,0.0614,0.661,0.541,0.868,0.0485,-5.707,0.0541,0.689,171.963,RelaxBrunch
Finally Moving,Pretty Lights,Taking up Your Precious Time,277975,False,59,1,0,4,0.382,0.735,0.555,0.856,0.0952,-8.84,0.0366,0.523,100.01,RelaxBrunch
Fonnegra,El Arkeologo,Indiana Jones,189125,False,4,1,0,4,0.239,0.796,0.774,0.468,0.392,-7.749,0.0944,0.883,88.019,RelaxBrunch
Like I Usually Do,Q Funktion,Like I Usually Do,168149,False,44,11,1,4,0.222,0.771,0.482,0.57,0.156,-9.262,0.0799,0.146,90.537,RelaxBrunch
Destination,Ruck P,Destination,282061,False,1,7,0,4,0.386,0.761,0.554,0.258,0.12,-7.725,0.0554,0.392,97.03,RelaxBrunch
Dope Vhs Master,Desmond Cheese,Fame & Fortune,314400,False,54,10,0,4,0.754,0.713,0.331,0.901,0.0968,-14.662,0.055,0.44,77.016,RelaxBrunch
No Time For Dreaming - Instrumental,"Charles Bradley,Menahan Street Band",No Time for Dreaming (The Instrumentals),174945,False,33,0,1,4,0.00106,0.71,0.677,0.826,0.0608,-9.975,0.0435,0.666,101.382,RelaxBrunch
Cream On Chrome,Ratatat,Magnifique,255983,False,48,7,0,4,0.0395,0.794,0.687,0.4,0.115,-5.028,0.0746,0.787,100.253,RelaxBrunch
