Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Matinee Idol,Yellowjackets,Yellowjackets,312373,False,42,0,1,4,0.175,0.61,0.647,0.926,0.0421,-15.759,0.0378,0.889,108.528,Slap
Man in the Moon,Yellowjackets,Mirage A Trois,277560,False,31,0,1,4,0.112,0.689,0.422,0.85,0.121,-12.474,0.0304,0.821,95.732,Slap
Top Secret,Yellowjackets,Mirage A Trois,370666,False,31,11,1,4,0.122,0.708,0.693,0.85,0.0562,-14.353,0.0564,0.962,94.277,Slap
Takethis!,Dean Brown,Here,392933,False,16,11,0,4,0.00606,0.554,0.818,0.85,0.0356,-7.108,0.0568,0.804,138.975,Slap
Beneath The Mask,Chick Corea Elektric Band,Beneath The Mask,213866,False,0,11,0,4,0.0287,0.727,0.78,0.747,0.196,-7.135,0.0539,0.823,120.699,Slap
Everything's Cool,Gary Willis,Bent,286266,False,12,10,0,3,0.53,0.606,0.305,0.773,0.0907,-16.128,0.0508,0.629,95.843,Slap
Armageddon Blues,Gary Willis,Bent,371920,False,32,10,0,3,0.034,0.424,0.595,0.872,0.0765,-11.611,0.0891,0.683,151.009,Slap
Sunnyside,Mike Stern,Between The Lines,449306,False,0,2,1,4,0.0587,0.594,0.703,0.752,0.0727,-6.931,0.0354,0.589,77.861,Slap
Mango Prom,Tribal Tech,Primal Tracks,408360,False,6,11,1,4,0.591,0.53,0.505,0.0214,0.0711,-12.185,0.082,0.659,97.471,Slap
Once In A Lifetime,Vital Information,Where We Come From,643613,False,0,2,1,4,0.222,0.347,0.794,0.852,0.0624,-10.24,0.0581,0.427,124.933,Slap
Song for My Father,Victor Wooten,Palmystery,318933,False,22,5,0,4,0.496,0.561,0.561,0.823,0.123,-12.54,0.0361,0.709,129.97,Slap
Savanna,Yellowjackets,Blue Hats,429600,False,18,7,0,4,0.107,0.328,0.514,0.836,0.132,-11.474,0.0289,0.477,81.653,Slap
The World of Fun,Yiorgos Fakanas,Acrobat,522360,False,11,5,1,4,0.325,0.728,0.801,0.672,0.291,-4.39,0.0393,0.812,110.135,Slap
Inevitable Outcome,Yellowjackets,Cohearence,341933,False,19,0,1,3,0.743,0.666,0.734,0.562,0.0551,-9.251,0.034,0.768,104.651,Slap
Watch Your Step,Dave Weckl Band,Multiplicity,329960,False,0,8,1,4,0.118,0.703,0.889,0.879,0.0777,-8.129,0.0395,0.891,113.023,Slap
"Pass Me Not, O Gentle Savior",Victor Wooten,Sword and Stone,211026,False,17,5,1,4,0.637,0.8,0.358,0.853,0.362,-11.923,0.0448,0.632,95.0,Slap
"No Princess, No Island, No God, Pt. 1",Yiorgos Fakanas,Acrobat,273786,False,0,0,1,4,0.475,0.521,0.905,0.863,0.0629,-5.113,0.0384,0.825,131.687,Slap
Tenacity,Yellowjackets,Timeline,367420,False,17,8,1,4,0.527,0.577,0.414,0.072,0.338,-15.128,0.0348,0.439,115.853,Slap
Kung Fu,Adam Nitti,Adam Nitti & Liquid Blue,277952,False,6,11,0,4,0.591,0.619,0.877,0.62,0.202,-7.446,0.054,0.74,115.072,Slap
Fran's Scene,Yellowjackets,Cohearence,348053,False,14,7,1,4,0.709,0.551,0.535,0.757,0.0836,-11.119,0.0309,0.711,115.578,Slap
Not of This World,Adam Nitti,Not of This World,359506,False,24,7,1,4,0.0899,0.557,0.863,0.91,0.157,-8.752,0.0509,0.801,129.887,Slap
