Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
On My Own,Ross Lynch,Teen Beach 2 (Original TV Movie Soundtrack),145413,False,68,7,1,4,0.14,0.669,0.593,0,0.119,-6.628,0.0406,0.281,87.965,SingingattopofourLungs
He Could Be the One,Hannah Montana,Hannah Montana 3,180800,False,67,4,1,4,0.00154,0.602,0.894,0,0.433,-3.975,0.032,0.643,125.988,SingingattopofourLungs
Closer,"The Chainsmokers,Halsey",Closer,244960,False,84,8,1,4,0.414,0.748,0.524,0,0.111,-5.599,0.0338,0.661,95.01,SingingattopofourLungs
The Way,"Ariana Grande,Mac Miller",Yours Truly,227026,False,69,5,0,4,0.294,0.645,0.877,0,0.0759,-3.208,0.113,0.861,82.324,SingingattopofourLungs
The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,190213,False,71,11,1,4,0.332,0.738,0.804,0,0.279,-3.851,0.0621,0.949,174.943,SingingattopofourLungs
Billionaire (feat. Bruno Mars),"Travie McCoy,Bruno Mars",Billionaire (feat. Bruno Mars),211160,True,72,6,0,4,0.297,0.633,0.673,0,0.206,-6.403,0.258,0.659,86.776,SingingattopofourLungs
Miss Independent,Ne-Yo,Year Of The Gentleman,232000,False,70,1,1,4,0.48,0.668,0.673,0,0.194,-5.714,0.145,0.727,171.812,SingingattopofourLungs
Year 3000,Busted,Busted,196200,False,63,11,1,4,0.000219,0.592,0.842,0,0.0934,-6.681,0.0353,0.898,107.015,SingingattopofourLungs
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,281147,False,3,7,1,4,0.181,0.597,0.605,0.000331,0.118,-12.013,0.0255,0.886,97.782,SingingattopofourLungs
Big Girls Don't Cry (Personal),Fergie,The Dutchess Deluxe,268120,False,0,7,1,4,0.173,0.697,0.645,0,0.0892,-4.27,0.0359,0.271,113.101,SingingattopofourLungs
Umbrella,"Rihanna,JAY-Z",Good Girl Gone Bad,275986,False,63,1,1,4,0.0101,0.581,0.827,0,0.0522,-4.566,0.141,0.549,174.013,SingingattopofourLungs
If We Were A Movie,Hannah Montana,Best Of Hannah Montana,183480,False,36,4,1,4,0.00632,0.624,0.867,0,0.0878,-4.7,0.0292,0.831,93.969,SingingattopofourLungs
That Should Be Me,"Justin Bieber,Rascal Flatts",Never Say Never - The Remixes,230786,False,0,5,0,4,0.0281,0.467,0.632,0,0.0633,-6.718,0.0331,0.289,140.055,SingingattopofourLungs
