Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
3:00 AM,Finding Hope,Our Love,201951,False,70,0,0,4,0.563,0.55,0.147,0.00102,0.286,-18.675,0.0404,0.0346,81.991,TheFeelsChico
leave a message,gnash,u,175229,True,44,1,0,1,0.427,0.506,0.381,0.00238,0.139,-10.953,0.266,0.0389,92.11,TheFeelsChico
Coaster,Khalid,American Teen,199120,False,76,8,1,4,0.935,0.441,0.219,0,0.115,-14.586,0.0419,0.244,94.021,TheFeelsChico
crash,EDEN,vertigo,232412,True,68,0,0,4,0.872,0.503,0.212,0.000293,0.12,-12.735,0.0658,0.185,118.492,TheFeelsChico
changes,XXXTENTACION,?,121886,False,84,11,1,4,0.883,0.669,0.308,0,0.0984,-10.068,0.029,0.52,64.934,TheFeelsChico
lonely again,gnash,lonely again,121428,False,0,9,0,4,0.489,0.551,0.195,0,0.0818,-13.638,0.085,0.0573,143.978,TheFeelsChico
Losin Control,Russ,There's Really A Wolf,237506,True,76,6,1,4,0.515,0.759,0.245,0.000154,0.102,-6.545,0.138,0.209,96.992,TheFeelsChico
if i could i would feel nothing,blackbear,digital druglord,184500,True,59,0,0,4,0.298,0.632,0.525,0,0.0799,-5.791,0.141,0.923,119.521,TheFeelsChico
you were good to me,"Jeremy Zucker,Chelsea Cutler",brent,219146,False,82,2,1,4,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,0.206,102.128,TheFeelsChico
The Story Never Ends,Lauv,I met you when I was 18. (the playlist),229029,False,68,9,1,4,0.911,0.614,0.126,0,0.148,-9.403,0.0376,0.351,119.945,TheFeelsChico
the remedy for a broken heart (why am I so in love),XXXTENTACION,?,160184,True,83,1,1,4,0.779,0.699,0.304,0.000993,0.137,-11.192,0.0993,0.271,119.705,TheFeelsChico
Jocelyn Flores,XXXTENTACION,17,119133,True,87,0,0,4,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0.242,0.437,134.021,TheFeelsChico
SLOW DANCING IN THE DARK,Joji,BALLADS 1,209273,True,85,3,1,4,0.544,0.515,0.479,0.00598,0.191,-7.458,0.0261,0.284,88.964,TheFeelsChico
that's what i'd do (live),Wrabel,one nite only,487048,False,13,2,1,3,0.857,0.381,0.196,0.000484,0.465,-12.303,0.0473,0.249,102.001,TheFeelsChico
Robin Hood,Anson Seabra,Robin Hood,221538,False,70,4,1,4,0.952,0.634,0.153,0,0.134,-14.409,0.0622,0.318,77.77,TheFeelsChico
You're My Girl (Lost Recording #6),Mark Diamond,War (The Lost Recordings),195758,False,55,8,1,4,0.928,0.45,0.189,0.000843,0.104,-11.423,0.0519,0.227,66.945,TheFeelsChico
Everybody Dies In Their Nightmares,XXXTENTACION,17,95466,True,85,7,0,4,0.847,0.734,0.57,2.14e-05,0.112,-7.066,0.133,0.689,129.953,TheFeelsChico
Circles,"Hailey Swagger,Shea Salisbury",Circles,162000,False,28,2,1,4,0.807,0.225,0.103,0.000983,0.0962,-18.103,0.0336,0.115,152.766,TheFeelsChico
forgive,gnash,forgive,162747,False,52,2,1,4,0.482,0.663,0.387,1.7e-06,0.137,-10.385,0.0629,0.286,78.033,TheFeelsChico
To Die For - Ólafur Arnalds Remix,"Sam Smith,Ólafur Arnalds",To Die For (Ólafur Arnalds Remix),210001,False,49,9,0,4,0.938,0.204,0.282,0.000388,0.109,-9.774,0.035,0.128,169.386,TheFeelsChico
Happiness is a butterfly,Lana Del Rey,Norman Fucking Rockwell!,272485,False,71,2,1,4,0.966,0.456,0.126,1.77e-06,0.107,-10.883,0.0444,0.162,68.614,TheFeelsChico
Rainbow,Kacey Musgraves,Golden Hour,214293,False,73,3,1,4,0.88,0.581,0.197,0,0.107,-7.697,0.0329,0.349,130.367,TheFeelsChico
Backseat Beamer,Toni Bean,Backseat Beamer,216058,True,12,8,1,4,0.558,0.821,0.37,0,0.119,-9.494,0.167,0.663,142.001,TheFeelsChico
idfc,blackbear,deadroses,245172,True,79,1,0,4,0.611,0.63,0.5,4.04e-05,0.114,-8.755,0.0611,0.315,144.871,TheFeelsChico
Selfish,PnB Rock,GTTM: Goin Thru the Motions,245604,True,73,1,0,4,0.114,0.638,0.6,0,0.187,-5.84,0.0438,0.0399,101.981,TheFeelsChico
Die For Me (feat. Future & Halsey),"Post Malone,Future,Halsey",Hollywood's Bleeding,245266,True,1,0,1,4,0.19,0.614,0.66,0,0.211,-2.848,0.0441,0.452,145.01,TheFeelsChico
gucci linen (feat. 2 Chainz),"blackbear,2 Chainz",cybersex,212104,True,54,10,0,4,0.0453,0.837,0.684,0,0.306,-5.903,0.076,0.583,120.022,TheFeelsChico
Go Flex,Post Malone,Stoney (Deluxe),179613,True,78,5,1,4,0.228,0.665,0.498,0,0.0757,-8.185,0.0832,0.127,81.967,TheFeelsChico
Feeling Whitney,Post Malone,Stoney (Deluxe),257266,True,79,0,1,4,0.787,0.412,0.227,4.69e-06,0.282,-12.696,0.0359,0.226,80.111,TheFeelsChico
Juke Jam (feat. Justin Bieber & Towkio),"Chance the Rapper,Justin Bieber,Towkio",Coloring Book,219683,True,68,5,1,1,0.716,0.505,0.397,0,0.0853,-9.349,0.324,0.558,95.063,TheFeelsChico
Imported (with 6LACK),"Jessie Reyez,6LACK",Imported (with 6LACK),225040,True,64,7,1,4,0.199,0.726,0.636,0,0.111,-3.615,0.0496,0.362,111.097,TheFeelsChico
High (feat. Elton John),"Young Thug,Elton John",On the Run,195160,True,61,10,1,4,0.223,0.759,0.498,5.84e-05,0.406,-10.615,0.0776,0.244,126.972,TheFeelsChico
See You Again (feat. Kali Uchis),"Tyler, The Creator,Kali Uchis",Flower Boy,180386,True,79,6,1,4,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,0.62,78.558,TheFeelsChico
Scared,Russ,There's Really A Wolf,179066,True,59,5,0,4,0.652,0.597,0.418,0,0.12,-10.03,0.177,0.313,129.948,TheFeelsChico
Stan,6LACK,East Atlanta Love Letter,303750,True,56,3,1,1,0.821,0.333,0.328,0.000173,0.127,-9.144,0.0401,0.152,92.889,TheFeelsChico
Movements,"Pham,Yung Fusion",Movements - Single,208671,True,68,6,1,4,0.26,0.824,0.538,3.45e-05,0.13,-7.972,0.269,0.352,110.879,TheFeelsChico
oui,Jeremih,Late Nights: The Album,238320,False,74,5,1,5,0.213,0.418,0.724,0,0.112,-3.724,0.0964,0.604,78.521,TheFeelsChico
"Psycho, Pt. 2",Russ,"Psycho, Pt. 2",161985,True,78,10,1,4,0.775,0.766,0.548,5.57e-06,0.1,-4.29,0.235,0.424,82.944,TheFeelsChico
1950,King Princess,1950,225133,True,77,4,1,4,0.648,0.6,0.535,4.7e-06,0.162,-7.043,0.107,0.269,71.912,TheFeelsChico
Midsummer Madness,"88rising,Joji,Rich Brian,Higher Brothers,AUGUST 08",Head In The Clouds,280841,True,72,9,1,4,0.359,0.409,0.678,4.76e-06,0.167,-7.731,0.0878,0.168,89.968,TheFeelsChico
Big Lie,Post Malone,Stoney (Deluxe),207680,True,68,6,0,4,0.191,0.442,0.684,0,0.0725,-4.888,0.168,0.218,170.861,TheFeelsChico
No Option,Post Malone,Stoney (Deluxe),179826,True,70,2,1,4,0.0757,0.575,0.734,0,0.241,-4.949,0.057,0.494,83.986,TheFeelsChico
Leave,Post Malone,Stoney (Deluxe),324853,True,65,4,1,4,0.246,0.535,0.55,0.000105,0.124,-7.249,0.0229,0.619,90.086,TheFeelsChico
Falling,Trevor Daniel,Falling,159381,False,85,10,0,4,0.123,0.785,0.431,0,0.0887,-8.756,0.0364,0.236,127.085,TheFeelsChico
i miss the old u,blackbear,digital druglord,211127,True,69,7,1,4,0.279,0.718,0.805,0,0.527,-5.257,0.325,0.36,132.995,TheFeelsChico
Saved,Khalid,American Teen,206533,False,72,10,0,4,0.189,0.739,0.448,0,0.118,-10.28,0.138,0.553,81.044,TheFeelsChico
Forever,Labrinth,Euphoria (Original Score from the HBO Series),202536,False,75,4,0,4,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,0.197,79.983,TheFeelsChico
