Name,Artists,Album,Duration(ms),Explicit,Popularity,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Playlist
Dakiti,"Bad Bunny,Jhay Cortez",Dakiti,205090,True,100,4,0,4,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,0.145,109.928,VERANO2020
Hawái,Maluma,Hawái,200197,False,92,6,0,4,0.189,0.787,0.728,2.29e-05,0.0629,-3.455,0.389,0.545,180.066,VERANO2020
Una Locura,"Ozuna,J Balvin,Chencho Corleone",ENOC,230693,False,91,5,0,4,0.139,0.714,0.761,0.00035,0.241,-4.596,0.0427,0.906,168.022,VERANO2020
La Nota,"Manuel Turizo,Rauw Alejandro,Myke Towers",La Nota,216107,False,91,11,0,4,0.18,0.736,0.632,0,0.349,-4.939,0.0648,0.503,92.03,VERANO2020
PAM,"Justin Quiles,Daddy Yankee,El Alfa",PAM,201000,True,80,11,1,4,0.289,0.889,0.863,0.000603,0.0798,-3.011,0.0757,0.776,112.953,VERANO2020
De Cora <3,"Rauw Alejandro,J Balvin",Afrodisíaco,190100,True,81,11,0,4,0.46,0.811,0.683,4.75e-05,0.128,-2.028,0.241,0.571,176.037,VERANO2020
LA NOCHE DE ANOCHE,"Bad Bunny,ROSALÍA",EL ÚLTIMO TOUR DEL MUNDO,203200,False,80,7,1,4,0.0303,0.856,0.618,0,0.0866,-4.892,0.286,0.391,81.993,VERANO2020
Mi Niña,"Wisin,Myke Towers,Los Legendarios",Mi Niña,213313,False,90,8,0,4,0.31,0.823,0.821,4.28e-06,0.143,-3.402,0.166,0.791,99.999,VERANO2020
PA' ROMPERLA,"Bad Bunny,Don Omar",LAS QUE NO IBAN A SALIR,194200,True,77,7,1,4,0.016,0.772,0.83,0,0.0843,-5.019,0.0599,0.697,94.011,VERANO2020
Banco,"Columbo Sounds,Xcelencia",Banco,174315,False,49,7,1,4,0.379,0.861,0.79,3.71e-05,0.279,-4.531,0.165,0.608,95.028,VERANO2020
La Curiosidad,"Jay Wheeler,DJ Nelson,Myke Towers",Platonicos,219048,False,92,11,0,4,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,0.68,90.013,VERANO2020
YO VISTO ASÍ,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,191526,False,77,7,0,4,0.0947,0.688,0.881,0,0.0804,-4.889,0.0474,0.677,123.013,VERANO2020
Reloj,"Rauw Alejandro,Anuel AA",Reloj,231594,True,86,8,1,4,0.176,0.823,0.537,3.98e-06,0.123,-2.639,0.209,0.615,175.946,VERANO2020
Don Don,"Daddy Yankee,Anuel AA,Kendo Kaponi",Don Don,275893,True,85,5,0,4,0.285,0.838,0.819,6.3e-05,0.224,-4.681,0.211,0.656,105.027,VERANO2020
Hasta Que Dios Diga,"Anuel AA,Bad Bunny",Emmanuel,246000,True,85,8,1,4,0.464,0.691,0.765,3.29e-06,0.203,-4.727,0.111,0.855,174.021,VERANO2020
BICHOTA,KAROL G,BICHOTA,178946,True,92,1,0,4,0.212,0.863,0.666,0.000493,0.103,-4.158,0.152,0.838,163.908,VERANO2020
Tussi,"Arcangel,Justin Quiles,Eladio Carrion,De La Ghetto",Tussi,189466,True,81,1,0,4,0.256,0.833,0.886,0,0.082,-4.722,0.0607,0.698,94.018,VERANO2020
Caramelo,Ozuna,Caramelo,217546,False,86,6,1,4,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,0.698,168.084,VERANO2020
Safaera,"Bad Bunny,Jowell & Randy,Ñengo Flow",YHLQMDLG,295176,True,85,2,1,4,0.0103,0.607,0.829,0,0.107,-4.074,0.379,0.685,96.172,VERANO2020
El Efecto - Remix,"Rauw Alejandro,Chencho Corleone,KEVVO,Bryant Myers,Lyanno,Dalex",El Efecto (Remix),289898,True,81,0,0,4,0.18,0.771,0.769,1.57e-05,0.345,-3.504,0.0694,0.931,167.969,VERANO2020
Tusa,"KAROL G,Nicki Minaj",Tusa,200960,False,87,2,1,4,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,0.574,101.085,VERANO2020
El Pasado,Xcelencia,El Pasado,165226,False,48,6,0,4,0.269,0.864,0.752,2e-05,0.311,-3.209,0.0908,0.752,95.011,VERANO2020
